,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
78, 2CXO J110522.3-584435,166.343,-58.74315555555555,LM-STAR,5.563036460690223e-15,5.739183645855011e-16,5.433202115439197e-16,4.445797884560803e-15,,0.531,7.3,11.645756,11.884285,11.253838,10.803,10.572,10.548,10.461,10.513,
80, 2CXO J110523.5-584338,166.34820833333333,-58.72744166666667,YSO,4.010861807222905e-15,7.978845608028655e-18,1.253680846175679e-15,2.749202115439197e-15,,,6.0,17.55856,18.518396,16.346083,13.245,12.656,12.524,12.35,12.404,
83, 2CXO J110525.4-585807,166.35591666666667,-58.96881944444445,YSO,5.979286962750177e-15,3.3487978845608028e-15,1.299239365368241e-15,1.3312497128211326e-15,,0.532,5.29,16.000652,16.673454,15.212509,14.106,13.601,13.387,13.239,13.356,11.518
86, 2CXO J110526.5-584525,166.36054166666665,-58.757080555555554,AGN,6.256871418596529e-15,5.290137503547814e-15,8.934721546757964e-16,7.32617603729191e-17,,0.631,5.52,,,,,,,,,
88, 2CXO J110528.5-584930,166.369125,-58.82518055555556,LM-STAR,6.479520096672373e-15,5.916e-16,6.141222121115699e-16,5.273797884560803e-15,,0.968,8.66,12.886455,13.267041,12.317951,11.673,11.298,11.226,11.191,11.268,12.703
90, 2CXO J110529.3-585405,166.37241666666665,-58.90160833333333,AGN,6.204633758103373e-15,5.222945965304602e-15,8.7397003923659985e-16,1.07717753562171e-16,,0.752,5.67,,,,,,,,,
94, 2CXO J110533.2-585105,166.38841666666664,-58.85160277777778,LM-STAR,2.911934717346811e-15,2.7822234635195917e-16,1.8925525413652879e-16,2.4444571168583228e-15,,0.253,5.76,12.076157,12.322375,11.678807,11.225,11.039,11.045,10.91142025289509,10.967801394346198,
96, 2CXO J110535.6-584907,166.39862499999998,-58.81883611111112,LM-STAR,3.864532487937433e-15,2.0433823602161383e-16,5.781202115439197e-16,3.082074040371901e-15,,0.989,5.76,14.124236,14.593124,13.48438,12.651,12.225,12.131,12.037,12.153,11.329
97, 2CXO J110535.7-585212,166.39895833333333,-58.87000555555556,LM-STAR,1.047448150702245e-14,4.719487177148949e-16,9.053306738683585e-16,9.097202115439195e-15,,0.821,10.76,12.039777,12.31218,11.606029,11.108,10.876,10.816,10.790727602732966,10.768045578872645,
107, 2CXO J110543.9-585309,166.433125,-58.885894444444446,LM-STAR,5.118577553638502e-15,3.5258518741878623e-16,9.32992366219716e-16,3.833e-15,,0.998,7.77,15.600225,16.413492,14.667272,13.465,12.804,12.651,12.608934994765312,12.560006619769371,
109, 2CXO J110545.9-584724,166.44166666666666,-58.79017777777778,YSO,3.4336710514582625e-15,7.577532999681806e-16,9.664606346317592e-16,1.7094571168583225e-15,,0.998,5.86,17.475647,18.419134,16.167513,14.669,14.1,13.792,13.091,13.17,11.913
111, 2CXO J110551.5-584652,166.46499999999995,-58.78111666666666,LM-STAR,7.333429247658443e-15,1.106106920675326e-15,6.531202115439197e-16,5.574202115439198e-15,,0.919,7.7,12.256683,12.511803,11.848254,11.419,11.175,11.16,11.09,11.203,10.692
115, 2CXO J110552.1-585534,166.46737499999998,-58.92623055555556,LM-STAR,8.689797827795783e-15,8.425660962078258e-16,9.80433847027154e-16,6.866797884560803e-15,,0.084,7.23,12.03914,12.336847,11.577565,11.062,10.808,10.73,10.614,10.659,10.102
119, 2CXO J110554.8-584859,166.47875,-58.81643611111111,LM-STAR,2.129889996711065e-14,7.73868235522699e-16,3.3370528859799285e-15,1.7187978845608033e-14,,0.568,16.09,9.731091,9.813506,9.559805,9.343,9.246,9.218,8.776,8.685,8.297
121, 2CXO J110558.0-585423,166.49195833333332,-58.906425,YSO,5.184435962466351e-15,2.046e-15,1.3734359624663514e-15,1.765e-15,,1.0,6.82,16.094446,16.602982,15.350913,14.4,13.977,13.802,13.716,14.159,12.991
124, 2CXO J110601.1-585025,166.50487499999997,-58.84031111111111,LM-STAR,9.131957782211927e-15,7.8119714758016895e-16,1.0277606346317592e-15,7.323e-15,,0.136,10.16,12.141655,12.385083,11.736341,11.27,11.071,11.043,10.888,10.969,
126, 2CXO J110605.9-585032,166.52462499999996,-58.84238611111111,YSO,6.1227755814533615e-15,2.4029248109126307e-15,1.906202115439197e-15,1.813648655101534e-15,,0.923,6.89,16.905848,,,13.844,13.14,12.974,12.924,13.049,11.936
129, 2CXO J110621.8-585133,166.5908333333333,-58.85927222222222,CV,1.5831702782144853e-14,1.3657978845608032e-14,1.799e-15,3.747239365368241e-16,,0.001,6.96,19.620268,20.341055,18.953646,,,,,,
130, 2CXO J110622.2-584951,166.59283333333332,-58.830869444444446,LM-STAR,6.418896741693674e-15,1.2829983737710076e-15,1.3263989422804014e-15,3.8094994256422655e-15,,0.599,5.76,12.028834,12.268259,11.639335,11.224,11.006,10.961,10.954,11.008,11.066
131, 2CXO J110727.7-590452,166.86566666666667,-59.08136111111112,CV,1.8268306738683585e-13,4.9531692351357703e-14,3.629797884560804e-14,9.685339618987013e-14,,0.683,11.07,13.294610942600002,13.9860894696,12.554366043000002,,,,10.545,10.592,9.988
