name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
 2CXO J110437.6-585539,166.1567083333333,-58.92762777777777,1.03350758584376,6.41,3.985558519192562e-15,-0.4441127238266312,,0.482,16.984093,14.699,,6,conf,YSO,0.296785,0.0751913726269013,0,0.11136458961215392,0.02244,0.249955,0.075855,0.06595000000000001,0.00373,0.278665,0.00662,0.296785,0.017288588585980497,0.10536139710064117,0.0484271531701396,0.03617466110561515,0.006247089412368457,0.0875174387026784,0.009241807778298087,0.0751913726269013
 2CXO J110438.6-584929,166.16108333333332,-58.824938888888894,0.5582291412212125,6.99,4.849231386522633e-15,-0.7135003291461062,,0.906,9.729494,9.45,9.23,9,,LM-STAR,0.7516799999999999,0.09804688057654252,1,3.120296531409179,2e-05,7.000000000000001e-05,0.17535,0.7516799999999999,1e-05,7.000000000000001e-05,1e-05,0.07279000000000001,0.0004469897088298562,0.0009465706502929383,0.08665671864827842,0.09804688057654252,0.000316227766016838,0.0009465706502929386,0.000316227766016838,0.04349031279845329
 2CXO J110439.4-584939,166.1645833333333,-58.82757777777778,0.4608246678921371,8.9,5.7967809610472256e-15,-0.9972471460758499,,,12.228724,11.408,11.061,8,,LM-STAR,0.9808199999999999,0.019049684787168803,1,28.999533049604786,0.0,4e-05,0.01082,0.9808199999999999,2e-05,2.9999999999999997e-05,0.0,0.00827,0.0,0.0006315051850925681,0.01439912965893895,0.019049684787168803,0.0006324555320336758,0.0005471740119919801,0.0,0.011482113870665937
 2CXO J110439.4-585550,166.16416666666663,-58.93077222222222,1.1074268897487936,5.29,3.414889652547108e-15,-0.6791184530959875,,0.966,17.768503,15.094,,6,,YSO,0.56248,0.15076132985145282,0,0.6839601663074292,0.00298,0.049049999999999996,0.005719999999999999,0.36789,0.00249,0.00872,0.00067,0.56248,0.006321357414318506,0.03917310342610135,0.009239424601508847,0.13374354277958705,0.006674162452656092,0.016895178218860177,0.003558618237991226,0.15076132985145282
 2CXO J110439.8-584701,166.16583333333332,-58.78373055555555,0.4059727751277553,15.25,3.6311727500709565e-14,0.730570378365283,,0.089,20.023836,,,3,extent,CV,0.361005,0.08454089032614417,0,0.95374709296948,0.125125,0.361005,0.050925000000000005,0.004810000000000001,0.01191,0.218075,0.14909999999999998,0.07905,0.04070953993404547,0.08454089032614417,0.025479768319072175,0.007511346105746985,0.011789439803947033,0.06532064115699693,0.06917025751379366,0.03641048232615471
 2CXO J110440.0-584921,166.1668333333333,-58.82261666666667,0.732956921516123,5.35,2.6480692067532613e-15,-0.7165293894551605,,0.947,11.92439,11.075,10.667,9,,LM-STAR,0.98241,0.05032518777435937,1,10.120446784460533,0.0,8e-05,0.015280000000000002,0.98241,3e-05,8.999999999999999e-05,0.0,0.00211,0.0,0.0008912880535463235,0.0452367988253807,0.05032518777435937,0.0007068235986436781,0.0009448771310560928,0.0,0.008984911164203493
 2CXO J110441.2-585647,166.1717083333333,-58.946527777777774,1.0363332509603331,7.72,9.899015200440372e-15,-0.3527447820741562,,0.984,12.252909,11.322,10.82,9,conf,LM-STAR,0.93261,0.060296961976733336,1,9.824718341192769,0.00011,0.00547,0.02434,0.93261,0.00075,0.00507,0.0,0.031650000000000005,0.001043546352103724,0.010634481284585169,0.02672599256676317,0.060296961976733336,0.0027101374217638544,0.011221453605528165,0.0,0.03140643029482761
 2CXO J110441.4-584352,166.1725,-58.73130833333334,0.7202982690029921,12.6,2.7655449296579462e-14,0.8115778725097974,,0.651,,,,0,extent,NS,0.7692583333333334,0.13345197189927088,1,2.3961695333242745,0.19173833333333334,0.0006850000000000001,0.025101666666666668,0.0,0.0,0.009300000000000001,0.7692583333333334,0.003916666666666666,0.10756603286552135,0.006340029256318214,0.037981596991745574,0.0,0.0,0.04063571411038892,0.13345197189927088,0.007239238443365891
 2CXO J110442.5-584742,166.17737499999998,-58.79503333333333,0.8125187966428894,5.33,2.4080090599902e-15,-0.37151691428466366,,0.482,18.699642,15.687,14.744,8,conf,YSO,0.36607,0.1087763181367498,0,0.2331210511744103,0.0056749999999999995,0.303565,0.00937,0.254415,0.0072,0.048310000000000006,0.0053950000000000005,0.36607,0.008048860736722877,0.1593461859662225,0.012444193744793513,0.17711946273371285,0.011510538323314536,0.03913534815835263,0.008893709747516671,0.1087763181367498
 2CXO J110442.7-585411,166.17812499999997,-58.90315555555556,0.8027476563020877,5.41,2.953421131417662e-15,-0.6688477965507851,,1.0,18.635086,15.461,,6,,LM-STAR,0.39182,0.11594106231154658,0,0.01914264807700101,0.00418,0.15538,0.0092,0.39182,0.00262,0.047689999999999996,0.002,0.38711,0.007292515394620758,0.07285165037912984,0.012357698520060792,0.11594106231154658,0.005811141830085492,0.04916890767020843,0.006052820552158853,0.1301064009784898
