name,usrid,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,PU_kim95,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,src_cnts_aper90_b_max,src_cnts_aper90_b_max_hi,src_cnts_aper90_b_max_lo
 2CXO J110436.7-584757,30,166.15312499999996,-58.799363888888884,1.07,1.07,0.0,5.35,False,False,False,False,False,2.2311202115439197e-15,5.7420044726019e-16,4.2822021154391976e-16,4.2825000132376215e-16,2.769e-16,1.3470000000000002e-16,1.526e-15,3.579999999999999e-16,0.351,0.102,,88.77,,,,,,,,,,0.9332686645219521,0,5.35,1.526e-15,3.579999999999999e-16,2.769e-16,1.3470000000000002e-16,4.2822021154391976e-16,4.2825000132376215e-16,,0.0,0.351,,5.35,0,2.2311202115439197e-15,5.7420044726019e-16,35.922,43.354,28.49
 2CXO J110437.6-585539,31,166.1567083333333,-58.92762777777777,1.36,0.86,107.2,6.41,False,False,False,False,True,3.985558519192562e-15,9.900073212277009e-16,1.1077606346317591e-15,8.471500060226763e-16,1.3019999999999999e-15,2.73e-16,1.575797884560803e-15,4.3350013077302257e-16,0.482,0.249,,91.75,,,,,,,,,,1.0168651556988897,0,6.41,1.575797884560803e-15,4.3350013077302257e-16,1.3019999999999999e-15,2.73e-16,1.1077606346317591e-15,8.471500060226763e-16,,0.0,0.482,,6.41,0,3.985558519192562e-15,9.900073212277009e-16,65.464,75.588,55.341
 2CXO J110438.6-584929,32,166.16108333333332,-58.824938888888894,0.78,0.74,151.5,6.99,False,False,False,False,False,4.849231386522633e-15,9.130901224697529e-16,6.946515980665525e-16,6.644050030802193e-16,3.4057978845608033e-16,1.3325000425441748e-16,3.814e-15,6.119999999999999e-16,0.906,0.62,,89.29,,,,,,,,,,0.5267794500419535,0,6.99,3.814e-15,6.119999999999999e-16,3.4057978845608033e-16,1.3325000425441748e-16,6.946515980665525e-16,6.644050030802193e-16,,0.0,0.906,,6.99,0,4.849231386522633e-15,9.130901224697529e-16,69.099,79.206,58.991
 2CXO J110439.4-585550,33,166.16416666666663,-58.93077222222222,1.17,0.96,152.8,5.29,False,False,False,False,False,3.414889652547108e-15,7.537058489592811e-16,5.47887537107911e-16,5.405645043611383e-16,5.818e-16,1.904e-16,2.285202115439197e-15,4.895001158122719e-16,0.966,0.93,,91.74,,,,,,,,,,1.0919116864548237,0,5.29,2.285202115439197e-15,4.895001158122719e-16,5.818e-16,1.904e-16,5.47887537107911e-16,5.405645043611383e-16,,0.0,0.966,,5.29,0,3.414889652547108e-15,7.537058489592811e-16,57.282,66.919,47.645
 2CXO J110439.4-584939,34,166.1645833333333,-58.82757777777778,0.77,0.72,168.5,8.9,False,False,False,False,False,,,,,5.316e-16,1.74e-16,5.2572021154391974e-15,6.795000834291544e-16,0.649,0.774,,89.32,,,,,,,,,,0.4221802807046168,0,8.9,5.2572021154391974e-15,6.795000834291544e-16,5.316e-16,1.74e-16,7.978845608028655e-18,6.028102749890869e-18,,-1.0,,,,4,5.796780961047226e-15,7.014504269034206e-16,99.6,111.43,87.769
 2CXO J110439.8-584701,35,166.16583333333332,-58.78373055555555,0.78,0.73,176.2,15.25,True,False,False,False,False,3.6311727500709565e-14,2.746728184815248e-15,3.142e-14,2.689999999999999e-15,4.164000000000001e-15,5.070000000000002e-16,7.277275007095628e-16,2.26642275973548e-16,0.089,0.023,,88.27,3.246850770540731e-14,2.951106690906251e-15,1.76517038385124,0.24004629246171655,111.22451134524215,22.661371001344964,1.2912198191779267e-05,3.949508609248974e-06,0.892,0.3615116997039812,0,15.25,7.277275007095628e-16,2.26642275973548e-16,4.164000000000001e-15,5.070000000000002e-16,3.142e-14,2.689999999999999e-15,,0.0,0.089,,15.25,0,3.6311727500709565e-14,2.746728184815248e-15,303.87,324.69,283.05
 2CXO J110440.0-584921,36,166.1668333333333,-58.82261666666667,0.82,0.78,12.6,5.35,False,False,False,False,False,2.6480692067532613e-15,5.460389935303775e-16,3.753248974016679e-16,2.835619533548665e-16,2.2089353881086166e-16,1.1951942960926405e-16,2.0518507705407317e-15,4.510723966406238e-16,0.947,0.617,,89.18,,,,,,,,,,0.7092973027414686,0,5.35,2.0518507705407317e-15,4.510723966406238e-16,2.2089353881086166e-16,1.1951942960926405e-16,3.753248974016679e-16,2.835619533548665e-16,,0.0,0.947,,5.35,0,2.6480692067532613e-15,5.460389935303775e-16,35.615,42.575,28.247
 2CXO J110441.2-585647,37,166.1717083333333,-58.946527777777774,1.1,0.98,150.2,7.72,False,False,False,False,True,9.899015200440373e-15,1.8320248040368502e-15,3.2035946204061368e-15,1.593301180017978e-15,8.029000000000001e-16,2.3310000000000003e-16,5.892520580034236e-15,8.737108345211119e-16,0.984,0.714,,92.03,,,,,,,,,,1.0197369376088832,0,7.72,5.892520580034236e-15,8.737108345211119e-16,8.029000000000001e-16,2.3310000000000003e-16,3.2035946204061368e-15,1.593301180017978e-15,,0.0,0.984,,7.72,0,9.899015200440373e-15,1.8320248040368502e-15,94.951,106.42,82.717
 2CXO J110441.4-584352,38,166.17249999999999,-58.73130833333334,1.18,0.99,52.6,12.6,True,False,False,False,False,2.7655449296579462e-14,2.6951287883959897e-15,2.5049999999999998e-14,2.66e-15,2.443e-15,4.1600000000000005e-16,1.624492965794634e-16,1.227321719877781e-16,0.651,0.633,,86.95,2.8430528859799283e-14,3.1361299820363028e-15,1.068936536824086,0.2571984490716636,36.78805925569088,22.435006415502613,3.888592084218436e-06,1.2681596322220248e-06,1.864,0.6962085974811266,0,12.6,1.624492965794634e-16,1.227321719877781e-16,2.443e-15,4.1600000000000005e-16,2.5049999999999998e-14,2.66e-15,,0.0,0.651,,12.6,0,2.7655449296579462e-14,2.6951287883959897e-15,193.85,211.31,176.39
 2CXO J110442.5-584742,39,166.17737499999998,-58.79503333333333,0.96,0.78,174.9,5.33,False,False,False,False,True,2.4080090599901996e-15,6.054630094927086e-16,7.566964822265635e-16,4.964314153339582e-16,4.126797884560803e-16,1.650500034347236e-16,1.2386327893075555e-15,3.0479468843746057e-16,0.482,0.429,,88.41,,,,,,,,,,0.7912418149819559,0,5.33,1.2386327893075555e-15,3.0479468843746057e-16,4.126797884560803e-16,1.650500034347236e-16,7.566964822265635e-16,4.964314153339582e-16,,0.0,0.482,,5.33,0,2.4080090599901996e-15,6.054630094927086e-16,40.341,48.135,32.548
