name,usrid,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,_r_simbad,main_id,main_type
2CXO J053510.4-052600,2545,83.79362499999998,-5.433411111111111,0.71,0.71,19.9,25.6,False,False,False,False,False,8.574457116858321e-15,5.13308882072098e-16,3.313255001419125e-15,4.1609211123725885e-16,2.5839999999999998e-15,2.010000000000001e-16,2.677202115439197e-15,2.2350025364689774e-16,1.0,1.0,1.0,19.16,7.391871924932701e-15,4.751379458043134e-16,3.30334076770248,0.2511770094942285,42.15266727330581,7.358058549124715,7.734196133105089e-06,1.550289361658049e-06,1.472,0,13.09,2.0766564915502777e-15,1.3221449957193894e-16,1.167652832647699e-15,9.11362296632206e-17,2.1317766434904874e-15,2.347238155267972e-16,74.11051462212072,11.0,1.0,1.0,13.09,0,5.376085967688464e-15,2.8439717971481974e-16,2MASS J05351047-0526003,83.7936667,-5.4333611,,YSO,D,2012AJ....144..192M,0.198516,0.091469,2MASS J05351047-0526003,YSO
2CXO J053510.4-052245,2546,83.79370833333333,-5.3793388888888884,0.71,0.71,61.9,42.04,True,False,False,False,True,1.8879211543919715e-14,1.2626011067014472e-15,7.703531157230222e-15,1.0352105262191928e-15,4.164000000000001e-15,4.1600000000000005e-16,7.011680386689491e-15,5.911384956579132e-16,1.0,1.0,1.0,19.3,1.6398084617567884e-14,1.0600855665295199e-15,3.009723844188903,0.24729727207353433,27.932773045265662,6.033161783722988,1.1572080932664716e-05,2.1329506994492122e-06,1.792,0,17.53,8.065737537732485e-15,2.7177633383855503e-16,5.371556953385824e-15,2.0272197223465875e-16,6.147972861802342e-15,3.901330580691816e-16,165.07373394312012,10.0,1.0,1.0,17.53,0,1.958526735292065e-14,5.168775257832816e-16,V* V1487 Ori A,83.79375,-5.3792778,,YSO,D,2012AJ....144..192M,0.245329,0.063007,V* V1487 Ori A,Star
2CXO J053510.5-052416,2547,83.79391666666665,-5.4046,0.71,0.71,42.0,27.85,False,False,False,False,False,8.913969555424053e-15,1.0133205372413727e-15,8.128000000000001e-15,9.999999999999997e-16,7.171200966723728e-16,1.5528295162555298e-16,6.884945875167926e-17,5.2016498628808317e-17,1.0,1.0,1.0,19.23,,,,,,,,,,0,16.53,9.669063857807452e-17,3.2834703834249345e-17,8.920968654166178e-16,9.116879059455515e-17,1.1975161225225724e-14,5.907752953672324e-16,202.57083717789652,10.0,1.0,1.0,16.53,0,1.2963948729220416e-14,5.986696215531546e-16,V* V2202 Ori,83.7939167,-5.4045833,,YSO,P,2012AJ....144..192M,0.077036,0.112788,V* V2202 Ori,Orion_V*
2CXO J053510.5-052156,2548,83.79408333333332,-5.365575,0.71,0.71,89.5,68.82,True,False,False,False,False,4.7342126926351825e-14,1.3659094890653206e-15,1.617202115439197e-14,1.0750052734860244e-15,1.3684042308783943e-14,5.300427832647607e-16,1.7486063463175915e-14,6.550778901816706e-16,1.0,1.0,1.0,19.34,4.1300105771959855e-14,1.2351147519842366e-15,3.4443830764864227,0.12702856503388707,40.31766152972846,3.0704726889890086,4.365287881722552e-05,4.008974121385912e-06,1.675,0,28.81,1.6987377817818242e-14,3.922584746623279e-16,1.2643747363382868e-14,3.111215107395998e-16,1.4868037136557203e-14,6.155954140853687e-16,265.49543534289484,10.0,1.0,1.0,28.81,0,4.4499162317758315e-14,7.934866219617339e-16,V* V1227 Ori,83.7940417,-5.3656389,,YSO,D,2012AJ....144..192M,0.265736,0.181453,V* V1227 Ori,Orion_V*
2CXO J053510.6-052255,2549,83.79420833333333,-5.38221111111111,0.71,0.71,68.1,50.09,True,False,False,False,False,6.332258183677509e-14,2.4542047415949827e-15,5.5358296161487603e-14,2.4004629246171664e-15,7.542669809493506e-15,4.93625081481778e-16,4.2161586579397853e-16,1.312742935147789e-16,1.0,1.0,1.0,19.29,5.413796735845333e-14,3.0212725065573402e-15,3.141978845608029,0.19202952383100683,304.917038385124,24.604516358712694,0.00017155228774651753,4.427030247088898e-05,1.057,0,24.1,3.1355894087085876e-16,5.3394193522377317e-17,5.66372872134114e-15,2.1847826638728612e-16,3.8693631397221745e-14,1.0193830436089387e-15,228.78471943662785,10.0,1.0,1.0,24.1,0,4.4670919059433745e-14,1.0438991725175963e-15,MLLA  507,83.79425,-5.3822222,,YSO,D,2012AJ....144..192M,0.187168,0.134419,MLLA  507,YSO
2CXO J053510.8-052556,2550,83.79516666666666,-5.432441666666667,0.73,0.72,43.5,12.24,False,False,False,False,True,1.5635257303356899e-15,4.738724675765019e-16,1.322329501277213e-15,4.657666502417734e-16,1.881882502128688e-16,7.376169068874633e-17,5.300797884560803e-17,4.6645000121535243e-17,1.0,1.0,1.0,19.16,,,,,,,,,,0,10.72,6.016000678945967e-17,1.9191144420267912e-17,1.6561395918415115e-16,3.702826449976932e-17,3.5486552169085324e-16,1.041952194715873e-16,149.31229228925133,10.0,1.0,1.0,10.72,0,5.806394876644641e-16,1.122320638532354e-16,2MASS J05351083-0525569,83.7950833,-5.4324444,,YSO,D,2012AJ....144..192M,0.31408,0.188234,2MASS J05351083-0525569,YSO
2CXO J053510.9-052448,2551,83.79558333333331,-5.4134777777777785,0.71,0.71,40.7,48.25,False,False,False,False,False,2.468697884560803e-14,9.352889061796698e-16,1.2987978845608029e-14,8.250068715003306e-16,7.475999999999999e-15,3.520000000000002e-16,4.223e-15,2.6500000000000016e-16,1.0,1.0,1.0,19.21,2.177383076486423e-14,7.904591282646108e-16,3.150787307364817,0.11901714871477458,62.13744998580874,4.740808422978927,2.5391174978713117e-05,2.8380398398582946e-06,1.086,0,25.08,4.005946196247081e-15,1.7608968481497992e-16,6.778625418428306e-15,2.292072020817171e-16,1.1477577010308812e-14,5.360736589999588e-16,203.32686369544288,10.0,1.0,1.0,25.08,0,2.22621486249842e-14,6.09030776281439e-16,V* V2207 Ori,83.795625,-5.4134167,,YSO,D,2012AJ....144..192M,0.24088,0.17065,V* V2207 Ori,Orion_V*
2CXO J053510.9-051521,2552,83.79579166666664,-5.256005555555555,0.89,0.74,94.2,17.26,False,False,False,False,False,9.728371901057024e-15,1.1220047740267222e-15,9.238339618987009e-15,1.1122220480963173e-15,3.9660000000000003e-16,1.2989999999999998e-16,9.343228207001553e-17,7.058908320122208e-17,1.0,1.0,1.0,19.69,5.465140278492276e-15,2.9468604449689294e-15,2.9249271083435695,0.9814616703509267,588.8154973036616,223.51979458720217,9.054036704813013e-05,6.623675443276755e-05,0.799,0,13.63,1.8089491167609168e-16,5.2210357238656963e-17,4.779033031823671e-16,7.79155518431589e-17,3.0505578278798077e-15,3.7262998627626296e-16,220.06184281750404,9.0,1.0,1.0,13.63,0,3.709356042738266e-15,3.8425234064903245e-16,V* V2209 Ori,83.79575,-5.2559444,,YSO,D,2012AJ....144..192M,0.236108,0.185714,V* V2209 Ori,Orion_V*
2CXO J053511.1-052237,2553,83.79662499999999,-5.3770999999999995,0.71,0.71,5.1,52.21,True,False,False,False,False,6.084148961614877e-14,1.883083322671786e-15,5.814e-14,1.8699999999999992e-15,2.61482961614876e-15,2.1605143490524643e-16,8.666e-17,4.924e-17,1.0,1.0,1.0,19.31,5.218413659358911e-14,2.5676222795044893e-15,2.590383076486423,0.1780203817953676,454.8553460337663,33.308238625027016,0.0001027050976408149,2.681033065946924e-05,1.217,0,24.68,1.2373568609084275e-16,3.543847957628642e-17,1.743282687263418e-15,1.2561489718192292e-16,5.926544971838465e-14,1.3302065737282385e-15,258.5344542624322,10.0,1.0,1.0,24.68,0,6.113246809173892e-14,1.3365943726570615e-15,V* V2213 Ori,83.796625,-5.3771667,,YSO,D,2012AJ....144..192M,0.236616,0.21291,V* V2213 Ori,Orion_V*
2CXO J053511.2-051720,2554,83.79670833333331,-5.289022222222222,0.71,0.71,0.0,54.0,True,False,False,False,True,4.226932904179103e-14,2.077571936653957e-15,2.5802021154391972e-14,1.915002960316972e-15,1.2060105771959857e-14,6.752099307393814e-16,4.4072021154391974e-15,4.3950012898772596e-16,1.0,1.0,1.0,19.58,3.730446539662337e-14,1.8814589028244575e-15,2.899978845608029,0.15403680736357556,78.60256150134595,7.803359982549651,4.0973207620259786e-05,6.495225454795755e-06,1.011,0,36.36,4.014395210996772e-15,1.878440270563051e-16,9.187822394023696e-15,2.76633826491015e-16,1.757607461397825e-14,7.340036507320245e-16,713.3244593565234,10.0,1.0,1.0,36.36,0,3.077829221899872e-14,8.065810633456074e-16,V* V2214 Ori,83.7966667,-5.2890833,,YSO,D,2012AJ....144..192M,0.236446,0.399838,V* V2214 Ori,Orion_V*
