_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.225],1091.0,0.225,J143219.51+341728.7,218.0813193,34.2913086,0.0574,0.0565,177.8,Im,14.804,0.029,13.762,0.031,11.201,0.102,8.905,0.354,,,,,,,708.74,635.944,2.174134801351e+18,37.2,0.899,35.6,0.882,10.6,1.02,3.1,1.01,0.938,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,11nn,44,44,44,44,9,28,1,28,0.0,218.0813213,0.0661,34.291313,0.0658,-0.0085,47,90,130,94,0.898,0.881,1.02,1.01,0.937,3N000,AAAB,15.0,0.0,45.987,45.288,29.959,29.97,,,2M
[0.356],1092.0,0.356,J143220.14+331512.2,218.0839454,33.2534015,0.0548,0.0533,170.1,Im,14.855,0.03,13.453,0.029,10.278,0.047,7.435,0.095,,,,,,,1424.377,1880.302,2.1771333013510295e+18,36.3,0.906,37.7,0.904,22.9,0.973,11.5,1.05,0.945,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,0000,43,43,43,43,29,29,12,29,0.0,218.0839395,0.0714,33.2534019,0.0716,-0.0093,-110,94,6,100,0.906,0.901,0.974,1.05,0.944,3N000,AAAA,15.0,0.0,42.867,42.833,29.836,29.71,,,2M
[0.349],1093.0,0.349,J143244.44-005915.2,218.1851925,-0.987563,0.0486,0.0477,165.1,Im,14.122,0.026,13.005,0.027,10.552,0.067,8.368,0.251,16.198,0.104,15.873,0.163,15.316,0.179,1081.393,3427.368,2.178001601351052e+18,41.9,1.3,40.3,1.03,16.1,0.916,4.3,0.939,1.09,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,110n,42,42,33,33,18,22,1,22,0.0,218.185193,0.0623,-0.9875627,0.0598,-0.0044,21,68,18,70,1.31,1.03,0.916,0.939,1.09,2N000,AAAB,15.0,1200.0,41.154,32.573,22.457,22.793,289538168,0.262,2M
[0.407],1094.0,0.407,J143310.55+525830.5,218.2939698,52.975146,0.0381,0.0371,146.3,Im,13.115,0.023,12.279,0.022,9.238,0.028,6.689,0.048,15.773,0.109,15.188,0.121,14.371,0.081,3877.5,1983.18,2.1941530013510374e+18,46.4,3.27,48.7,1.2,38.2,0.934,22.8,0.927,1.71,1.0,0.0,0.0,0.0,0.0,0.0,0000,5.0,1210,68,68,68,68,47,47,47,47,0.0,218.2939727,0.0375,52.975147,0.0378,-0.0146,153,43,64,45,3.28,1.19,0.934,0.927,1.7,2N000,AAAA,15.0,0.0,70.327,70.521,47.788,48.079,932796640,0.139,2M
[0.341],1095.0,0.341,J143352.28+052730.1,218.4678346,5.4583791,0.0309,0.0302,139.5,Im,10.441,0.023,9.907,0.02,6.847,0.016,4.457,0.025,13.032,0.069,12.237,0.085,11.577,0.051,2744.279,478.865,2.187106001351008e+18,48.1,15.9,53.4,5.21,68.3,6.65,43.2,2.28,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0000,5.0,1200,33,33,33,33,24,24,24,24,0.0,218.4678362,0.0529,5.4583854,0.0305,-0.0282,38,35,159,26,15.9,5.21,6.62,2.27,7.98,1N000,AAAA,15.0,0.0,33.558,33.423,24.003,24.204,1259129646,0.053,2M
[0.39],1096.0,0.39,J143525.32+400112.3,218.8555111,40.020101,0.0835,0.078,27.2,Im,15.545,0.038,14.467,0.042,11.191,0.1,8.728,0.298,,,,,,,1757.668,3735.733,2.1871393013510592e+18,28.2,0.912,25.6,0.877,10.9,1.04,3.6,1.03,0.942,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,01nn,44,44,43,44,8,24,0,24,0.0,218.8555079,0.1045,40.0201013,0.1064,0.0217,-218,200,36,211,0.909,0.878,1.04,1.03,0.942,1N000,AAAB,15.0,0.0,45.712,46.512,24.098,24.357,,,2M
[0.12],1097.0,0.12,J143543.71+342906.4,218.9321431,34.485116,0.0672,0.0635,179.1,Im,15.044,0.03,14.362,0.04,11.095,0.095,9.097,0.363,,,,,,,2819.381,1140.593,2.1921348013510164e+18,36.1,0.978,27.1,1.01,11.4,0.906,3.0,0.945,0.966,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,001n,45,45,45,45,12,30,1,30,0.0,218.9321388,0.0759,34.4851164,0.081,-0.005,-82,114,8,126,0.977,1.01,0.906,0.945,0.966,3N000,AAAC,15.0,0.0,46.005,45.748,32.465,32.446,,,2M
[0.281],1098.0,0.281,J143624.62+352537.2,219.1025985,35.4270084,0.0687,0.0655,11.2,Im,15.22,0.033,14.071,0.036,11.626,0.129,8.965,,,,,,,,2446.915,3605.603,2.1921348013510592e+18,32.6,0.832,30.2,0.842,8.4,1.08,1.6,1.03,0.922,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,00nn,46,46,46,46,3,30,1,30,0.0,219.1025989,0.0752,35.4270101,0.0771,0.0095,7,115,55,124,0.832,0.842,1.08,1.03,0.922,1N000,AABU,7.0,0.0,46.264,46.308,30.963,31.184,,,2M
[0.203],1099.0,0.203,J143628.07+335524.4,219.1169752,33.923447,0.0602,0.0585,10.7,Im,14.862,0.03,13.794,0.032,11.069,0.096,8.676,0.28,,,,,,,3095.431,3636.143,2.1951333013510605e+18,36.2,0.946,33.9,1.04,11.3,0.949,3.9,0.887,0.962,1.0,0.0,0.001,0.0,0.0,0.0,0000,0.0,110n,43,43,43,43,11,28,0,28,0.0,219.1169769,0.0797,33.9234507,0.0778,-0.0063,39,108,103,111,0.945,1.04,0.949,0.887,0.961,2N000,AAAB,15.0,0.0,45.132,45.401,30.989,30.984,,,2M
"[0.625, 9.624]",1100.0,0.625,J143632.99+344253.1,219.1374896,34.7147695,0.1076,0.0976,17.4,Im,16.119,0.046,14.763,0.052,11.863,0.162,9.539,,,,,,,,2375.321,1740.736,2.1921348013510326e+18,23.8,0.979,20.8,0.869,6.7,0.968,-0.1,1.05,0.958,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,00nn,43,49,43,49,3,35,0,35,0.0,219.1374943,0.121,34.7147708,0.1309,0.0286,79,229,25,251,0.98,0.869,0.968,1.05,0.958,2N000,AABU,7.0,0.0,49.095,48.681,34.992,34.746,,,2M
