name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J174839.2-360622,3116, 17 48 14.45,-36 07 43.85,267.1635,-36.10635555555556,1.79,1.79,0.0,2.86,False,False,False,False,False,7.468616349155843e-15,3.2280083476954056e-15,4.913e-15,3.0110000000000002e-15,1.955717406875441e-15,1.0279198908213444e-15,5.998989422804015e-16,5.452500259927155e-16,0.968,0.811,,31.61,,,,,,,,,,0,2.86,5.998989422804015e-16,5.452500259927155e-16,1.955717406875441e-15,1.0279198908213444e-15,4.913e-15,3.0110000000000002e-15,,0.0,0.968,,2.86,0,7.468616349155843e-15,3.2280083476954056e-15
2CXO J174841.8-270522,3117, 17 48 44.33,-27 10 09.11,267.1742083333333,-27.089594444444444,0.86,0.83,90.8,9.51,False,False,False,False,False,1.5723510002838249e-15,2.7158631372246127e-16,7.213999999999999e-16,2.5859999999999995e-16,1.497e-16,3.6899999999999993e-17,7.012510002838251e-16,7.432062837029291e-17,0.908,0.89,0.888,136.9,1.1201064611891384e-15,1.3281748399259725e-16,4.288850293027208,1.2983851096115355,,,1.054611166415729e-06,5.288410906309018e-07,0.776,0,4.0,5.652966919321466e-16,6.430643089055756e-17,1.0545653661823324e-16,2.3679569377653566e-17,6.696930464167527e-16,1.5933191483065224e-16,17.501971125182244,14.0,0.908,0.77,4.0,0,1.3404462749671325e-15,1.7344364543965104e-16
2CXO J174851.9-202146,3118, 17 48 53.29,-20 21 39.52,267.2165416666666,-20.36296666666667,0.72,0.72,160.2,5.69,False,False,False,False,False,,,5.648224805923485e-16,4.2672939366477467e-16,,,7.637606346317591e-16,2.901500175843877e-16,0.991,0.996,1.0,30.75,,,,,,,,,,0,5.49,9.123039578700197e-16,2.1146462270233495e-16,2.955501317460181e-16,1.2890935614424378e-16,8.768284408561969e-16,4.1961769031852253e-16,24.751588620397822,2.0,0.991,1.0,5.49,0,2.0846825304722347e-15,4.872513876680248e-16
2CXO J174852.1-202132,3119, 17 48 51.05,-20 22 46.33,267.2173333333333,-20.359011111111112,0.71,0.71,93.2,28.02,True,False,False,False,True,2.7168944816589133e-14,2.4872966549969114e-15,6.859828467433291e-15,2.0083292725484796e-15,1.427202115439197e-14,1.265004481423984e-15,6.037095194763871e-15,7.436543854244095e-16,0.91,0.949,1.0,30.72,2.068232698311685e-14,3.102191173257256e-15,6.184129223782767,0.7432507125119554,134.77344213848886,19.278280109686847,0.0003597064373134622,0.00015465008926863094,1.05,0,13.58,9.241989422804014e-15,1.2395011434063666e-15,2.2392021154391968e-14,2.2150025593716055e-15,2.773202115439197e-14,5.125001106148441e-15,,0.0,0.242,,13.58,0,5.936603173158796e-14,5.719111448516387e-15
2CXO J174852.7-202141,3120, 17 48 51.05,-20 22 46.33,267.21975,-20.361608333333336,0.73,0.73,122.0,3.95,False,False,False,False,True,5.847346517589394e-15,1.8300129371949197e-15,3.702179812331756e-15,1.7567331675996342e-15,1.9372550014191256e-15,4.900782029777283e-16,2.0791170383851244e-16,1.5053000738142698e-16,0.915,0.99,0.887,30.77,,,,,,,,,,0,3.44,2.0522240609808447e-16,8.495580356069675e-17,7.128566385316488e-16,1.9948746237722867e-16,1.2846421707474935e-15,5.142128918940013e-16,5.255426073037304,3.0,0.915,0.846,3.44,0,2.2027212153772268e-15,5.580570171535717e-16
2CXO J174852.8-202133,3121, 17 48 52.02,-20 22 08.92,267.2202083333333,-20.35944166666667,0.71,0.71,122.1,12.29,False,False,False,False,True,,,,,5.038797884560803e-15,6.235000909223892e-16,1.0846700392365993e-15,2.3814800437773947e-16,0.702,0.613,0.885,30.75,,,,,,,,,,0,9.19,1.0330403364661495e-15,2.1223938377209938e-16,4.966538440124001e-15,5.366954958620203e-16,3.0529571158034466e-14,3.1398119055042767e-15,5.973854538609336,2.0,0.702,0.95,9.19,0,3.6529149934624615e-14,3.1924138850169375e-15
2CXO J174941.7-291656,3122, 17 49 08.71,-29 11 50.90,267.42404166666665,-29.282469444444445,0.85,0.77,89.5,4.19,False,False,False,False,False,1.2368255672621073e-14,2.9470482954141697e-15,1.5758220075856591e-15,1.1905502931034466e-15,3.643350196182997e-15,1.3167170537847132e-15,7.149083468852416e-15,2.352432752570701e-15,0.307,0.658,0.373,94.21,,,,,,,,,,0,4.19,6.690465646890128e-15,2.0322975529470857e-15,2.5210463212165415e-15,8.87005619106793e-16,1.8413418515141054e-15,1.1600868379220292e-15,0.036572337869450786,1.0,0.307,0.152,4.19,0,1.1052853819620774e-14,2.5025614445127355e-15
2CXO J174955.3-291919,3123, 17 49 55.22,-29 17 55.37,267.48074999999994,-29.322086111111112,0.77,0.76,146.3,3.26,False,False,False,False,False,2.1204169922111636e-14,6.665131388522657e-15,2.0168825021286882e-14,6.63629943060309e-15,5.694601057719598e-16,5.095250002781518e-16,4.6588479505279305e-16,3.5198091956612787e-16,0.532,0.602,,92.77,,,,,,,,,,0,3.26,4.6588479505279305e-16,3.5198091956612787e-16,5.694601057719598e-16,5.095250002781518e-16,2.0168825021286882e-14,6.63629943060309e-15,,0.0,0.532,,3.26,0,2.1204169922111636e-14,6.665131388522657e-15
2CXO J174959.3-295710,3124, 17 49 54.99,-29 53 39.09,267.4974166666666,-29.953041666666667,2.23,1.61,117.1,1.84,False,False,False,False,False,2.665525404639208e-14,1.3509917800206271e-14,1.2842278691998797e-14,1.164187948497155e-14,1.0550425385270366e-14,6.396001276325136e-15,3.2625499691229166e-15,2.4648912144303764e-15,0.012,0.041,0.756,84.11,,,,,,,,,,0,1.84,3.2625499691229166e-15,2.4648912144303764e-15,1.0550425385270366e-14,6.396001276325136e-15,1.2842278691998797e-14,1.164187948497155e-14,,0.0,0.012,,1.84,0,2.665525404639208e-14,1.3509917800206271e-14
2CXO J175002.7-292628,3125, 17 49 27.30,-29 28 03.92,267.51137499999993,-29.441180555555555,1.01,0.97,113.7,6.47,False,False,False,False,False,6.732398712537308e-14,8.574283512082035e-15,5.575e-14,8.250000000000003e-15,6.197371350574967e-15,1.4857503618284927e-15,5.376615774798108e-15,1.8023272754658874e-15,1.0,1.0,1.0,89.66,,,,,,,,,,0,6.47,1.1974134744398695e-15,5.00374853921856e-16,1.7637101740868753e-15,5.377536516131715e-16,7.465686303334167e-15,2.1532852748830206e-15,65.62808577386384,3.0,1.0,1.0,6.47,0,1.0426809951860911e-14,2.275124493140686e-15
