GAIA_Source,CSC__2CXO
4.583780525118377e+17,J021856.8+571051
4.583776058353065e+17,J021857.8+570730
4.583747196172607e+17,J021909.2+570806
2.4894922373780506e+18,J021934.1-050859
2.489495261035069e+18,J022002.0-050101
2.493757384716604e+18,J022054.3-015650
7.469542551265869e+16,J022150.6+132740
3.391664591963356e+17,J022224.0+421515
3.3916820724687974e+17,J022224.4+422138
3.39154605087397e+17,J022353.6+421221
3.3808021042789606e+17,J022353.7+395902
1.3069259064248166e+17,J022412.3+275011
2.500805902790198e+18,J022436.9-000603
2.4899456141262377e+18,J022525.6-043509
2.501217021355164e+18,J022641.9+002811
2.489177983211183e+18,J022659.9-044430
5.136699152799135e+17,J022701.4+621440
5.1357789990412864e+17,J022715.6+613730
5.136720455892362e+17,J022736.3+622000
2.501225675713825e+18,J022800.6+002711
2.500480687866975e+18,J022837.5+003010
2.5004726476881725e+18,J022837.8+002215
2.501347588361032e+18,J022841.4+005208
5.176371177291758e+18,J022849.5-090154
8.5779297289739e+16,J023019.4+182909
2.500508759773175e+18,J023101.4+002403
2.5005565198094653e+18,J023101.7+002741
1.3129182877517133e+17,J023104.0+293507
2.500594212442584e+18,J023123.8+004426
5.178140772537136e+18,J023132.5-072725
4.965809684051921e+18,J023150.9-364019
1.0211700499095322e+17,J023430.6+243835
5.178213782685802e+18,J023524.0-070952
3.3424301362904115e+17,J024011.3+390609
4.656455151298559e+17,J024031.6+611345
5.177089983018387e+18,J024104.8-081520
2.49887151823988e+18,J024145.2+003028
2.49870343039973e+18,J024207.2+000039
5.185660847955522e+18,J024810.7-033536
3.3737834405189645e+17,J025134.5+431515
3.373782753324196e+17,J025135.8+431511
3.3630982490813606e+17,J025504.2+413652
5.05207179579316e+18,J025642.5-331521
5.078124590671537e+18,J025702.8-232229
2.9057412263213056e+16,J025855.5+132501
110951890948096.0,J025951.7+004619
1.4199539837731942e+17,J025958.5+364913
112669877897344.0,J025959.6+004813
5.188062623732623e+18,J030054.5-003403
4.3326836801676416e+17,J030114.1+445350
5.188068812780173e+18,J030116.1-003150
3383957488516736.0,J030518.4+034600
5.059604618674575e+18,J030641.0-283559
1.1254453704739853e+17,J030928.1+264138
1.1254116979304512e+17,J030929.8+263804
5.104802002639658e+18,J031115.2-172247
3.267222681954919e+18,J031120.4+011841
3.265812352133751e+18,J031645.5-000553
2.3942690758385395e+17,J031920.1+413745
2.3942525831647142e+17,J031921.1+413119
2.394217149725147e+17,J031948.1+413042
2.3942165054476083e+17,J031957.3+413134
5.535491719622413e+16,J032138.3+165042
4.353062441047854e+17,J032206.8+473406
4.353079620908445e+17,J032208.0+473612
3.262780448820198e+18,J032356.6-003001
3.262779795985188e+18,J032402.0-003035
5.059841769588621e+18,J032444.2-291821
3.264405870603733e+18,J032515.5+003408
4.735633586270228e+18,J032738.9-532604
3.268352125209599e+18,J032754.1+023342
3.2683543929529897e+18,J032757.7+023511
2.385381242335712e+17,J033102.5+434758
2.3853898322699635e+17,J033106.0+435230
2.3854049505645005e+17,J033111.9+435415
5.057495755372391e+18,J033115.0-275518
2.385408042930907e+17,J033133.1+435624
5.057503451953862e+18,J033208.6-274734
5.05750695664724e+18,J033216.1-273930
5.05750678484854e+18,J033226.4-274035
5.057505925855076e+18,J033226.9-274105
5.057529496635741e+18,J033238.1-273945
5.057502318082683e+18,J033239.0-274602
5.057488849066912e+18,J033244.2-275141
5.057484588457415e+18,J033312.6-275551
5.057483385866924e+18,J033320.0-275912
4.859919670550318e+18,J033336.3-360825
4.85034354274784e+18,J033339.5-391841
