name,ra,dec,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,powlaw_gamma_mean,e_powlaw_gamma_mean,e_Fcsc_h,var_intra_prob,var_inter_prob,Class
2CXO J073756.3-303557,114.48491666666666,-30.599402777777776,3.642993091308004e-15,4.705253553289011e-16,1.2525100215343409e-15,2.9293882750233473e-16,1.104176646329284e-15,,,8.062676281854282e-16,0.996,0.822,LM-STAR
2CXO J073810.2-303824,114.54249999999998,-30.64022222222222,5.813547155522547e-15,6.132477045707356e-16,4.113226439066271e-16,1.6494811748003444e-16,9.103862838760697e-16,,,6.878065237625482e-16,0.427,,LM-STAR
2CXO J074108.5+202544,115.28554166666666,20.429044444444447,1.245802943415702e-14,3.4521767822347256e-15,2.5392550014191246e-14,4.010955559886937e-15,2.435e-12,0.1111809610472258,0.2145214063874237,9.4e-14,0.536,,LM-STAR
2CXO J074108.8+311346,115.28683333333332,31.2295,6.732202115439198e-15,9.275000611214149e-16,1.7407978845608029e-15,5.605001011420316e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J074118.8+311434,115.328625,31.24285833333333,8.709202115439198e-15,1.4905000380342926e-15,1.8472761558110967e-15,6.441140743494214e-16,2.1053989422804013e-15,,,1.315750010771445e-15,0.936,,LM-STAR
2CXO J074207.6+251726,115.53183333333332,25.290783333333334,3.652893079324673e-14,8.121351513884229e-15,3.132e-14,7.170000000000001e-15,9.754808461756789e-14,,,2.6740003392078405e-14,0.137,,AGN
2CXO J074301.3+802625,115.75566666666666,80.44054722222222,9.297530008514752e-15,2.7964933794342625e-15,2.874e-14,4.7e-15,1.4408084617567886e-12,0.2133724992904372,0.2825339116964013,7.20125967011475e-14,0.501,,AGN
2CXO J074408.4+375841,116.03508333333332,37.97815833333333,1.381003291906453e-16,6.03945530214329e-17,6.395007000701493e-16,1.7392645311170456e-16,1.6775682145814852e-14,3.928670958208975,0.664817371784929,1.6126224949785358e-15,0.901,0.907,AGN
2CXO J074414.9+375645,116.06208333333332,37.946025,1.3645834339496911e-14,7.494869461048587e-16,3.0621857124865457e-15,3.066282216890044e-16,2.412988650220967e-15,5.240480568681233,0.7362577215691841,4.980755053713269e-16,1.0,1.0,LM-STAR
2CXO J074414.9+375656,116.06220833333332,37.949102777777775,3.555717059579414e-14,1.2017792307561142e-15,6.757769731724839e-15,4.488085684183758e-16,5.386471892426918e-15,6.626863645167656,0.9160658358080902,7.486395339629938e-16,1.0,1.0,LM-STAR
2CXO J074503.4+020041,116.26454166666664,2.011477777777778,5.587626351994093e-15,1.873846402517069e-15,1.29656863690236e-15,8.520668130853552e-16,2.177319153824321e-15,,,1.7418000052074969e-15,0.608,,LM-STAR
2CXO J074618.6+230623,116.577875,23.10645,3.9492021154391975e-14,5.645001004253475e-15,3.403e-14,5.3e-15,8.871211543919713e-14,1.9717344213848889,0.271700585937452,1.6793376081885158e-14,0.318,,AGN
2CXO J074636.0+200149,116.65004166666664,20.03043333333333,6.744584043210151e-15,1.5287806987736826e-15,5.615e-16,4.267e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J074807.7-191953,117.03237499999996,-19.33140277777778,3.1028524351789954e-14,1.7329065472983433e-15,3.4675352979944604e-15,4.455874864351196e-16,3.037417191725932e-15,9.008458265573791,0.8857873412065915,1.2770239318833057e-15,0.778,0.522,LM-STAR
2CXO J074833.7-674507,117.14045833333331,-67.752075,3.190140955937769e-13,5.300764471020508e-15,1.4520238411152312e-13,3.1705947851059306e-15,5.2800843645644394e-14,5.102787307364817,0.1110183844603888,3.168160795274084e-15,0.982,1.0,LMXB
2CXO J075054.6+425219,117.72775,42.871975,2.2727978845608027e-14,5.425001044978955e-15,2.2540740403719e-14,5.796198243494178e-15,4.8406051976021225e-14,,,1.6878160576798042e-14,0.743,,AGN
2CXO J075118.0+500817,117.82508333333332,50.13807222222222,1.3877762706826437e-15,4.743845626850262e-16,4.0022221211156994e-16,1.8338408510581407e-16,1.2868464036472777e-15,,,9.018160474794001e-16,0.85,,LM-STAR
2CXO J075214.3+273650,118.05962499999998,27.61405555555556,5.172202115439197e-15,1.0625000533553995e-15,6.617158657939784e-15,1.1497773757473366e-15,1.1364414808074381e-14,,,3.053500909715134e-15,0.029,,AGN
2CXO J080046.6+360416,120.194375,36.07113888888889,1.997e-15,5.070000000000003e-16,4.101e-16,2.5820000000000003e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J080207.3+004342,120.5304583333333,0.7283972222222223,5.761202115439197e-15,9.255000612534976e-16,4.852e-16,3.184e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J080321.3+482051,120.839125,48.34775833333334,5.808403082162925e-14,1.5663335890473206e-14,5.660370201859499e-15,3.603981759036975e-15,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J080323.0+481618,120.84583333333332,48.27180555555555,3.749e-14,1.159e-14,3.669e-14,9.03e-15,1.1097606346317593e-13,,,2.6915001895638143e-14,0.513,,AGN
2CXO J080405.8+050649,121.02441666666664,5.113830555555555,7.978845608028655e-18,6.028102749890869e-18,7.243602366124307e-14,3.1217564029396258e-15,3.774282751611668e-12,-1.0443936536824086,0.0215237176632822,6.21845953767706e-14,,,AGN
2CXO J080424.9+604007,121.103875,60.668841666666665,2.667e-13,1.2700000000000012e-14,1.814202115439197e-13,7.450076093723906e-15,5.654042308783944e-13,1.831191538243212,0.0700129565412153,2.2010304879999502e-14,0.961,,AGN
2CXO J080430.4+645952,121.12699999999998,64.99804722222223,1.2301963733733008e-14,2.991334015280032e-15,4.891289638405521e-15,1.8828079390926608e-15,1.1734517820365834e-14,,,4.904387783606052e-15,0.937,0.407,AGN
2CXO J080523.2+281815,121.34708333333332,28.304366666666667,4.675202115439197e-15,1.6185000350263288e-15,1.7007180961047225e-15,8.285500554209047e-16,2.596797884560803e-14,,,8.655000654998403e-15,0.398,,AGN
2CXO J080534.9+240950,121.39583333333334,24.163988888888888,2.583202115439197e-15,1.1925000475388786e-15,3.087797884560803e-15,1.3965000405944245e-15,8.189797884560803e-14,,,1.7185000329881374e-14,0.108,,AGN
2CXO J080623.3-412230,121.59745833333332,-41.37516111111111,6.537093650653787e-13,1.8182023951866692e-14,2.0862692976028707e-14,1.882457966694408e-15,3.2813082708192202e-15,7.239085766283354,0.516320265672166,1.289635131226033e-15,0.567,0.978,NS
2CXO J080635.1+194806,121.64658333333333,19.801794444444447,2.2337978845608028e-14,3.255001741631296e-15,3.747202115439197e-15,1.1585000489340633e-15,1.0899103100567141e-15,,,8.234388356350926e-16,0.371,,LM-STAR
2CXO J080731.7+211753,121.88229166666666,21.29831388888889,1.1264905426461984e-14,2.1115738319804915e-15,5.0255984206969954e-15,1.0240623695896958e-15,6.0036965467859566e-15,,,2.0942857186129387e-15,0.179,1.0,AGN
2CXO J080849.4+521515,122.20604166666664,52.25429722222222,1.1864195912375665e-15,1.150557460548874e-15,2.932202115439197e-15,1.7775000318931717e-15,1.2178825021286883e-14,,,7.756111792168991e-15,0.291,,AGN
2CXO J080858.0+204842,122.24195833333332,20.81193888888889,1.294e-14,2.6199999999999988e-15,2.706350196182997e-15,1.239730535127491e-15,1.6220993121122258e-15,,,1.2255132890528138e-15,0.23,,LM-STAR
2CXO J080907.5+441641,122.281625,44.27814166666666,1.5128296161487598e-13,2.11052653441306e-14,8.881594620406138e-14,1.6612888521406143e-14,2.593e-13,,,5.23e-14,0.832,,AGN
2CXO J080949.1+521857,122.45479166666668,52.315977777777775,2.63641480807438e-12,8.953103166586423e-14,1.155e-12,4.4000000000000014e-14,1.3972021154391972e-12,2.969393653682409,0.0905056375152879,8.950063340685153e-14,0.127,,AGN
2CXO J081011.7+345857,122.54916666666664,34.9827,5.303222121115699e-15,1.8488380856661428e-15,9.519317315879571e-15,2.526504908984293e-15,1.3103191538243212e-14,,,6.048000149973844e-15,0.846,,AGN
2CXO J081023.3+421626,122.597375,42.273913888888885,1.0937180961047224e-14,3.7855012130229776e-15,3.2362021154391968e-15,1.618500035026329e-15,8.165010577195986e-15,,,4.453500318233479e-15,0.925,,AGN
2CXO J081257.8+522210,123.24104166666665,52.369475,8.274797884560802e-14,1.1355000499252421e-14,5.4249999999999996e-14,8.859999999999996e-15,1.5292021154391973e-13,,,2.955001918446545e-14,0.493,,AGN
2CXO J081303.8+254210,123.266,25.70302222222222,6.857797884560803e-14,1.11150005100325e-14,8.054202115439199e-14,1.1255000503688248e-14,3.2542021154391973e-13,1.6277661529728458,0.2280636431750442,4.4050012869490476e-14,0.524,,AGN
2CXO J081313.1+541647,123.30458333333333,54.27975277777778,1.4256063463175914e-13,4.951030622051015e-15,8.878797884560805e-14,4.035001404959205e-15,2.960202115439197e-13,1.8067978845608028,0.0395014351666827,1.4550038962225368e-14,0.694,,AGN
2CXO J081425.4+514633,123.6062083333333,51.77610833333333,4.811797884560803e-15,1.8045000314159675e-15,1.1075585191925619e-15,9.966500278715248e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J081512.1+364336,123.80062499999998,36.72672222222222,6.646216174170526e-15,1.7288106704589865e-15,1.0547763619579037e-15,5.782234794077397e-16,2.4582823318336284e-15,,,1.857258457241377e-15,0.778,,LM-STAR
2CXO J081618.9+482328,124.079125,48.391308333333335,5.208797884560802e-15,1.953500029019766e-15,6.302202115439198e-15,2.3635000239856624e-15,1.578765463743564e-14,,,7.233279302448734e-15,0.244,,AGN
2CXO J081739.5-073308,124.41495833333332,-7.552327777777777,3.8701941554562816e-14,4.4904770076328825e-15,8.818991681707053e-15,1.4577455459460317e-15,7.481521293239934e-14,0.85058519192562,0.139519911235472,8.249679004588823e-15,0.985,0.883,AGN
2CXO J081839.0+313100,124.66254166666666,31.516675,3.612403082162925e-15,1.7962908762719527e-15,3.344e-15,1.869e-15,1.8883616923513577e-14,,,1.0554000343771767e-14,0.773,,AGN
2CXO J081840.2+210208,124.66770833333332,21.03569166666667,1.1567978845608028e-13,9.250061286406502e-15,5.81265923229752e-14,4.0710918694923105e-15,1.1450000000000004e-13,2.2723724992904373,0.1635585866240897,1.13e-14,0.99,,AGN
2CXO J081851.5+212333,124.714625,21.39260277777778,3.2640528859799285e-14,3.675963991149398e-15,5.490743849865405e-15,1.213216085523338e-15,1.573428353903251e-15,6.025938834255024,1.2541500236965288,1.1887418622784797e-15,0.994,,LM-STAR
2CXO J081855.9+312712,124.73316666666666,31.453380555555555,4.906e-14,7.78e-15,3.951478271250294e-14,6.576180255525457e-15,1.1743616923513576e-13,,,2.3740015282923823e-14,0.305,,AGN
2CXO J081910.2+211739,124.79258333333333,21.29435,8.579020005676502e-15,1.7203564515942828e-15,5.880148080743799e-15,1.1522411045937388e-15,2.386e-14,,,4.8300000000000016e-15,0.237,,AGN
2CXO J081923.9+211732,124.84991666666664,21.29231111111111,2.966e-15,9.549999999999995e-16,9.20760634631759e-16,4.721500108061213e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J082020.1+364004,125.084125,36.66788055555556,1.1383934239393148e-14,2.649534190004465e-15,1.0146010577195986e-14,2.782500509345091e-15,7.194e-14,,,1.7439999999999996e-14,0.276,,AGN
2CXO J082033.8+212426,125.14095833333332,21.40736944444444,1.1454787307364815e-14,2.077000982592016e-15,8.775404230878394e-15,1.4440001570363178e-15,2.3350528859799284e-14,,,4.235836548336942e-15,0.923,,AGN
2CXO J082103.2+075121,125.2635833333333,7.8560027777777774,9.51360634631759e-15,1.9955002556807776e-15,2.763e-15,1.344e-15,2.7726488487899568e-15,,,2.094765705587077e-15,0.976,,LM-STAR
2CXO J082125.4+210746,125.356125,21.129655555555555,3.3422021154391973e-15,1.0145000558798546e-15,3.6636150855688254e-16,2.921686878055933e-16,8.1464013657972575e-16,,,6.154692907638577e-16,0.666,,LM-STAR
2CXO J082133.8+210818,125.39091666666664,21.138430555555555,5.729e-15,1.7709999999999998e-15,1.712e-15,6.29e-16,2.5019671196965738e-15,,,1.5157334383065693e-15,0.621,,AGN
2CXO J082141.1+212107,125.42141666666664,21.35196111111112,7.978845608028655e-18,6.028102749890869e-18,3.906361692351357e-16,2.9764000121897843e-16,2.372000000000001e-15,,,1.3660000000000005e-15,,,LM-STAR
2CXO J082214.2+275201,125.55945833333332,27.86698055555556,7.510606346317592e-15,5.708500089377423e-15,6.328606346317592e-15,4.810500106061952e-15,7.978845608028655e-18,,,6.028102749890869e-18,,,AGN
2CXO J082225.0+055719,125.60429166666668,5.955552777777778,1.2126010577195984e-14,3.03250046735457e-15,2.501202115439197e-15,1.3975000405653757e-15,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J082226.2+205858,125.60941666666665,20.98301111111111,2.0922021154391972e-14,3.1050018257680238e-15,4.103318464595039e-15,1.0371714228582734e-15,1.8044787307364816e-15,,,1.2697000160734353e-15,0.594,,LM-STAR
2CXO J082231.9+055706,125.63320833333331,5.951863888888889,1.2289202115439197e-15,9.34050000606928e-16,6.210612328651701e-16,6.326321490000789e-16,2.218119079031965e-15,,,1.6758125644696617e-15,0.311,,AGN
2CXO J082400.2+280553,126.00091666666668,28.09821111111111,2.269e-14,3.97e-15,4.913807313041321e-15,1.713317805810172e-15,5.051202115439198e-15,,,3.0615000185171045e-15,0.449,,LM-STAR
2CXO J082443.3+295923,126.18041666666666,29.98983055555556,3.084202115439197e-14,9.195000616531939e-15,1.8652021154391972e-14,7.145000793423523e-15,6.294e-13,,,1.302e-13,0.352,,AGN
2CXO J082538.5+615729,126.41079166666664,61.95808055555556,2.320212692635183e-13,1.1101838446038898e-14,1.921797884560803e-13,8.650065537455552e-15,7.262e-13,1.6227978845608029,0.0695008156803043,3.2200000000000004e-14,0.325,,AGN
2CXO J082549.5+471027,126.4563333333333,47.17429722222222,3.0687978845608026e-13,2.5150022540790623e-14,2.2652021154391972e-13,1.5250037173799816e-14,6.469063463175916e-13,1.823542883141677,0.1098767681811948,4.7810672679316e-14,0.316,,AGN
2CXO J082718.9+291841,126.82883333333332,29.31158333333333,1.3229627500709565e-15,6.106501568922951e-16,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J082726.2+291601,126.85933333333332,29.26696111111111,8.656796735845333e-15,1.5258213773534545e-15,3.527743849865405e-15,1.18322156427804e-15,1.269434336237359e-15,,,9.590711475076374e-16,0.666,,LM-STAR
2CXO J083052.0+241059,127.717,24.18323333333333,4.538212692635183e-13,1.0102020435633047e-14,3.9979788456080293e-13,1.0505397671084734e-14,1.487e-12,1.6157978845608028,0.0425013338640992,4.4000000000000014e-14,0.532,,AGN
2CXO J083139.1+524205,127.913,52.70146111111112,7.781595769121608e-16,5.929000038245989e-16,1.422233387540967e-15,9.49971461075952e-16,6.880828467433291e-14,,,1.7963681323646064e-14,0.062,,AGN
2CXO J083310.2+330729,128.29291666666666,33.12493333333333,1.5279366822055638e-14,1.0101677347625e-15,7.710924128256927e-15,7.319896351404221e-16,6.968779952827984e-15,4.096171532566709,0.500323362411855,1.2560158720971425e-15,0.839,1.0,LM-STAR
2CXO J083311.8+330631,128.29920833333333,33.1087,1.2497584517080309e-15,2.7518683139126267e-16,6.61559828091829e-16,2.1034371947252168e-16,1.2697068738727192e-15,,,4.957133106636185e-16,0.908,0.129,LM-STAR
2CXO J083454.9+553421,128.72879166666667,55.57253611111111,1.5757525740613214e-14,9.2318676010709e-16,1.5074780979145796e-14,9.78555200592534e-16,6.33150284910244e-14,1.5069471140200716,0.0988590544273526,4.0897674428758404e-15,0.507,0.626,AGN
2CXO J083627.2+533440,129.1134583333333,53.577783333333336,1.218e-14,1.99e-15,1.3453984827942138e-15,6.876634788754714e-16,1.5122819038952773e-15,,,1.249450036751364e-15,0.53,,LM-STAR
2CXO J083628.7+533619,129.1198333333333,53.605491666666666,6.804999999999999e-15,1.961e-15,1.992105771959857e-15,8.891594067258588e-16,1.916239365368241e-15,,,1.5828500032233695e-15,0.474,,LM-STAR
2CXO J083642.7+532838,129.17795833333332,53.477266666666665,8.258999999999999e-13,1.7599999999999996e-14,4.767e-13,1.3800000000000002e-14,1.162e-12,2.307797884560803,0.0545010401756483,4.1000000000000034e-14,1.0,,CV
2CXO J083643.8+005452,129.18274999999997,0.9147166666666668,6.313466545338839e-15,2.201408872629956e-15,7.949393653682408e-15,2.9215001746400856e-15,1.0951595769121603e-14,,,6.1190000370584176e-15,0.786,,AGN
2CXO J083658.7+530950,129.24487499999998,53.16392222222222,6.686297310203068e-14,7.591580287144901e-15,3.7877978845608034e-14,5.965000950379032e-15,6.446797884560802e-14,2.272639226621018,0.3080647402654267,1.4755000384209513e-14,0.055,,AGN
2CXO J083722.4+582501,129.34345833333333,58.417180555555554,1.9662232698311685e-13,1.6254220684961646e-14,2.037797884560803e-13,1.7850031759139162e-14,9.090202115439197e-13,1.4587873073648172,0.1300156978529699,7.655000740563171e-14,0.366,,AGN
2CXO J083745.0+651335,129.43754166666665,65.22647500000001,1.8317978845608034e-13,1.7350032674386416e-14,1.696797884560803e-13,1.825003106304964e-14,3.417457116858323e-13,2.065968268412043,0.1955652334931168,4.665885812854233e-14,0.77,,AGN
2CXO J083749.6+364145,129.45666666666665,36.69600833333333,5.441202115439197e-15,2.040500027782462e-15,4.476051737264459e-15,2.2258606936202232e-15,1.4271595769121607e-14,,,8.649000026218112e-15,0.539,,AGN
2CXO J083803.6+540641,129.51524999999998,54.11154166666667,1.5122021154391973e-15,1.1495000493171924e-15,6.373797884560802e-15,2.085500027182984e-15,3.033202115439197e-14,,,8.595000659570816e-15,0.372,,AGN
2CXO J083839.1+285852,129.66316666666663,28.981294444444444,1.4872819038952776e-14,9.014500509390326e-15,7.864989422804014e-15,5.976500237137591e-15,7.978845608028655e-18,,,6.028102749890869e-18,,,AGN
2CXO J084002.3+294902,130.00979166666664,29.8174,3.1152857351376402e-15,2.534500827754673e-16,2.5544137734327118e-15,2.328065291850636e-16,6.805425004912627e-13,1.2139788456080287,0.3240174964762909,1.1092643815286121e-14,0.719,1.0,AGN
2CXO J084012.0+294856,130.05012499999998,29.81556666666667,2.3652496095869706e-15,2.2709653572671327e-16,4.203819601192976e-16,9.705499826677032e-17,3.841829304285043e-16,10.162744521067353,3.4770297015738536,1.659905717806694e-16,0.906,0.362,LM-STAR
2CXO J084035.1+562419,130.14629166666663,56.40545,3.6056403302681487e-16,2.724099632675684e-16,5.655202115439197e-16,4.298500013188348e-16,9.77847344213849e-15,,,9.202450059200756e-15,0.185,,AGN
2CXO J084035.4+412645,130.14762499999998,41.44604444444444,4.4862021154391975e-14,7.235000783553708e-15,1.9837978845608036e-14,4.0750013911682e-15,2.267e-14,,,7.29e-15,0.199,,AGN
