_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
[9.139],162.0,9.139,1670m591o0196415,166.4363924,-58.8287396,1328.761,0.0,1432.657,0.0,568.95,0.0,0.034,0.0,0.031,0.0,10.216,0.0,1.0,0.0,77.46,0.0,0.1659,0.0,579.24,0.0,10.466,0.0,2.6342,0.0,0.0194063,0.0,0.000713557,0.0,-73.652,0.0,166.4363924,0.0,-58.8287396,0.0,1670m591,1670m591w1o0195359,,194.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"[0.448, 8.433, 8.54]",163.0,0.448,1670m591o0097982,166.255937,-58.9304229,1194.385,1194.196,1553.367,1553.452,1587.3,1648.8,0.011,0.032,0.011,0.031,10.957,29.339,1.0,1.0,28.82,9.779,0.6086,0.6206,1591.1,1712.6,11.226,30.192,2.6356,2.8544,0.000952482,0.000576854,0.000271991,0.0007,-61.292,-37.739,166.255937,166.2558079,-58.9304229,-58.9305665,1670m591,1670m591w1o0104661,1670m591w2o0090104,199.0,191.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[6.974, 9.981]",164.0,6.974,1670m591o0102292,166.1612313,-58.8026593,1360.837,1360.817,1619.549,1619.469,2019.4,1939.1,0.01,0.029,0.009,0.028,12.222,31.472,1.0,1.0,15.08,3.996,0.5688,0.5556,1991.4,1949.0,12.556,32.469,2.6346,2.8543,-0.00239605,-0.00223231,0.000249214,0.000645,-31.378,4.6996,166.1612313,166.1613495,-58.8026593,-58.8026754,1670m591,1670m591w1o0109647,1670m591w2o0094312,194.0,191.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.688, 3.563, 9.369]",165.0,0.688,1670m591o0099605,166.4329596,-58.8860442,1253.724,1253.737,1434.301,1434.348,9012.1,9187.5,0.003,0.008,0.004,0.009,22.164,49.263,1.0,1.0,77.03,5.958,0.4979,0.4948,9082.0,9204.2,22.465,50.135,2.6337,2.8543,0.00121617,0.00102639,0.00011242,0.000232,-71.27,-67.708,166.4329596,166.4328906,-58.8860442,-58.8860339,1670m591,1670m591w1o0106549,1670m591w2o0029252,201.0,199.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[4.197, 8.025]",166.0,4.197,1670m591o0031789,166.3415229,-58.9270311,1199.466,1199.454,1495.593,1495.553,7888.8,7591.9,0.003,0.009,0.003,0.009,17.958,40.323,1.0,1.0,241.4,25.41,0.7016,0.6947,7952.8,7647.1,18.23,41.16,2.6363,2.8563,0.0068782,0.00436068,0.000101486,0.000225,-69.303,-59.356,166.3415229,166.3415812,-58.9270311,-58.9270408,1670m591,1670m591w1o0032404,1670m591w2o0027984,201.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[9.646],167.0,9.646,1670m591o0173277,166.4061508,-58.9030556,1231.287,0.0,1452.225,0.0,450.67,0.0,0.034,0.0,0.032,0.0,8.5288,0.0,1.0,0.0,18.32,0.0,0.4159,0.0,467.23,0.0,8.7334,0.0,2.6327,0.0,-0.00137204,0.0,0.000685632,0.0,-67.284,0.0,166.4061508,0.0,-58.9030556,0.0,1670m591,1670m591w1o0151819,,206.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
[2.936],168.0,2.936,1670m591o0035550,166.4347727,-58.8132172,1349.071,1349.073,1433.939,1433.935,17503.0,16279.0,0.002,0.005,0.002,0.004,23.492,50.181,1.0,1.0,67.71,6.752,0.9502,0.9326,17614.0,16234.0,23.927,51.285,2.6293,2.8506,0.000414491,0.000421405,7.31187e-05,0.000146,-70.754,-58.105,166.4347727,166.4347786,-58.8132172,-58.8132161,1670m591,1670m591w1o0036245,1670m591w2o0031298,197.0,193.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.955, 7.051, 8.224]",169.0,0.955,1670m591o0060203,166.4402964,-58.8790081,1262.98,1262.923,1429.421,1429.372,7880.4,7600.4,0.004,0.009,0.003,0.009,18.809,42.025,1.0,1.0,265.9,20.64,0.6048,0.5755,7902.1,7666.3,19.085,42.846,2.6337,2.8531,0.00241458,0.000363648,0.000108007,0.000235,-73.014,-65.845,166.4402964,166.4403678,-58.8790081,-58.8790514,1670m591,1670m591w1o0061809,1670m591w2o0091877,195.0,195.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.287],170.0,0.287,1670m591o0035697,166.1482616,-58.8069698,1355.078,1355.085,1628.268,1628.272,43569.0,42224.0,0.001,0.003,0.001,0.003,36.965,77.325,1.0,1.0,127.3,16.32,0.8575,0.8157,43413.0,42087.0,37.447,78.531,2.6319,2.8522,0.000825763,0.00104338,4.55878e-05,8.8e-05,-33.214,4.0154,166.1482616,166.1482564,-58.8069698,-58.8069643,1670m591,1670m591w1o0036396,1670m591w2o0031421,195.0,195.0,1.0,1.0,0.0,128.0,0.0,0.0,1.0
"[0.731, 5.764, 8.943, 9.263]",171.0,0.731,1670m591o0036500,166.3892947,-58.7832327,1388.034,1388.024,1465.15,1465.118,8445.8,7580.4,0.003,0.008,0.003,0.008,17.989,40.264,1.0,1.0,52.56,9.734,0.8558,0.8328,8491.0,7646.3,18.311,41.185,2.6301,2.8507,-9.72152e-05,-0.00124788,0.000101315,0.000232,-73.056,-52.373,166.3892947,166.3893427,-58.7832327,-58.7832404,1670m591,1670m591w1o0037223,1670m591w2o0032146,195.0,185.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.914, 8.419]",172.0,1.914,1670m591o0152187,166.1554091,-58.9004584,1232.762,1232.847,1621.801,1622.66,893.41,1340.4,0.021,0.044,0.022,0.046,11.235,32.669,1.0,1.0,49.66,17.3,0.3141,0.3308,881.78,1286.9,11.528,33.585,2.6319,2.8534,0.00149155,0.00871134,0.000464954,0.000953,-14.086,45.078,166.1554091,166.1541416,-58.9004584,-58.9003854,1670m591,1670m591w1o0185115,1670m591w2o0091122,201.0,190.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
