_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.656],21.0,0.656,J110436.81-584757.3,166.1534061,-58.7992545,0.0434,0.0419,140.8,Im,11.628,0.024,11.722,0.023,11.002,,9.052,,12.284,0.029,11.965,0.036,11.851,0.03,3250.778,2731.419,1.6700591013510395e+18,44.7,7.41,47.2,2.41,-0.4,0.342,-1.2,0.881,3.22,1.0,0.0,0.0,0.0,0.0,0.0,0d0p,1.0,33nn,61.0,61.0,61.0,61.0,0.0,39.0,0.0,39.0,0.0,166.1534063,0.0433,-58.7992544,0.0442,-0.01,18,27,21,28,7.41,2.41,0.342,0.881,3.22,1N000,AAUU,3.0,0.0,62.329,62.276,39.983,40.572,826796324,0.525,2M
[6.433],22.0,6.433,J110438.04-585544.9,166.1585133,-58.9291528,0.0333,0.0317,131.4,Im,6.845,0.055,6.818,0.02,5.828,0.017,5.001,0.035,8.767,0.024,7.631,0.055,7.034,0.02,3239.372,2391.445,1.6700591013510316e+18,19.8,0.931,54.4,2.25,65.0,1.59,30.6,0.888,1.18,1.0,0.0,0.068,0.026,0.0,0.0,ph00,0.0,9981,59.0,59.0,59.0,59.0,38.0,38.0,39.0,39.0,4800.0,166.158514,0.0718,-58.9291527,0.1012,0.0602,24,33,14,42,0.935,2.23,1.58,0.888,1.18,1N000,AAAA,15.0,0.0,49.706,59.076,41.088,41.453,826881542,0.157,2M
[0.249],23.0,0.249,J110438.68-584929.6,166.1611947,-58.8249009,0.0376,0.0354,142.7,Im,9.23,0.022,9.264,0.02,9.552,0.058,9.59,,9.45,0.027,9.368,0.029,9.253,0.024,3239.334,2664.418,1.670059101351039e+18,48.3,3.32,53.6,2.67,18.8,0.926,-1.7,0.979,2.21,1.0,0.0,0.0,0.0,0.0,0.0,h000,1.0,100n,63.0,63.0,63.0,63.0,40.0,40.0,0.0,40.0,0.0,166.1611952,0.0368,-58.8249008,0.0375,-0.0092,20,24,-20,24,3.32,2.67,0.926,0.979,2.2,1N000,AAAU,7.0,0.0,64.989,64.899,40.908,41.104,826880415,0.085,2M
[],24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.309],27.0,0.309,J110440.02-584921.7,166.1667801,-58.822698,0.0394,0.0373,140.5,Im,10.667,0.023,10.654,0.021,10.951,0.186,8.832,,11.075,0.026,10.904,0.023,10.836,0.019,3231.84,2670.284,1.6700591013510392e+18,47.4,26.9,52.0,25.4,5.8,0.731,1.4,0.973,16.4,1.0,0.0,0.0,0.0,0.0,0.0,hh00,1.0,77nn,62.0,62.0,62.0,62.0,12.0,38.0,1.0,39.0,0.0,166.1667818,0.039,-58.8226972,0.0398,-0.0109,106,25,88,25,26.9,25.4,0.731,0.973,16.4,1N000,AABU,7.0,0.0,64.652,64.694,40.698,40.75,826880382,0.584,2M
[0.366],28.0,0.366,J110441.22-585647.1,166.1717635,-58.9464303,0.0388,0.0358,140.7,Im,10.82,0.023,10.882,0.02,12.837,,9.293,,11.322,0.024,10.95,0.024,10.917,0.021,3220.883,2346.448,1.6700591013510318e+18,47.2,3.14,54.5,1.62,-2.9,1.29,-8.2,1.1,1.91,1.0,0.0,0.0,0.0,0.0,0.002,hhh0,1.0,32nn,58.0,58.0,58.0,58.0,0.0,39.0,0.0,39.0,4.0,166.1717635,0.0371,-58.9464303,0.0376,-0.0105,0,25,0,25,3.14,1.62,1.29,1.1,1.91,1N000,AAUU,3.0,0.0,60.495,61.595,40.783,40.642,826881724,0.203,2M
[9.186],29.0,9.186,J110442.44-584348.3,166.1768348,-58.7301051,0.0659,0.0649,6.2,Im,13.589,0.033,14.108,0.035,11.884,,9.186,,14.846,0.052,14.009,0.055,13.776,0.057,3221.338,2912.863,1.6700591013510403e+18,33.1,2.02,30.9,1.81,0.3,0.657,-0.8,0.958,1.48,1.0,0.0,0.0,0.0,0.0,0.0,hhHp,0.0,43nn,56.0,56.0,52.0,56.0,0.0,36.0,0.0,36.0,0.0,166.1768352,0.067,-58.7301046,0.0679,-0.0034,39,62,39,64,2.02,1.81,0.657,0.958,1.48,1N000,AAUU,3.0,0.0,56.678,57.025,37.903,37.415,826879336,0.168,2M
[7.519],30.0,7.519,J110443.31-584746.9,166.1804808,-58.7963651,0.0462,0.0448,152.2,Im,12.896,0.025,13.034,0.026,11.104,0.216,8.305,0.18,14.321,0.042,13.368,,13.115,,3214.157,2739.463,1.67005910135104e+18,44.0,3.54,41.8,1.29,5.0,0.803,6.0,1.03,1.82,1.0,0.0,0.0,0.0,0.0,0.0,0h0p,1.0,32nn,61.0,61.0,61.0,61.0,8.0,39.0,2.0,39.0,0.0,166.1804816,0.0524,-58.7963646,0.0538,-0.0121,15,40,23,41,3.54,1.29,0.803,1.03,1.82,1N000,AABB,15.0,0.0,62.922,62.506,41.67,41.388,826880081,0.231,2M
