_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.722, 6.574]",22.0,0.722,166.157074,-58.927696,0.39,0.35,99.0,11043769-5855397,14.699,0.436,0.436,34.9,10.956,,,,10.13,,,,DUU,200,100,c00,660000,6.0,152.0,826881542.0,0.0,0.0,826881523.0,s,2000-02-04,73.0,289.519,1.134,150.7,2451578.7333,0.95,,,12.583,0.083,,,,,3875.0,102.0,sw,1.0,1.0,U,1.8,15,17.3,14.3,1.0,,45127.0,1037917.0,221.0,Opt
"[0.231, 7.082]",23.0,0.231,166.161204,-58.824924,0.07,0.06,0.0,11043868-5849297,9.45,0.025,0.027,4389.7,9.368,0.027,0.029,2247.6,9.253,0.023,0.024,1413.3,AAA,222,111,000,666666,7.2,309.0,826880397.0,0.0,0.0,826880415.0,s,2000-02-04,73.0,289.48,1.229,143.5,2451578.7332,1.01,1.4,1.19,9.414,0.005,9.359,0.04,9.294,0.012,4245.0,110.0,sw,1.0,1.0,T,0.2,153,9.73,9.67,2.0,,45127.0,1037917.0,221.0,Opt
"[0.295, 7.786]",24.0,0.295,166.16431,-58.930737,0.07,0.06,7.0,11043943-5855506,15.094,0.063,0.064,24.3,14.361,0.068,0.068,22.6,14.03,0.068,0.068,17.4,AAA,222,111,ccc,464616,8.1,230.0,826881573.0,0.0,0.0,826881558.0,s,2000-02-04,73.0,289.524,1.133,137.2,2451578.7333,1.23,1.06,1.09,14.865,0.088,14.087,0.084,14.07,0.163,3864.0,116.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[0.393],25.0,0.393,166.164787,-58.827606,0.07,0.06,0.0,11043954-5849393,11.408,0.023,0.026,723.2,11.182,0.021,0.023,422.8,11.088,0.021,0.023,260.8,AAA,222,111,ss0,666666,11.7,325.0,826880415.0,0.0,0.0,826880442.0,s,2000-02-04,73.0,289.483,1.228,136.8,2451578.7332,2.26,2.06,2.01,11.381,0.015,11.109,0.029,11.095,0.019,4236.0,116.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[7.022],26.0,7.022,166.166005,-58.785679,0.07,0.06,0.0,11043984-5847084,13.648,0.032,0.034,91.9,12.917,0.026,0.027,85.5,12.639,0.019,0.021,62.5,AAA,222,111,cc0,556666,9.1,232.0,826879983.0,0.0,0.0,826879965.0,s,2000-02-04,73.0,289.466,1.266,134.7,2451578.7332,0.85,0.59,1.1,13.666,0.019,12.885,0.042,12.742,0.051,4387.0,118.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[0.398],27.0,0.398,166.167047,-58.822613,0.07,0.06,0.0,11044009-5849214,11.075,0.023,0.026,982.7,10.904,0.021,0.023,546.2,10.836,0.017,0.019,328.9,AAA,222,111,000,666644,12.7,319.0,826796096.0,0.0,0.0,826880382.0,s,2000-02-04,73.0,289.482,1.233,132.6,2451578.7332,0.94,0.64,1.18,11.071,0.013,10.875,0.033,10.821,0.015,4254.0,120.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.163, 7.938, 8.348]",28.0,0.163,166.171731,-58.946484,0.07,0.06,0.0,11044121-5856473,11.322,0.021,0.024,782.8,10.95,0.022,0.024,523.5,10.917,0.019,0.021,305.2,AAA,222,111,000,666666,7.8,53.0,826881715.0,0.0,0.0,826881724.0,s,2000-02-04,73.0,289.534,1.12,123.4,2451578.7333,1.72,0.69,0.71,11.322,0.1,10.945,0.017,10.942,0.022,3808.0,130.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[5.447, 9.16]",29.0,5.447,166.175332,-58.731667,0.14,0.14,158.0,11044207-5843540,16.141,0.124,0.125,9.3,15.264,,,,14.836,,,,BUU,200,100,c00,160000,6.4,25.0,826879336.0,0.0,0.0,826879349.0,s,2000-02-04,73.0,289.449,1.318,117.5,2451578.7331,1.5,,,16.073,0.46,,,,,4581.0,136.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.582, 7.43, 8.884]",30.0,0.582,166.177622,-58.795132,0.09,0.08,0.0,11044262-5847424,15.687,0.083,0.084,14.1,15.035,0.099,0.1,12.2,15.181,0.15,0.15,6.0,AAC,222,111,00c,160606,6.8,132.0,826880081.0,0.0,0.0,826880067.0,s,2000-02-04,73.0,289.476,1.26,113.0,2451578.7332,1.74,0.74,1.02,16.193,0.454,15.506,0.259,15.886,0.713,4352.0,140.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.393, 9.76]",31.0,0.393,166.178336,-58.90316,0.09,0.09,84.0,11044280-5854113,15.461,0.11,0.11,17.3,14.845,0.171,0.171,14.5,14.641,0.162,0.162,9.9,BCC,222,111,ccc,161606,9.7,177.0,826881299.0,0.0,0.0,826881260.0,s,2000-02-04,73.0,289.519,1.161,111.3,2451578.7332,0.6,0.74,0.97,15.189,0.098,14.443,0.164,14.162,0.128,3964.0,142.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
