name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
2CXO J110500.7-585652,166.2532083333333,-58.94797222222222,1.7,3.7,2.429213307082652e-15,-0.5801702375642707,,0.82,11.19341,10.553999900817873,10.311,9,,LM-STAR,0.88022,0.13011180069724917,1.0,2.9898075894659977,12.0,point,,2.9999999999999997e-05,0.00047999999999999996,0.11315,0.88022,0.00022,0.0008,0.0,0.0050999999999999995,0.0005471740119919801,0.0028944736961972854,0.126449859893426,0.13011180069724917,0.0033708994293753353,0.006572914361468829,0.0,0.008914565018522747
2CXO J110500.8-584624,166.25370833333332,-58.77336944444444,1.29,3.7,1.7984583124237774e-15,-0.12309290947631071,,0.826,12.97166,11.732000350952148,11.202,9,,LM-STAR,0.84881,0.1759404414537458,1.0,2.298759578467255,12.0,point,,0.00045,0.019039999999999998,0.10509,0.84881,0.0115,0.00405,0.0,0.01106,0.0021684561794516844,0.021581106184441617,0.14759056499273548,0.1759404414537458,0.024911253893984756,0.014425865852890971,0.0,0.01639344823840139
2CXO J110500.9-584950,166.25395833333332,-58.83072222222223,0.84,2.0,7.09903173158796e-16,0.9550426260385576,,,,,,0,,LMXB,0.50157,0.180715503466618,0.0,0.86090705178824,12.0,point,,0.23742000000000002,0.00123,0.00827,0.00051,0.00015,0.50157,0.20762,0.043230000000000005,0.12611204481669394,0.008835449347099737,0.02380911535471182,0.0024992291103750662,0.0019186404512521846,0.180715503466618,0.12994006318306928,0.03496698142233313
2CXO J110501.3-585549,166.255875,-58.930302777777776,1.94,2.11,1.0539529963446414e-15,-0.4814276101063988,,,18.728455,15.916999816894531,14.626,8,,YSO,0.41587999999999997,0.15179811681397196,0.0,0.06714425228048806,12.0,point,,0.014150000000000001,0.09768,0.03442,0.39311,0.02214,0.01699,0.00563,0.41587999999999997,0.015675561336782273,0.08778338979285047,0.05364271750332134,0.18732249629347125,0.03572809674327613,0.027017954583385274,0.013378418519469398,0.15179811681397196
2CXO J110502.0-585111,166.25849999999997,-58.853319444444445,0.89,2.21,3.8825490907120464e-16,-0.9588989325228836,,,19.560701,,16.594,5,,YSO,0.32179,0.06813470656162131,0.0,0.9437832146590617,12.0,point,,0.054560000000000004,0.17575,0.07610000000000001,0.10211,0.004860000000000001,0.18641,0.07842,0.32179,0.03406709507673006,0.07137599058529435,0.054293072649627586,0.0747705726776152,0.00883506980495675,0.07530925164535483,0.03833762347059835,0.06813470656162131
2CXO J110502.3-584400,166.25995833333332,-58.73343611111111,4.98,2.44,8.673333812313995e-16,0.021488432807280827,,0.006,18.320864,14.66100025177002,,6,,YSO,0.44819,0.08987603463438738,0.0,1.1761029695894711,12.0,point,,0.0128,0.22804,0.11033,0.06289,0.010320000000000001,0.11573,0.011699999999999999,0.44819,0.01423947902006118,0.09730995646709348,0.10884042143127406,0.04748897875405517,0.013239066163173021,0.04716876076379358,0.014488613457467906,0.08987603463438738
2CXO J110502.7-585320,166.261375,-58.88905,0.84,3.7,1.683202713672608e-15,0.07852225140314335,,0.691,18.681927,16.006999969482422,,6,,YSO,0.6119600000000001,0.18245725266223042,0.0,1.512314465885605,12.0,point,,0.011630000000000001,0.09201000000000001,0.03022,0.06416,0.02889,0.15583000000000002,0.0053,0.6119600000000001,0.013807017553901126,0.08511818257578695,0.033661323275900545,0.05263520556495308,0.053562457345017626,0.119153298773507,0.01206878849162813,0.18245725266223042
2CXO J110503.0-585133,166.26295833333333,-58.85943888888889,0.75,4.59,5.282735065566919e-15,0.8446356718273561,,0.934,,,,0,,AGN,0.56867,0.16776374988589096,0.0,1.205956962114304,12.0,point,,0.56867,0.01788,0.011609999999999999,0.00038,0.00062,0.12922,0.2377,0.03392,0.16776374988589096,0.024789516334937242,0.018752588076304554,0.002657567057039703,0.00286772101568891,0.12880210239581336,0.10668219669228358,0.03530268941426248
2CXO J110503.5-584801,166.265,-58.80048333333333,0.92,2.59,7.642326244312394e-16,-0.40907696560256696,,0.301,15.237689,13.574000358581545,12.633313778803176,8,,LM-STAR,0.8306,0.19747059182226254,1.0,2.1416507279070047,12.0,point,,0.00046,0.01465,0.09962,0.8306,0.01247,0.00782,2.9999999999999997e-05,0.03435,0.0022345902070387276,0.02277270506760441,0.14384556700554643,0.19747059182226254,0.034588950482711905,0.025602794829922434,0.0005471740119919797,0.042061224977960956
2CXO J110504.0-584753,166.26691666666667,-58.79821111111111,0.85,4.06,1.4305192686958681e-15,-0.9888448260954883,,,13.644609,12.354000091552734,11.658,9,,LM-STAR,0.84449,0.10322303471074123,1.0,3.634579248842317,12.0,point,,0.00076,0.0016,0.12289,0.84449,0.0013900000000000002,0.0001,1e-05,0.02876,0.002833801409843397,0.004296330813433536,0.09531438890709387,0.10322303471074123,0.00458136321294098,0.0011795725460485213,0.0003162277660168379,0.021417775821058596
2CXO J110504.2-585441,166.26779166666668,-58.91153333333333,2.13,1.9,6.428896480402744e-16,-0.15630633330744076,,,13.67357,12.859000205993652,12.171694728260308,7,,HM-STAR,0.6587000000000001,0.11745853100778383,0.0,1.8319230569378009,12.0,point,,0.0011899999999999999,0.007640000000000001,0.6587000000000001,0.24467000000000003,0.01653,0.00867,0.00019,0.06241000000000001,0.00367388042774903,0.015174342182139587,0.11745853100778383,0.10854986952628813,0.023422376218217234,0.014592602373944271,0.0013659303663678339,0.040138547594587994
2CXO J110504.5-584124,166.26908333333333,-58.69015,2.12,3.89,3.2147186330662792e-15,-0.2866808920194053,,0.803,13.616977,12.427000045776367,11.957,9,conf,HM-STAR,0.53906,0.1950142224222299,0.0,0.46294286737373086,12.0,point,,0.00047999999999999996,0.01056,0.53906,0.36543000000000003,0.015300000000000001,0.02686,2.9999999999999997e-05,0.04228,0.0022303754335480314,0.022917495753498277,0.1950142224222299,0.18004285748268534,0.04237813004258101,0.05449504665664682,0.0005471740119919797,0.03066499538467179
2CXO J110504.5-584515,166.26895833333333,-58.75421388888889,1.1,4.78,6.4106236383214856e-15,0.9535587666777814,,,,,,0,,NS,0.42678,0.20642054413512495,0.0,0.27091003078013387,12.0,point,,0.3276,0.00044,0.04959,2.9999999999999997e-05,8e-05,0.12665,0.42678,0.06883,0.15967885688887345,0.003690531129799612,0.07264026781688317,0.0005471740119919801,0.001093066692747883,0.12349870213661938,0.20642054413512495,0.04879253848501646
2CXO J110505.4-585910,166.27270833333333,-58.986244444444445,2.78,2.97,3.791706393167577e-15,0.2739921760118874,,,19.751394,,,3,,CV,0.38971,0.08118378352052033,0.0,1.313911373285077,12.0,point,,0.07468000000000001,0.38971,0.03014,0.058050000000000004,0.015290000000000002,0.19457,0.07105,0.16651,0.03790163761810476,0.08118378352052033,0.02005449033465031,0.04589557608205721,0.016613003698666053,0.0673346051376931,0.03713457252314178,0.06813047527840724
2CXO J110505.5-585038,166.2733333333333,-58.84398055555556,0.76,3.88,9.459876983787601e-16,-0.30640094965333475,,0.998,17.561495,15.932000160217283,,6,,YSO,0.5031100000000001,0.1627449348330505,0.0,1.3135939285000284,12.0,point,,0.01179,0.043980000000000005,0.09559000000000001,0.16328,0.053160000000000006,0.12749000000000002,0.0016,0.5031100000000001,0.012093061735645859,0.03864262999399567,0.07647679779253705,0.09595753982595345,0.05293785806789708,0.0851542785252224,0.004843909935523521,0.1627449348330505
2CXO J110505.8-585300,166.27458333333334,-58.883519444444445,0.75,4.78,4.403776615297284e-15,0.8607674609138222,,,,,,0,,AGN,0.47114999999999996,0.14339853779115275,0.0,0.4399492630635703,12.0,point,,0.47114999999999996,0.00028000000000000003,0.07024,4e-05,1e-05,0.06676,0.33826999999999996,0.05325,0.14339853779115275,0.00430582630166849,0.07811686530221662,0.0006315051850925682,0.0003162277660168379,0.09785130186807575,0.15863629021309272,0.04293927434507108
2CXO J110506.0-584109,166.275125,-58.6861,2.68,4.4,5.575384019334476e-15,-0.4058876986066708,,0.996,17.583239,15.08199977874756,,6,extent|conf,YSO,0.41501,0.13657251536071224,0.0,0.23340847047650976,12.0,point,,0.0038799999999999998,0.11491,0.007770000000000001,0.3538,0.009179999999999999,0.09040000000000001,0.00505,0.41501,0.007084899138011475,0.07522799446450204,0.01513129393198269,0.12567160917786213,0.021972947239967847,0.08324283374182655,0.012702710689410306,0.13657251536071224
2CXO J110506.2-584441,166.27620833333333,-58.744933333333336,1.04,7.84,7.33468544554439e-15,-0.274699690760847,,0.921,13.399471,12.404000282287598,,6,,LM-STAR,0.67476,0.10495884316606563,1.0,2.4262978916640914,12.0,point,,0.00032,0.02343,0.22361,0.67476,0.0011200000000000001,0.031120000000000002,7.000000000000001e-05,0.04557,0.0018711229518930882,0.02408973672366337,0.08098287551159271,0.10495884316606563,0.0036549909656466966,0.0329094003079459,0.0008341437500789629,0.027738863432818308
