name,usrid,ra,dec,significance,net_counts,remove_code,flux_significance_b_max,theta_mean,theta_median,e_theta,NET_COUNTS_broad,NET_ERR_broad,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,ra_ave,dec_ave,PU_ave,PU,err_ellipse_r0
IC2395_CXO_noconversion-21.0,21.0,130.60455996446296,-48.09434647842238,146.5676,630.8333,0,18.8008,1.3012542875146655,1.3012542875146655,0.0029754678005693425,575.521343239087,24.06541213370191,4.9364042035333e-14,4.5171869809477865e-15,2.8274870905124146e-14,1.9628264211753817e-15,2.2280522661305497e-14,2.547618775040793e-15,110.35929336534718,1.0,0.9999898812107648,1.0,18.8008,0,9.991943560176264e-14,5.545090369277013e-15,130.60455960578867,-48.09434618155133,0.15307641032184705,0.13515526322478552,0.13515526322478552
IC2395_CXO_noconversion-107.0,107.0,130.6381544019645,-48.22051209113088,4.759611,26.632055,0,3.73592,6.449310208950735,6.449310208950735,0.0007107151922434163,24.9250401749933,5.773742991806359,8.868740207466192e-14,4.021697488715723e-14,1.5984892270173497e-15,5.217650267698946e-16,2.819367042277703e-15,9.97773852115739e-16,0.9918686270346606,1.0,0.9682745417794584,0.681,3.73592,0,9.310525834395698e-14,4.0232733693814055e-14,130.63815450498942,-48.220511867013165,1.769308914560692,1.7127907143465826,1.7127907143465826
IC2395_CXO_noconversion-35.0,35.0,130.48276809755467,-48.144076061733315,35.818398,227.20091,0,12.0439,5.748244187796946,5.748244187796946,0.010824865471812384,234.33504854516417,15.49954735482471,2.6849352582802656e-14,7.681050094387866e-15,9.561493600442377e-15,1.186113826057505e-15,5.543744171344632e-14,4.480659097057087e-15,0.4218495801306642,1.0,0.6829538817069192,0.484,12.0439,0,9.184828789669136e-14,8.97115948497746e-15,130.48276795849677,-48.14407629263096,0.43279389691536546,0.4918581411741063,0.4918581411741063
IC2395_CXO_noconversion-24.0,24.0,130.6753156113443,-48.08804357506417,65.25341,216.38576,0,11.7594,2.736528365467228,2.736528365467228,0.010036346322634726,203.54733461149087,14.319926425042393,5.271166018225658e-14,7.306237609511119e-15,1.3033843012396689e-14,1.3420044390722346e-15,1.65420931984606e-14,2.1642723155738544e-15,0.2859046548687416,1.0,0.8774766563905535,0.407,11.7594,0,8.228759639311386e-14,7.737322442362327e-15,130.67531631062633,-48.08804381669382,0.24439982695804846,0.2321018854711617,0.2321018854711617
IC2395_CXO_noconversion-15.0,15.0,130.74482790072577,-48.12411586840355,62.383522,315.31177,0,14.9249,5.080238481901002,5.080238481901002,0.010459786231549195,316.3282583622365,17.892976502764117,2.9542628734516056e-14,3.541694008403069e-15,2.2758615035358714e-14,1.818131712161664e-15,2.262030992767584e-14,2.5047975067661074e-15,7.349995128928433,1.0,0.9078374160666438,0.993,14.9249,0,7.492155369755061e-14,4.70353164354486e-15,130.7448277059598,-48.124116236066705,0.3524897907455711,0.3620770781442157,0.3620770781442157
IC2395_CXO_noconversion-5.0,5.0,130.61958014507596,-48.155486332255755,90.481026,310.81982,0,14.3843,2.5019316789886217,2.5019316789886217,0.0018994145579782629,303.55532939875576,17.46595635923901,2.2060544808987943e-14,3.5027917950551287e-15,1.8956517590094202e-14,1.6372276772084877e-15,2.6558525561313368e-14,2.906964395209529e-15,48.07975460336441,1.0,0.9999999848452947,1.0,14.3843,0,6.757558796039551e-14,4.837407034924696e-15,130.61958029502568,-48.1554862490886,0.21246482296577598,0.2044123271407645,0.2044123271407645
IC2395_CXO_noconversion-45.0,45.0,130.71776985160136,-48.08453862917876,13.802293,51.3496,0,4.93914,4.331509568584472,4.331509568584472,0.010673804187575797,49.043466096576836,7.147128608214592,5.582453669141292e-14,2.9598879461979326e-14,2.291930912025707e-15,5.442470646756892e-16,7.466477362198213e-15,1.6441694435756528e-15,,0.0,0.002261853846266426,,4.93914,0,6.558294496563684e-14,2.964950528139344e-14,130.71776903887852,-48.084538522053464,0.7291844308951189,0.7076972352489483,0.7076972352489483
IC2395_CXO_noconversion-16.0,16.0,130.56037242560387,-48.12254164797685,79.39858,288.79477,0,12.8076,2.4041413091440678,2.4041413091440678,0.010961293600810773,272.39516832880236,16.554992538365166,3.488880371111923e-14,3.637497517854877e-15,1.835714543968089e-14,1.5597693179223526e-15,1.1113666014132097e-14,1.7290926803086018e-15,0.6076562618555246,1.0,0.7381067161266972,0.564,12.8076,0,6.435961516493221e-14,4.319031143049229e-15,130.5603726692871,-48.12254157820113,0.20928765614228678,0.20306222273217076,0.20306222273217076
IC2395_CXO_noconversion-120.0,120.0,130.52033902515547,-48.06816945614357,4.497369,16.09733,0,2.61315,4.807164727863535,4.807164727863535,0.007701903726729409,14.564531553263745,4.13593036215789,5.6444517369519315e-14,2.753723416973625e-14,9.181693901098357e-16,3.761194211140795e-16,1.0017920237093085e-15,5.636265593109204e-16,,0.0,0.3253592295606381,,2.61315,0,5.836447878333847e-14,2.7545569633539793e-14,130.52033929542736,-48.06816937586118,1.4973133206584008,1.4258890123009287,1.4258890123009287
IC2395_CXO_noconversion-8.0,8.0,130.6360816292092,-48.14449215327206,88.95247,268.66815,0,14.0282,1.9658692510363385,1.9658692510363385,0.0019192814256300261,255.01014243179588,16.001275754090056,1.5200455275918706e-14,2.7122842164087127e-15,1.6887088294301595e-14,1.5303905260757488e-15,2.5561253891578315e-14,2.8599036588786996e-15,29.30879327288138,1.0,1.0,1.0,14.0282,0,5.764879746179861e-14,4.228194623116349e-15,130.63608175604406,-48.14449246355971,0.20850443374436986,0.16697853475607624,0.16697853475607624
