name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J084219.0-480812,20.0, 08 42 26.84,-48 07 04.72,130.57924999999997,-48.13681666666667,0.72,0.72,0.0,17.16,False,False,False,False,False,9.387435962466351e-14,8.66048721908012e-15,2.7762021154391968e-14,4.26500132919355e-15,2.1972338470271542e-14,2.5305735582723904e-15,4.4139999999999995e-14,7.0999999999999994e-15,0.948,0.993,0.46,,,,,,,,,,,0,13.27,4.8493595078084336e-14,5.960916792094134e-15,2.236153650350183e-14,1.982524953121293e-15,2.8353411746256858e-14,3.4733168666733495e-15,1.2708482007438133,1.0,0.948,0.74,13.27,0,9.920854332784302e-14,7.17822152405009e-15
2CXO J084215.7-480606,21.0, 08 42 26.84,-48 07 04.72,130.5658333333333,-48.10192777777778,0.97,0.83,85.5,2.5,False,False,False,False,False,2.5249557338929255e-15,1.0170392420088108e-15,1.5469202115439198e-15,9.280500006108522e-16,7.289359624663512e-16,3.710441575955425e-16,2.490995598826546e-16,1.8819736785159295e-16,,,0.324,,,,,,,,,,,0,2.32,4.3233869963896674e-16,2.6622575658426286e-16,6.417594429477532e-16,3.6412186469462164e-16,1.731323973578902e-15,9.370492792776744e-16,1.458214095229083,1.0,,0.773,2.32,0,2.805422116165622e-15,1.0399626135647188e-15
2CXO J084240.6-480549,22.0, 08 42 26.66,-48 07 04.90,130.66941666666665,-48.097033333333336,0.87,0.78,32.6,2.45,False,False,False,False,False,4.242039860437329e-15,1.7569153132885331e-15,2.9331798123317566e-15,1.5867581485987853e-15,4.096441480807438e-16,3.2773500084757976e-16,8.992159000248292e-16,6.79367179912701e-16,0.126,0.221,0.074,,,,,,,,,,,0,2.05,8.992159000248292e-16,6.79367179912701e-16,4.744051859966903e-16,2.8073979457816954e-16,2.1692062382070642e-15,1.0274205255474085e-15,,0.0,0.126,,2.05,0,3.5428273242285837e-15,1.2633081705262743e-15
2CXO J084222.8-480440,23.0, 08 42 26.84,-48 07 04.72,130.59524999999996,-48.07792777777778,0.74,0.72,167.7,6.74,False,False,False,False,False,1.1297398942280402e-14,1.92011391699172e-15,6.003797884560803e-15,1.6305000347685456e-15,3.744e-15,7.880000000000002e-16,1.5496010577195985e-15,6.38250022205293e-16,0.32,0.368,0.86,,,,,,,,,,,0,5.55,1.7046898986040082e-15,6.84301028858865e-16,4.120863959513254e-15,8.360154963007581e-16,5.996309180971016e-15,1.6265606026507226e-15,1.038766672349247,1.0,0.32,0.692,5.55,0,1.1821863039088278e-14,1.9526620809161492e-15
2CXO J084236.6-480848,24.0, 08 42 26.84,-48 07 04.72,130.6527083333333,-48.14677777777778,0.77,0.75,86.2,3.71,False,False,False,False,False,5.555839041023808e-15,1.423046951269662e-15,4.9509999999999994e-15,1.371e-15,4.054476892791731e-16,3.503263145532074e-16,1.9939135174463605e-16,1.5064228771977283e-16,0.786,0.928,0.931,,,,,,,,,,,0,2.89,7.475652543825596e-16,4.330850084029189e-16,4.3076485138144556e-16,2.613202520183151e-16,3.2632605813003666e-15,1.1875031099734841e-15,5.18944767765755,1.0,0.786,0.977,2.89,0,4.441590687064371e-15,1.290741854444555e-15
2CXO J084214.4-480721,25.0, 08 42 26.84,-48 07 04.72,130.560375,-48.122547222222224,0.72,0.72,0.0,14.46,False,False,False,False,False,5.906164865510153e-14,6.113196050059867e-15,1.1327606346317592e-14,2.5315002015449357e-15,1.7502021154391972e-14,2.045002772130825e-15,3.023202115439197e-14,5.1750010954610195e-15,0.305,0.704,0.694,,,,,,,,,,,0,11.05,3.097388781532447e-14,4.090991418498352e-15,1.7799030001839875e-14,1.6411421573925265e-15,1.1877799576937084e-14,2.075653559454119e-15,0.1963952839788533,1.0,0.305,0.342,11.05,0,6.065071739410142e-14,4.872155176702884e-15
2CXO J084241.9-480553,26.0, 08 42 26.84,-48 07 04.72,130.67466666666664,-48.098194444444445,1.15,0.84,31.2,2.67,False,False,False,False,False,1.6938679386594106e-15,6.40564650439609e-16,5.313522161194891e-16,4.603582391259134e-16,7.60860634631759e-16,3.2605001564824447e-16,4.016550879081624e-16,3.034546924295064e-16,0.552,0.507,0.894,,,,,,,,,,,0,2.26,7.611099464930286e-16,4.1046907656856216e-16,6.332765321945251e-16,3.300015823174315e-16,9.042671361766246e-16,5.321810343935404e-16,0.7004664148257727,1.0,0.552,0.597,2.26,0,2.2986536148641784e-15,7.487339717945455e-16
2CXO J084237.0-480449,27.0, 08 42 26.84,-48 07 04.72,130.65425,-48.08045277777778,0.87,0.82,157.1,2.84,False,False,False,False,False,1.779647953886183e-15,5.493020339261078e-16,2.7359461589930255e-16,2.0670364329375793e-16,1.1841273858380157e-15,4.422643210377894e-16,3.2192595214886472e-16,2.5181064048492643e-16,0.626,0.299,0.622,,,,,,,,,,,0,2.1,6.480814005292455e-16,3.4675848949362773e-16,1.3250275736232583e-15,4.794465092680934e-16,5.72981070162587e-16,3.3789035804045343e-16,0.7301529250005582,1.0,0.626,0.607,2.1,0,2.5460900443150908e-15,6.813811703752667e-16
2CXO J084214.0-480714,28.0, 08 42 26.66,-48 07 04.90,130.55874999999997,-48.12059444444444,0.88,0.78,143.9,2.28,False,False,False,False,False,1.6123205516517267e-15,6.545994976450394e-16,5.927103474528918e-16,4.822665892389189e-16,6.19231731587957e-16,3.231394753836449e-16,4.0037847261087784e-16,3.024901959895238e-16,0.358,0.671,0.124,,,,,,,,,,,0,1.83,6.550256791367707e-16,3.786656449802197e-16,6.066495776024651e-16,3.7581226645907395e-16,6.631312899720333e-16,4.410487872563554e-16,1.20151125130359,1.0,0.358,0.727,1.83,0,1.9248065467112693e-15,6.922041339443832e-16
2CXO J084228.7-480919,29.0, 08 42 26.84,-48 07 04.72,130.6195833333333,-48.15550277777778,0.71,0.71,0.0,15.91,False,False,False,False,False,1.5765072891656432e-13,1.7687660190787995e-14,2.582797884560803e-14,4.085001387762649e-15,1.6348296161487598e-14,2.070536706378711e-15,1.1547445390946869e-13,1.7084465588197425e-14,1.0,1.0,0.924,,,,,,,,,,,0,12.9,2.0314657655187555e-14,4.1569032739747e-15,1.6924108978746415e-14,1.6821523596811189e-15,2.286977011651972e-14,3.0902254603434994e-15,31.267133615633675,1.0,1.0,1.0,12.9,0,6.01085367504537e-14,5.446005397180352e-15
