_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[8.531],21.0,8.531,J084216.58-480610.3,130.569092,-48.1028656,0.1191,0.0768,172.3,Im,12.068,0.051,11.814,0.055,11.974,0.406,7.769,0.169,,,,,,,1927.182,2988.8,1.3040485013510444e+18,21.4,76.9,19.7,20.9,2.7,0.901,6.4,1.01,32.6,1.0,0.0,0.0,0.0,0.0,0.002,hHHH,1.0,7nnn,21,38,25,38,2,19,4.0,20.0,0.0,130.568983,0.0394,-48.1032469,0.0352,0.0262,1025,48,-47,50,67.6,22.0,0.906,1.02,29.9,1N139,AACB,15.0,11.0,35.717,38.793,21.316,21.604,,,2M
[],22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.152],23.0,0.152,J084222.84-480440.6,130.5952067,-48.0779587,0.0555,0.0546,171.9,Im,13.411,0.028,13.405,0.03,12.201,,9.298,,14.482,0.03,13.639,0.04,13.416,0.044,1881.442,3053.96,1.304048501351045e+18,38.2,1.35,36.1,1.46,1.2,0.843,-0.6,1.07,1.25,1.0,0.0,0.0,0.0,0.0,0.0,hhHH,0.0,00nn,39,39,39,39,0,20,0.0,20.0,0.0,130.5952081,0.0562,-48.0779584,0.0577,-0.0027,-54,74,-11,79,1.34,1.46,0.843,1.07,1.25,1N000,AAUU,3.0,11.0,39.442,39.421,20.97,21.434,157282938,0.152,2M
[],24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.133, 7.868]",25.0,0.133,J084214.49-480721.3,130.5603752,-48.1225842,0.0409,0.0367,158.0,Im,10.629,0.023,10.672,0.021,10.95,0.2,8.689,,11.195,0.024,10.756,0.021,10.722,0.021,1942.462,2937.187,1.3040485013510436e+18,47.1,2.22,52.9,1.48,5.4,0.608,0.4,0.919,1.48,2.0,1.0,0.0,0.0,0.0,0.0,hhHH,0.0,nnnn,40,40,40,40,4,20,0.0,20.0,0.0,130.5603676,0.0358,-48.1225305,0.0361,-0.0088,70,33,14,33,4.36,2.36,0.609,0.919,2.48,1N020,AABU,7.0,11.0,40.546,41.195,21.532,22.212,157282548,0.098,2M
[0.575],26.0,0.575,J084241.97-480553.5,130.6749057,-48.0981989,0.0482,0.0478,154.9,Im,13.53,0.024,13.523,0.03,12.72,,9.115,,14.655,0.057,13.958,0.085,13.673,0.051,1742.148,3000.723,1.304048501351044e+18,45.0,3.13,36.8,1.35,-4.9,0.849,-2.6,0.9,1.77,1.0,0.0,0.0,0.0,0.0,0.0,hhH0,1.0,21nn,39,39,39,39,0,20,0.0,20.0,0.0,130.6749013,0.0487,-48.0981981,0.049,-0.0033,136,73,-24,78,3.12,1.35,0.849,0.9,1.77,1N000,AAUU,3.0,11.0,41.067,40.787,20.932,20.812,157282760,0.349,2M
[],27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[3.97, 8.159]",28.0,3.97,J084214.48-480713.3,130.5603646,-48.1203616,0.1794,0.1334,12.9,Im,13.535,0.074,13.485,0.069,12.043,,8.873,,14.79,0.057,14.216,0.076,14.27,0.087,1942.476,2943.006,1.3040485013510436e+18,14.6,2.22,15.8,1.48,-0.6,0.608,-0.2,0.919,1.48,2.0,1.0,0.0,0.0,0.0,0.0,ddHH,0.0,nnnn,40,40,40,40,0,20,0.0,20.0,0.0,,,,,,,,,,,,,,,,AAUU,3.0,11.0,40.618,41.081,21.926,22.468,157282568,2.686,2M
[0.021],29.0,0.021,J084228.69-480919.7,130.6195782,-48.1554982,0.0396,0.0365,123.5,Im,11.947,0.022,12.007,0.021,11.607,,8.891,,12.814,0.026,12.178,0.024,12.027,0.021,1839.125,2850.892,1.3040485013510436e+18,49.5,1.5,50.6,1.7,-0.6,0.642,-0.5,0.692,1.28,1.0,0.0,0.0,0.0,0.0,0.0,hhh0,0.0,00nn,40,40,40,40,0,20,0.0,20.0,0.0,130.6195798,0.0399,-48.1554975,0.0389,-0.0125,-46,42,-31,42,1.5,1.7,0.642,0.692,1.28,1N000,AAUU,3.0,11.0,41.09,41.035,20.942,20.899,157282307,0.086,2M
"[0.426, 9.019]",30.0,0.426,J084225.94-480922.1,130.6081148,-48.1561489,0.045,0.0441,116.3,Im,13.252,0.024,13.259,0.025,11.308,0.325,8.416,,14.42,0.032,13.583,0.032,13.431,0.04,1859.15,2849.218,1.3040485013510438e+18,45.7,3.41,42.8,1.43,3.3,0.467,-0.3,0.639,1.78,1.0,0.0,0.0,0.0,0.0,0.0,hhh0,1.0,21nn,40,40,40,40,1,20,0.0,20.0,0.0,130.608115,0.0487,-48.1561491,0.0468,0.0044,-14,69,24,72,3.41,1.43,0.467,0.639,1.78,3N000,AABU,7.0,11.0,39.494,40.456,20.629,20.62,157282296,0.305,2M
