_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[1.414, 6.768, 7.287]",90.0,1.414,167.723692,-60.58588,0.06,0.06,0.0,11105368-6035091,13.932,0.032,0.035,70.7,13.477,0.02,0.022,60.7,13.349,0.04,0.041,32.5,AAA,222,111,css,666656,5.8,24.0,793975358.0,0.0,0.0,793975382.0,s,2000-01-23,99.0,290.891,-0.086,-50.1,2451566.8138,0.73,0.8,1.09,13.946,0.03,13.589,0.064,13.513,0.092,2649.0,202.0,ne,0.0,1.0,U,1.2,240,17.1,15.6,2.0,,43448.0,999284.0,33.0,Opt
"[5.626, 9.117]",91.0,5.626,168.161976,-60.707352,0.06,0.06,90.0,11123887-6042264,14.606,0.028,0.03,40.7,13.773,0.02,0.022,44.6,13.494,0.029,0.03,29.4,AAA,222,111,000,666646,14.7,265.0,794113011.0,0.0,0.0,794113004.0,s,2000-01-23,101.0,291.136,-0.118,32.6,2451566.8236,1.08,0.71,1.19,14.757,0.028,13.822,0.051,13.678,0.077,3086.0,220.0,nw,0.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[2.522, 4.403, 7.954, 8.526]",92.0,2.522,168.125431,-60.724121,0.06,0.06,90.0,11123010-6043268,14.861,0.082,0.083,32.2,13.674,0.07,0.071,48.9,13.144,0.043,0.044,40.6,AAA,222,111,c00,556666,5.7,71.0,794113247.0,0.0,0.0,794113254.0,s,2000-01-23,101.0,291.125,-0.14,96.9,2451566.8236,1.8,2.2,1.25,14.513,0.036,13.386,0.05,13.008,0.032,3146.0,156.0,nw,0.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[5.483, 6.929]",93.0,5.483,167.737732,-60.550579,0.06,0.06,17.0,11105705-6033020,15.159,0.038,0.04,22.9,14.48,0.049,0.049,24.1,14.197,0.08,0.081,14.9,AAA,222,111,000,364606,10.6,156.0,793974962.0,0.0,0.0,793974925.0,s,2000-01-23,99.0,290.884,-0.051,-74.9,2451566.8137,0.92,0.84,0.83,15.39,0.097,14.492,0.125,14.089,0.054,2522.0,177.0,ne,0.0,1.0,U,0.4,325,21.6,17.6,1.0,,43448.0,999284.0,33.0,Opt
"[0.849, 2.779, 4.091, 6.672, 9.911]",94.0,0.849,167.70216,-60.615925,0.13,0.12,0.0,11104851-6036573,14.997,,,,15.188,0.124,0.124,12.6,14.244,,,,UBU,020,010,0c0,004600,3.3,336.0,793975784.0,0.0,0.0,793975795.0,s,2000-01-23,99.0,290.893,-0.118,-12.0,2451566.8138,,2.28,,,,14.632,0.161,,,2757.0,240.0,ne,0.0,1.0,U,3.6,123,18.4,16.4,1.0,,43448.0,999284.0,33.0,Opt
"[0.33, 7.51]",95.0,0.33,168.114843,-60.731133,0.07,0.06,0.0,11122756-6043520,14.96,0.04,0.042,29.4,14.54,0.058,0.058,22.0,14.522,0.101,0.101,11.4,AAA,222,111,000,361606,7.2,301.0,794113351.0,0.0,0.0,794113370.0,s,2000-01-23,101.0,291.123,-0.149,115.5,2451566.8236,1.1,0.73,0.84,15.19,0.165,14.906,0.189,14.866,0.208,3172.0,137.0,nw,0.0,1.0,U,0.3,137,16.6,17.0,1.0,,43450.0,999331.0,44.0,Opt
[9.026],96.0,9.026,167.754561,-60.541645,0.16,0.15,14.0,11110109-6032299,16.286,0.137,0.137,8.1,15.543,0.13,0.13,9.1,15.079,,,,BBU,220,110,c00,060600,9.0,259.0,793974815.0,0.0,0.0,793974807.0,s,2000-01-23,99.0,290.888,-0.04,-104.7,2451566.8137,0.93,0.78,,16.533,0.147,16.106,0.454,,,2490.0,147.0,ne,0.0,1.0,0,,,,,0.0,,43448.0,999284.0,33.0,Opt
"[0.98, 6.574, 7.95, 8.264, 8.981]",97.0,0.98,168.131174,-60.726627,0.06,0.06,45.0,11123148-6043358,14.651,0.04,0.042,39.1,13.881,0.028,0.029,40.4,13.657,0.043,0.044,25.3,AAA,222,111,000,666656,5.8,293.0,794113284.0,0.0,0.0,794113294.0,s,2000-01-23,101.0,291.129,-0.142,86.8,2451566.8236,1.03,0.78,1.4,14.66,0.037,14.056,0.084,13.712,0.078,3155.0,166.0,nw,0.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[5.137, 7.224]",98.0,5.137,168.001695,-60.750126,0.1,0.1,45.0,11120040-6045004,15.936,0.086,0.087,12.0,15.321,0.098,0.098,10.7,15.028,0.14,0.14,7.2,AAB,222,111,c00,060606,8.1,329.0,794090392.0,0.0,0.0,794090361.0,s,2000-01-23,100.0,291.079,-0.187,-108.1,2451566.8219,0.78,0.78,1.05,16.352,0.377,16.555,0.57,19.065,8.888,3244.0,144.0,ne,0.0,1.0,U,0.4,329,19.8,17.5,1.0,,43449.0,999324.0,233.0,Opt
"[3.246, 4.481, 6.893, 8.133]",99.0,3.246,168.219544,-60.674419,0.11,0.11,45.0,11125269-6040279,15.857,0.07,0.071,12.9,14.808,,,,14.459,,,,AUU,200,100,c00,160000,4.4,327.0,794112583.0,0.0,0.0,794112600.0,s,2000-01-23,101.0,291.15,-0.077,-68.8,2451566.8235,0.96,,,15.863,0.202,,,,,2967.0,183.0,ne,0.0,1.0,U,0.3,20,18.8,17.5,1.0,,43450.0,999331.0,44.0,Opt
