_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[3.71],37.0,3.71,J111127.76-603835.2,167.8657074,-60.6431197,0.1222,0.1136,27.5,Im,13.021,0.048,13.328,0.081,9.782,,7.527,,13.578,0.041,13.454,0.044,13.457,0.043,2223.992,1876.74,1.680060601351027e+18,22.8,3.19,13.5,0.997,-2.7,0.271,-2.2,0.495,1.44,1.0,0.0,0.0,0.0,0.0,0.0,0hh0,1.0,63nn,62.0,62.0,62.0,63.0,0.0,1.0,0.0,38.0,0.0,167.8657113,0.1175,-60.6431203,0.1221,0.0265,233,55,-87,56,3.18,0.994,0.271,0.494,1.43,1N000,AAUU,3.0,0.0,63.39,63.297,38.915,38.175,794091811,0.397,2M
[],38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7.508],39.0,7.508,J111141.93-604008.9,167.9247468,-60.6691429,0.0496,0.0469,34.1,Im,11.115,0.028,11.216,0.026,8.114,0.05,5.729,0.071,12.585,0.047,11.877,0.045,11.697,0.038,2148.131,1808.731,1.680060601351026e+18,38.5,8.13,41.5,3.79,21.8,10.0,15.2,7.1,6.91,2.0,0.0,0.0,0.0,0.0,0.0,hhd0,1.0,5511,59.0,59.0,59.0,59.0,35.0,35.0,34.0,34.0,0.0,167.9246813,0.0481,-60.6692104,0.0492,0.0113,69,27,196,27,8.2,3.93,10.4,7.19,7.07,3Y029,AAAA,15.0,0.0,60.171,61.121,35.652,35.19,794091489,0.312,2M
[4.737],40.0,4.737,J111127.01-603810.3,167.8625823,-60.6361986,0.0403,0.0373,143.6,Im,9.532,0.023,9.597,0.021,11.739,,8.664,,9.586,0.027,9.59,0.022,9.632,0.024,2228.042,1894.852,1.6800606013510257e+18,46.8,3.05,50.8,1.95,1.8,2.02,-7.1,0.8,2.08,1.0,0.0,0.0,0.0,0.0,0.0,0hP0,1.0,01nn,63.0,63.0,63.0,63.0,1.0,39.0,0.0,38.0,0.0,167.8625823,0.0388,-60.6361986,0.0398,-0.0108,0,24,0,24,3.05,1.95,2.02,0.8,2.08,1N000,AAUU,3.0,0.0,63.398,63.444,39.286,38.553,794091902,0.155,2M
[],41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[3.137, 9.394]",42.0,3.137,J111219.83-603813.8,168.0826423,-60.6371726,0.1199,0.1048,23.7,Im,13.26,0.047,13.678,0.07,11.76,,8.415,,14.315,0.064,13.883,0.073,13.808,0.07,1945.525,1892.432,1.6800606013510272e+18,23.3,1.87,15.5,0.907,-4.4,0.583,-3.0,0.756,1.15,2.0,0.0,0.0,0.0,0.0,0.0,00hD,0.0,10nn,56.0,56.0,56.0,56.0,0.0,32.0,0.0,33.0,0.0,168.0825402,0.1071,-60.6371889,0.1158,0.0337,50,59,153,62,1.9,0.922,0.585,0.753,1.16,2Y019,AAUU,3.0,0.0,55.734,55.387,37.844,33.512,794112113,1.263,2M
[6.324],43.0,6.324,J111135.35-604001.9,167.8972934,-60.6672069,0.1363,0.1183,75.2,Im,11.95,0.057,12.093,0.07,9.246,0.188,7.325,0.251,12.455,0.038,12.148,0.047,12.147,0.036,2183.348,1813.75,1.6800606013510257e+18,19.2,4.74,15.6,1.59,5.8,0.67,4.3,0.569,2.22,2.0,1.0,0.0,0.0,0.0,0.004,ddd0,1.0,nnnn,61.0,61.0,61.0,61.0,36.0,36.0,0.0,35.0,0.0,,,,,,,,,,,,,,,,AABB,15.0,0.0,60.156,60.336,36.76,35.363,794091512,0.571,2M
"[2.796, 5.356]",44.0,2.796,J111134.24-604001.1,167.8927066,-60.6669927,0.0435,0.0397,113.6,Im,9.662,0.023,9.76,0.023,8.744,0.12,7.707,0.331,9.985,0.03,9.854,0.031,9.87,0.029,2189.232,1814.302,1.6800606013510257e+18,46.4,4.74,47.2,1.59,9.0,0.67,3.3,0.569,2.22,2.0,1.0,0.0,0.0,0.0,0.004,hhh0,1.0,nnnn,61.0,61.0,61.0,61.0,37.0,37.0,1.0,36.0,0.0,167.8927822,0.0399,-60.6669957,0.0445,-0.0177,26,24,114,25,9.73,3.87,0.943,0.587,4.55,2N013,AABB,15.0,0.0,60.615,60.748,36.878,35.209,794091514,0.179,2M
"[0.533, 8.311]",45.0,0.533,J111134.24-604001.1,167.8927066,-60.6669927,0.0435,0.0397,113.6,Im,9.662,0.023,9.76,0.023,8.744,0.12,7.707,0.331,9.985,0.03,9.854,0.031,9.87,0.029,2189.232,1814.302,1.6800606013510257e+18,46.4,4.74,47.2,1.59,9.0,0.67,3.3,0.569,2.22,2.0,1.0,0.0,0.0,0.0,0.004,hhh0,1.0,nnnn,61.0,61.0,61.0,61.0,37.0,37.0,1.0,36.0,0.0,167.8927822,0.0399,-60.6669957,0.0445,-0.0177,26,24,114,25,9.73,3.87,0.943,0.587,4.55,2N013,AABB,15.0,0.0,60.615,60.748,36.878,35.209,794091514,0.179,2M
[1.27],46.0,1.27,J111203.95-604038.0,168.016463,-60.6772232,0.1079,0.1024,33.8,Im,13.214,0.049,13.553,0.057,12.38,,9.353,,14.022,,13.402,,13.696,0.077,2030.507,1787.633,1.6800606013510275e+18,22.1,1.8,19.2,2.02,-11.9,1.37,-5.4,0.966,1.62,1.0,0.0,0.0,0.0,0.0,0.0,00D0,0.0,33nn,60.0,60.0,60.0,60.0,0.0,17.0,0.0,36.0,0.0,168.0164636,0.1056,-60.6772235,0.1079,0.0245,52,59,-20,62,1.8,2.01,1.37,0.966,1.62,1N000,AAUU,3.0,0.0,59.726,60.364,37.942,36.233,794091380,1.351,2M
