_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
[6.074],91.0,6.074,1680m606o0018142,168.1622169,-60.7072785,853.848,853.929,921.406,921.584,4087.7,3237.1,0.005,0.017,0.005,0.017,14.374,32.908,1.0,1.0,141.0,46.57,0.8854,0.8598,4221.5,3473.0,14.727,33.863,2.6436,2.8599,-0.0070526,-0.0132993,0.000157167,0.000438,-111.12,-118.1,168.1622169,168.1619388,-60.7072785,-60.7072167,1680m606,1680m606w1o0019663,1680m606w2o0046274,213.0,212.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[2.352, 7.467, 8.887, 9.711]",92.0,2.352,1680m606o0074938,168.1253263,-60.7241295,831.839,831.858,945.075,944.997,7880.6,8309.3,0.004,0.009,0.004,0.009,19.685,44.8,1.0,1.0,76.72,6.65,0.6295,0.6069,7816.0,8270.6,20.002,45.711,2.6394,2.8574,0.00185007,0.0010969,0.000107739,0.000227,-107.19,-115.93,168.1253263,168.1254483,-60.7241295,-60.7241152,1680m606,1680m606w1o0083843,1680m606w2o0067101,223.0,217.0,1.0,1.0,0.0,128.0,0.0,0.0,1.0
"[4.367, 5.58]",93.0,4.367,1680m606o0080803,167.740523,-60.5525508,1056.188,1056.015,1192.309,1192.226,1128.4,1154.3,0.018,0.047,0.017,0.045,11.302,28.865,1.0,1.0,52.41,9.839,0.3849,0.3656,1198.7,1194.3,11.599,29.751,2.6427,2.8581,0.0059194,0.00999528,0.000376985,0.000988,-83.284,-76.092,167.740523,167.7406523,-60.5525508,-60.5526834,1680m606,1680m606w1o0090587,1680m606w2o0112049,222.0,220.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.964, 2.131, 6.486, 9.874]",94.0,0.964,1680m606o0078569,167.7012497,-60.6156994,973.413,974.208,1217.206,1217.324,2577.5,1525.2,0.009,0.036,0.008,0.034,13.005,29.555,1.0,1.0,68.01,10.09,0.5373,0.3794,2656.3,1638.4,13.299,30.424,2.6428,2.8602,0.00569552,0.0020414,0.000200142,0.000742,-113.18,-131.56,167.7012497,167.7010709,-60.6156994,-60.6150916,1680m606,1680m606w1o0088021,1680m606w2o0110658,224.0,217.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.009, 8.016]",95.0,1.009,1680m606o0112896,168.1147652,-60.7309276,822.952,823.2,951.851,951.935,2050.8,1900.8,0.01,0.03,0.01,0.03,12.821,31.209,1.0,1.0,82.07,16.58,0.4327,0.3717,2043.7,1907.5,13.124,32.09,2.6396,2.858,0.00438416,0.00470614,0.000239696,0.000632,-114.54,-121.81,168.1147652,168.1146343,-60.7309276,-60.7307383,1680m606,1680m606w1o0132723,1680m606w2o0108176,226.0,213.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[4.049, 9.847]",96.0,4.049,1680m606o0081330,167.7547437,-60.5383706,1074.787,1074.943,1183.227,1182.835,3783.3,4255.8,0.007,0.017,0.006,0.016,15.518,39.128,1.0,1.0,144.1,46.92,0.5147,0.4167,3823.7,4328.1,15.815,39.965,2.6416,2.8576,0.0047757,0.00909191,0.000163388,0.000374,-79.907,-80.76,167.7547437,167.7553542,-60.5383706,-60.5382522,1680m606,1680m606w1o0091189,1680m606w2o0073453,225.0,212.0,1.0,1.0,32.0,160.0,0.0,0.0,1.0
"[1.456, 7.3, 9.147, 9.771]",97.0,1.456,1680m606o0053447,168.1311039,-60.7264956,828.735,828.693,941.383,941.35,3621.2,3447.6,0.007,0.018,0.006,0.018,15.072,35.171,1.0,1.0,55.68,8.045,0.551,0.4988,3574.6,3445.8,15.398,36.115,2.6443,2.8613,-0.00114495,-0.00196612,0.00016607,0.000404,-109.55,-119.15,168.1311039,168.131155,-60.7264956,-60.7265271,1680m606,1680m606w1o0056633,1680m606w2o0046116,224.0,220.0,1.0,1.0,0.0,128.0,0.0,0.0,1.0
[7.512],98.0,7.512,1680m606o0016581,168.0022774,-60.753584,793.353,793.366,1023.847,1023.815,7330.7,7411.5,0.004,0.009,0.003,0.009,17.823,39.998,0.99993,0.99994,51.89,6.0,0.7674,0.7383,7570.6,7614.3,18.201,41.045,2.6416,2.8602,-5.67436e-05,7.65324e-05,0.00010909,0.00023,-140.32,-162.44,168.0022774,168.0023274,-60.753584,-60.7535744,1680m606,1680m606w1o0018066,1680m606w2o0013832,224.0,215.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0
"[4.563, 6.717, 9.47]",99.0,4.563,1680m606o0019246,168.2164114,-60.6755842,895.24,895.251,886.559,886.55,44516.0,43239.0,0.001,0.003,0.001,0.002,36.089,74.586,1.0,1.0,81.92,12.64,0.9756,0.9688,44906.0,43554.0,36.766,76.135,2.6444,2.8612,0.000366509,0.000454605,4.58155e-05,8.7e-05,-93.003,-83.171,168.2164114,168.2164261,-60.6755842,-60.675576,1680m606,1680m606w1o0020788,1680m606w2o0016097,208.0,209.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[8.901],100.0,8.901,1680m606o0017321,168.141144,-60.7307831,823.109,823.118,934.968,934.989,26154.0,23663.0,0.001,0.004,0.001,0.003,28.565,58.109,1.0,1.0,122.4,27.83,0.9477,0.9384,26181.0,23855.0,29.099,59.437,2.6388,2.8572,-0.00120801,-0.00156325,6.01004e-05,0.00012,-115.02,-125.05,168.141144,168.1411111,-60.7307831,-60.7307761,1680m606,1680m606w1o0018829,1680m606w2o0014459,220.0,224.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
