name,ra,dec,PU,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
2CXO J111209.2-603658,168.0387083333333,-60.616308333333336,1.15,3.17,8.649393653682408e-16,2.8315001801910674e-16,1.282e-16,1.282e-16,4.902202741572809e-16,3.70366632953295e-16,1.4833596395255212e-15,4.83508650914729e-16,0.936,,,Gaia DR3 5337639537080452992,,,13.117012,0.002768,13.902642,0.003224,12.242088,0.003879,7.3145,0.0118,35.717,,,,,,,2,11120931-6036586,11.142,0.024,10.484,0.022,10.393,0.021,0,J111209.36-603659.1,10.278,0.014,10.361,0.009,0,1680m606o0021328,10.295352646634893,-0.0006573379385986,10.347342417085391,-0.0014175299950367,0,J111209.34-603658.9,10.221,0.023,10.317,0.021,10.193,0.204,8.834,,0,0.0,allwise,10.221,0.023,10.317,0.021
2CXO J111152.8-603502,167.97016666666664,-60.583983333333336,2.09,3.29,4.221797884560802e-16,2.17150002610643e-16,5.289202115439197e-16,2.4605000230400793e-16,8.197622667090924e-16,8.061501121336326e-16,1.7708622667090925e-15,8.703865408889732e-16,0.255,,,Gaia DR3 5337640361714100608,,,18.246168,0.00337,18.754221,0.055218,17.247442,0.040207,0.0778,0.1425,5.232,,,,,,,2,,,,,,,,-4,,,,,,-4,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111159.3-603509,167.99745833333333,-60.58590277777778,2.07,3.0,7.790544851679176e-17,5.885839524993445e-17,1.0923039637391228e-16,8.2524726646006e-17,9.772795587129864e-15,3.342093212820385e-15,9.959931432020568e-15,3.3436300160722744e-15,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,-4,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111141.0-603532,167.9208333333333,-60.59229166666667,1.37,3.41,7.509732123953949e-16,2.823994858216089e-16,1.049441480807438e-15,3.6335007645012485e-16,4.66363525789275e-16,3.5234260573112136e-16,2.266778218992108e-15,5.79584385108862e-16,0.43,,,Gaia DR3 5337640292951730176,,,18.303888,0.004558,17.798384,0.122668,16.622364,0.096458,0.4473,0.1561,5.643,,,,,,,0,,,,,,,,-4,,,,,,-4,,,,,,-4,,,,,,,,,,-4,,,,,,
2CXO J111146.2-603501,167.942625,-60.58365277777778,1.64,3.09,1.150441480807438e-15,3.3735008234223323e-16,2.3934773522779187e-16,2.2014242061776343e-16,5.50221193129656e-16,4.1569796563247436e-16,1.940010409164886e-15,5.788545258031051e-16,0.548,,,Gaia DR3 5337640430433570688,,,15.062606,0.00278,15.417572,0.003194,14.5094,0.004123,0.4016,0.0245,7.754,,,,,,,2,11114619-6035007,13.796,0.03,13.563,0.043,13.405,0.05,0,J111146.28-603500.2,12.997,0.021,13.718,0.062,0,1680m606o0022472,13.328979906718418,-0.0037135914944248,13.380950665012053,-0.0091527657711816,0,,,,,,,,,,-8,0.0,catwise,12.997,0.021,13.718,0.062
2CXO J111206.3-603532,168.02662499999997,-60.59235277777778,1.5,3.41,1.2064014559339323e-16,9.114491357834996e-17,1.5311404721806986e-16,1.156792917704058e-16,7.115202115439197e-15,2.0505000276469704e-15,7.38895630825066e-15,2.0557819576005463e-15,0.705,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111133.6-603723,167.89029166666666,-60.62309444444445,0.75,12.98,2.0780000000000002e-15,4.3e-16,6.98e-15,9.399999999999997e-16,6.258286733007083e-14,6.696423240526618e-15,7.164086733007085e-14,6.775734957645924e-15,0.988,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,J111133.72-603723.7,15.382,0.017,18.298,,0,1680m606o0187398,15.375296224390166,-0.0167906875315711,,,0,,,,,,,,,,-8,0.0,catwise,15.382,0.017,18.298,
2CXO J111133.0-603808,167.88754166666664,-60.63583055555556,0.95,3.44,7.882404230878394e-16,2.627000086319166e-16,4.0462644298996415e-16,2.3248810326674263e-16,1.7448519192562006e-15,1.7241611186647839e-15,2.937718785334004e-15,1.7594867364692397e-15,0.169,,conf,Gaia DR3 5337639949356329472,,,17.53648,0.004675,17.173904,0.100042,16.288187,0.046879,0.8634,0.0861,7.433,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111131.1-603635,167.879625,-60.60988611111111,0.97,6.34,1.4682021154391972e-15,3.6150015681909134e-16,2.115202115439197e-15,4.965001141794707e-16,1.5300846175678856e-15,7.811161298835225e-16,5.113488848446281e-15,9.936483961264504e-16,1.0,,,Gaia DR3 5337640086797976192,,,20.328424,0.011385,20.60697,0.098443,18.51401,0.066991,-0.3613,0.5921,7.387,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111144.1-603950,167.93387499999997,-60.66399166666667,0.84,3.87,6.360202115439197e-16,2.336500024262835e-16,1.2486893376564843e-16,9.433980803579211e-17,6.051156509128935e-16,4.571713125517235e-16,1.3660047962224609e-15,5.220133446898633e-16,0.967,,,Gaia DR3 5337638197007324928,,,19.667252,0.007639,,,,,1.0151,0.4574,7.698,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-4,,,,,,,,,,-8,,,,,,
