#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
03498_000,3135,ens0042100_001,acisf03498_000N020_b1069_h_ecf90_prep3.fits,1.46E-13,7.15E-15,1.47E-13,1.39E-13,1.55E-13,0.9998
14334_000,3297,ens0042100_001,acisf14334_000N020_b1069_h_ecf90_prep3.fits,1.46E-13,1.89E-14,1.46E-13,1.25E-13,1.68E-13,1.0001
04617_000,3,ens0008300_001,acisf04617_000N020_b0002_h_ecf90_prep3.fits,1.41E-13,1.08E-14,1.36E-13,1.25E-13,1.48E-13,0.9997
04373_000,2516,ens0042100_001,acisf04373_000N020_b0996_h_ecf90_prep3.fits,1.28E-13,3.77E-15,1.28E-13,1.24E-13,1.32E-13,1.0038
14335_000,3297,ens0042100_001,acisf14335_000N020_b1069_h_ecf90_prep3.fits,1.23E-13,9.94E-15,1.23E-13,1.13E-13,1.34E-13,1.0003
04374_000,2657,ens0042100_001,acisf04374_000N020_b1069_h_ecf90_prep3.fits,1.21E-13,3.64E-15,1.21E-13,1.17E-13,1.25E-13,1.0055
15546_000,2669,ens0042100_001,acisf15546_000N020_b1069_h_ecf90_prep3.fits,1.14E-13,1.14E-14,1.15E-13,1.02E-13,1.28E-13,0.9994
04374_000,2669,ens0042100_001,acisf04374_000N020_b1069_h_ecf90_prep3.fits,1.16E-13,3.55E-15,1.15E-13,1.12E-13,1.19E-13,1.0006
09859_000,269,ens0021500_001,acisf09859_000N020_b0189_h_ecf90_prep3.fits,1.12E-13,1.60E-14,1.15E-13,9.73E-14,1.31E-13,1.0003
14335_000,708,ens0042100_001,acisf14335_000N020_b0400_h_ecf90_prep3.fits,1.15E-13,9.14E-15,1.14E-13,1.04E-13,1.24E-13,1.0023
14334_000,2669,ens0042100_001,acisf14334_000N020_b1069_h_ecf90_prep3.fits,1.08E-13,1.57E-14,1.10E-13,9.23E-14,1.26E-13,1.0006
14335_000,2669,ens0042100_001,acisf14335_000N020_b1069_h_ecf90_prep3.fits,1.09E-13,8.95E-15,1.09E-13,9.94E-14,1.19E-13,1.0025
03498_000,2669,ens0042100_001,acisf03498_000N020_b1069_h_ecf90_prep3.fits,1.03E-13,5.23E-15,1.02E-13,9.72E-14,1.09E-13,0.9991
14335_000,1011,ens0042100_001,acisf14335_000N020_b0553_h_ecf90_prep3.fits,1.01E-13,9.73E-15,1.01E-13,9.04E-14,1.12E-13,1.0026
01522_002,3135,ens0042100_001,acisf01522_002N020_b1069_h_ecf90_prep3.fits,9.95E-14,8.75E-15,1.00E-13,9.02E-14,1.10E-13,1
01522_002,257,ens0042100_001,acisf01522_002N020_b0175_h_ecf90_prep3.fits,9.93E-14,7.18E-15,9.89E-14,9.15E-14,1.07E-13,1.004
15546_000,708,ens0042100_001,acisf15546_000N020_b0400_h_ecf90_prep3.fits,9.83E-14,1.01E-14,9.80E-14,8.78E-14,1.10E-13,0.9991
01522_002,2620,ens0042100_001,acisf01522_002N020_b1053_h_ecf90_prep3.fits,8.95E-14,6.49E-15,8.96E-14,8.24E-14,9.74E-14,1.0014
15546_000,801,ens0042100_001,acisf15546_000N020_b0444_h_ecf90_prep3.fits,8.50E-14,9.85E-15,8.39E-14,7.40E-14,9.64E-14,1.0007
