#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
14334_000,2657,ens0042100_001,acisf14334_000N020_b1069_m_ecf90_prep3.fits,3.76E-14,5.13E-15,3.80E-14,3.28E-14,4.35E-14,0.9998
15546_000,242,ens0042100_001,acisf15546_000N020_b0162_m_ecf90_prep3.fits,3.57E-14,3.52E-15,3.46E-14,3.11E-14,3.88E-14,1.0026
14334_000,978,ens0042100_001,acisf14334_000N020_b0533_m_ecf90_prep3.fits,3.45E-14,5.15E-15,3.44E-14,2.89E-14,4.07E-14,0.9999
13637_000,978,ens0042100_001,acisf13637_000N020_b0533_m_ecf90_prep3.fits,3.46E-14,2.90E-15,3.41E-14,3.14E-14,3.75E-14,1.0007
14334_000,2669,ens0042100_001,acisf14334_000N020_b1069_m_ecf90_prep3.fits,3.39E-14,4.81E-15,3.39E-14,2.90E-14,3.90E-14,1.0004
01031_000,257,ens0121700_001,acisf01031_000N021_b0129_m_ecf90_prep3.fits,3.40E-14,2.01E-15,3.38E-14,3.17E-14,3.61E-14,1.0002
12312_000,6,ens0225300_001,acisf12312_000N020_b0004_m_ecf90_prep3.fits,3.49E-14,2.46E-15,3.34E-14,3.08E-14,3.56E-14,0.9995
15546_000,257,ens0042100_001,acisf15546_000N020_b0175_m_ecf90_prep3.fits,3.38E-14,3.52E-15,3.34E-14,2.98E-14,3.77E-14,0.9992
03498_000,708,ens0042100_001,acisf03498_000N020_b0400_m_ecf90_prep3.fits,3.22E-14,1.63E-15,3.23E-14,3.05E-14,3.40E-14,0.9994
01522_002,2516,ens0042100_001,acisf01522_002N020_b0996_m_ecf90_prep3.fits,3.20E-14,2.17E-15,3.22E-14,2.99E-14,3.45E-14,1.0015
15546_000,426,ens0042100_001,acisf15546_000N020_b0277_m_ecf90_prep3.fits,3.10E-14,3.36E-15,3.14E-14,2.77E-14,3.52E-14,0.9992
14334_000,257,ens0042100_001,acisf14334_000N020_b0175_m_ecf90_prep3.fits,3.19E-14,4.93E-15,3.13E-14,2.59E-14,3.78E-14,0.9991
14335_000,978,ens0042100_001,acisf14335_000N020_b0533_m_ecf90_prep3.fits,3.13E-14,2.80E-15,3.13E-14,2.84E-14,3.44E-14,0.9999
14335_000,642,ens0042100_001,acisf14335_000N020_b0362_m_ecf90_prep3.fits,3.01E-14,2.76E-15,2.99E-14,2.74E-14,3.29E-14,1.0001
14335_000,2657,ens0042100_001,acisf14335_000N020_b1069_m_ecf90_prep3.fits,2.88E-14,2.56E-15,2.92E-14,2.63E-14,3.19E-14,1
04395_000,642,ens0042100_001,acisf04395_000N020_b0362_m_ecf90_prep3.fits,2.92E-14,1.34E-15,2.91E-14,2.76E-14,3.07E-14,0.9998
14335_000,872,ens0042100_001,acisf14335_000N020_b0485_m_ecf90_prep3.fits,2.95E-14,2.77E-15,2.89E-14,2.63E-14,3.23E-14,0.9992
13637_000,642,ens0042100_001,acisf13637_000N020_b0362_m_ecf90_prep3.fits,2.80E-14,2.56E-15,2.78E-14,2.49E-14,3.10E-14,0.9996
03498_000,2516,ens0042100_001,acisf03498_000N020_b0996_m_ecf90_prep3.fits,2.63E-14,1.53E-15,2.61E-14,2.45E-14,2.80E-14,1.0002
15546_000,642,ens0042100_001,acisf15546_000N020_b0362_m_ecf90_prep3.fits,2.57E-14,3.08E-15,2.55E-14,2.24E-14,2.92E-14,0.9991
14335_000,409,ens0042100_001,acisf14335_000N020_b0277_m_ecf90_prep3.fits,2.41E-14,2.42E-15,2.42E-14,2.14E-14,2.69E-14,0.9995
03498_000,642,ens0042100_001,acisf03498_000N020_b0362_m_ecf90_prep3.fits,2.38E-14,1.46E-15,2.38E-14,2.23E-14,2.54E-14,0.9996
01522_002,978,ens0042100_001,acisf01522_002N020_b0533_m_ecf90_prep3.fits,2.25E-14,1.87E-15,2.25E-14,2.05E-14,2.47E-14,0.9997
14335_000,801,ens0042100_001,acisf14335_000N020_b0444_m_ecf90_prep3.fits,2.23E-14,2.31E-15,2.22E-14,1.96E-14,2.48E-14,1.0011
03498_000,2588,ens0042100_001,acisf03498_000N020_b1036_m_ecf90_prep3.fits,2.02E-14,1.34E-15,2.03E-14,1.87E-14,2.17E-14,1.0005
14334_000,642,ens0042100_001,acisf14334_000N020_b0362_m_ecf90_prep3.fits,1.98E-14,3.97E-15,2.00E-14,1.59E-14,2.45E-14,0.9994
06419_000,239,ens0042100_001,acisf06419_000N020_b0117_m_ecf90_prep3.fits,1.85E-14,2.47E-15,1.84E-14,1.58E-14,2.14E-14,1.0008
06419_000,348,ens0042100_001,acisf06419_000N020_b0117_m_ecf90_prep3.fits,1.71E-14,2.29E-15,1.72E-14,1.46E-14,1.98E-14,1.0007
