CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref,HESS_name
2CXO J174725.7-245035,266.8572276,-24.8431524,2.45,3.24,1.4e-15,8e-16,1.6e-15,8e-16,2.1e-14,7e-15,2.4e-14,7e-15,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.001,0.09,0.0,0.0001,0.2,0.5,0.01,0.1,0.005,0.1,0.0005,0.0007,0.2,0.2,0.02,NS,0.5,0.2,0.634,,,,,J1747-248
2CXO J174735.2-244826,266.8966682,-24.8073373,1.47,4.86,1.2e-15,5e-16,3.2e-15,7e-16,8e-15,3e-15,1.2e-14,3e-15,0.533,,15.261,0.004,16.43,0.02,14.16,0.01,12.2,0.05,11.12,0.07,10.01,,,,,,,,0.41,0.04,3.314,2213.0,2038.0,2405.0,0.01,0.11,0.15,0.02,0.1,0.06,0.01,0.5,0.01,0.07,0.07,0.02,0.05,0.04,0.01,0.1,YSO,0.5,0.1,2.26,extent,,,,J1747-248
2CXO J174747.4-244545,266.9476627,-24.7627677,1.35,4.1,1.9e-16,6e-17,3.2e-16,9e-17,2.4e-15,6e-16,2.9e-15,7e-16,0.371,0.545,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.0,0.002,0.0,0.0001,0.04,0.09,0.002,0.1,0.001,0.006,0.0,0.0008,0.07,0.1,0.006,AGN,0.9,0.1,3.435,,,,,J1747-248
2CXO J174755.0-244154,266.9795419,-24.6985361,1.01,9.02,1e-15,2e-16,2.4e-15,4e-16,6e-15,1e-15,1e-14,1e-15,0.986,1.0,16.996,0.003,18.07,0.01,15.806,0.009,,,,,,,,,,,,,0.32,0.08,1.659,3463.0,2670.0,5524.0,0.007,0.13,0.14,0.002,0.007,0.3,0.03,0.4,0.01,0.07,0.07,0.005,0.01,0.1,0.03,0.1,YSO,0.4,0.1,0.24,,,,,J1747-248
2CXO J174752.4-244247,266.9686521,-24.713136,1.25,5.14,2.2e-16,9e-17,8e-16,2e-16,2.4e-15,8e-16,3.5e-15,8e-16,0.873,0.971,18.132,0.004,20.41,0.05,16.57,0.01,13.62,0.05,12.42,0.06,12.03,0.08,,,,,,,0.3,0.2,5.492,5104.0,3482.0,7536.0,0.001,0.0,0.02,0.002,0.04,0.01,0.0,0.92,0.003,0.01,0.03,0.008,0.05,0.02,0.001,0.08,YSO,0.92,0.08,7.075,,,,,J1747-248
2CXO J174747.9-244533,266.9498661,-24.7594114,0.76,8.69,1.5e-16,4e-17,5e-16,1e-16,3.4e-15,5e-16,4.1e-15,5e-16,0.803,0.898,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.001,0.001,0.0,0.0,0.1,0.07,0.002,0.1,0.003,0.004,0.0,0.0006,0.1,0.08,0.005,AGN,0.9,0.1,3.167,,,,,J1747-248
2CXO J174751.7-244356,266.9655096,-24.7323572,0.86,7.12,1.8e-15,3e-16,1.6e-15,3e-16,2.3e-15,7e-16,5.7e-15,9e-16,0.956,0.59,15.691,0.003,16.483,0.004,14.804,0.004,13.5,0.03,12.87,0.03,12.7,0.04,,,,,,,1.1,0.04,6.69,880.0,844.0,909.0,0.0,0.05,0.3,0.02,0.21,0.05,0.0,0.3,0.001,0.05,0.2,0.02,0.1,0.04,0.002,0.1,HM-STAR,0.3,0.2,0.034,,,,,J1747-248
2CXO J174756.9-244218,266.9874893,-24.7050479,1.0,6.95,1.6e-16,5e-17,3e-16,1e-16,1.1e-14,2e-15,1.2e-14,2e-15,0.812,0.819,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.001,0.01,0.0,0.0,0.1,0.3,0.01,0.2,0.007,0.03,0.0006,0.0006,0.1,0.2,0.02,AGN,0.5,0.2,0.516,,,,,J1747-248
2CXO J174754.0-244335,266.9754078,-24.7265021,1.27,3.41,2e-16,7e-17,4e-16,1e-16,3.7e-15,9e-16,4.3e-15,9e-16,0.983,0.068,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.01,0.001,0.0,0.0,0.05,0.09,0.01,0.2,0.02,0.004,0.002,0.02,0.09,0.1,0.02,AGN,0.8,0.2,2.828,,,,,J1747-248
2CXO J174752.4-244511,266.9683349,-24.7532324,0.88,5.26,1.2e-16,4e-17,1.7e-16,6e-17,6e-16,2e-16,9e-16,2e-16,0.261,1.0,18.287,0.003,19.38,0.03,17.14,0.01,,,,,,,,,,,,,0.3,0.2,4.7,5673.0,3475.0,7977.0,0.02,0.2,0.4,0.004,0.02,0.1,0.05,0.24,0.02,0.1,0.2,0.007,0.02,0.06,0.04,0.09,HM-STAR,0.4,0.2,0.622,,,,,J1747-248
2CXO J174749.2-244619,266.9553118,-24.7721141,0.72,18.27,3e-16,9e-17,1.7e-15,2e-16,2e-14,1e-15,2.2e-14,1e-15,0.977,0.502,,,,,,,,,,,,,12.59,0.01,12.99,0.02,,,,,,,,,0.77,0.02,0.001,0.001,0.002,0.03,0.15,0.03,0.08,0.02,0.003,0.003,0.005,0.03,0.08,0.02,AGN,0.77,0.08,3.88,,,,,J1747-248
2CXO J174749.7-244628,266.957411,-24.7745616,0.75,6.25,1.2e-16,3e-17,6e-16,1e-16,1.1e-15,3e-16,1.8e-15,3e-16,0.569,0.961,18.721,0.004,21.0,0.1,17.15,0.01,14.2,0.03,12.95,0.04,12.51,0.03,,,,,,,-0.2,0.3,5.946,7100.0,4892.0,9767.0,0.0,0.002,0.02,0.001,0.04,0.003,0.0,0.94,0.002,0.005,0.02,0.003,0.04,0.008,0.0008,0.05,YSO,0.94,0.05,9.51,,,,,J1747-248
2CXO J174750.4-244615,266.9601768,-24.771102,0.72,15.96,1.4e-15,2e-16,9e-16,1e-16,1e-15,2e-16,3.3e-15,3e-16,1.0,1.0,17.508,0.003,18.62,0.02,16.37,0.01,,,,,,,,,,,,,1.3,0.1,4.425,761.0,708.0,827.0,0.004,0.08,0.2,0.001,0.02,0.2,0.02,0.4,0.007,0.06,0.1,0.003,0.02,0.1,0.02,0.1,YSO,0.4,0.1,0.898,,,,,J1747-248
2CXO J174751.2-244620,266.9633897,-24.7724646,0.76,7.51,1.2e-16,3e-17,1.9e-16,5e-17,5.1e-15,7e-16,5.4e-15,7e-16,0.998,0.409,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.02,0.001,0.001,0.0,0.06,0.2,0.17,0.2,0.02,0.003,0.004,0.002,0.05,0.2,0.08,AGN,0.5,0.2,0.811,,,,,J1747-248
2CXO J174758.7-244227,266.9947064,-24.7077417,0.79,5.86,1.3e-16,4e-17,3e-16,1e-16,1.1e-14,2e-15,1.1e-14,2e-15,0.853,0.835,21.11,0.03,,,,,,,,,,,,,,,,,,,,,,,0.4,0.05,0.06,0.02,0.004,0.13,0.3,0.03,0.2,0.03,0.03,0.02,0.007,0.08,0.2,0.02,AGN,0.4,0.2,0.357,,,,,J1747-248
2CXO J174749.8-244727,266.957742,-24.7909363,1.49,3.06,1.2e-16,3e-17,1.5e-16,4e-17,7e-16,2e-16,9e-16,2e-16,0.651,0.777,,,,,,,,,,,,,12.842,0.006,,,,,,,,,,,0.5,0.01,0.005,0.0,0.01,0.2,0.2,0.09,0.1,0.01,0.008,0.0005,0.01,0.1,0.09,0.03,AGN,0.5,0.1,1.614,,,,,J1747-248
2CXO J174752.6-244648,266.9693823,-24.7800932,1.2,3.85,1.4e-16,4e-17,1.7e-16,5e-17,9e-16,2e-16,1.2e-15,2e-16,,0.561,20.9,0.01,22.4,0.5,20.8,0.5,,,,,,,,,,,,,,,,,,,0.3,0.1,0.12,0.002,0.004,0.2,0.2,0.04,0.1,0.1,0.07,0.006,0.008,0.1,0.1,0.03,AGN,0.3,0.1,0.365,,,,,J1747-248
