CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref,HESS_name
2CXO J180002.7-235514,270.0113518,-23.9206125,1.92,7.81,9e-15,1e-15,2.5e-15,6e-16,2e-15,2e-15,1.3e-14,2e-15,0.035,,15.17,0.003,16.383,0.005,14.029,0.004,12.52,,11.57,,11.13,0.04,10.47,0.04,10.45,0.05,9.61,,4.2,0.2,6.408,236.0,229.0,244.0,0.003,0.06,0.26,0.01,0.13,0.05,0.02,0.46,0.006,0.03,0.07,0.01,0.05,0.03,0.02,0.07,YSO,0.46,0.07,1.363,,,,,J1800-240
2CXO J175956.2-240356,269.9844667,-24.0657738,3.04,3.64,5e-16,4e-16,9e-16,4e-16,2e-15,2e-15,4e-15,2e-15,0.455,,18.992,0.004,20.79,0.07,17.76,0.02,15.51,0.06,14.77,0.08,14.72,,,,,,,,0.1,0.3,3.32,5062.0,2509.0,8653.0,0.0,0.21,0.07,0.04,0.05,0.13,0.04,0.5,0.001,0.1,0.04,0.04,0.03,0.06,0.03,0.1,YSO,0.5,0.1,1.118,,,,,J1800-240
2CXO J175959.3-240110,269.9973091,-24.0196035,3.36,3.24,4e-16,4e-16,7e-16,3e-16,8e-18,6e-18,1.2e-15,5e-16,,,20.43,0.01,20.8,0.2,19.02,0.06,,,,,,,,,,,,,0.0,1.0,1.673,4383.0,2053.0,6415.0,0.001,0.3,0.15,0.001,0.03,0.3,0.06,0.2,0.004,0.1,0.09,0.003,0.02,0.1,0.07,0.08,LMXB,0.3,0.1,0.092,conf,,,,J1800-240
2CXO J175959.6-235627,269.9985791,-23.9409165,2.76,3.24,6e-15,3e-15,2e-15,5e-16,1e-15,1e-15,9e-15,4e-15,0.089,,17.452,0.003,18.57,0.02,16.381,0.009,14.6,0.05,13.83,0.06,12.81,,,,,,,,0.4,0.2,1.025,3055.0,2077.0,4388.0,0.0,0.18,0.11,0.01,0.09,0.11,0.03,0.5,0.0006,0.09,0.06,0.01,0.05,0.05,0.02,0.1,YSO,0.5,0.1,1.459,,,,,J1800-240
2CXO J175953.0-240615,269.971124,-24.1042991,2.56,3.45,2e-15,2e-15,2e-15,6e-16,5e-15,2e-15,9e-15,3e-15,,,19.077,0.009,21.0,0.1,17.71,0.03,14.94,0.08,12.61,,11.29,,10.38,0.05,10.35,0.05,8.87,,0.4,0.3,1.815,3081.0,1930.0,4898.0,0.003,0.24,0.06,0.03,0.04,0.16,0.12,0.35,0.006,0.07,0.03,0.02,0.02,0.06,0.08,0.07,YSO,0.35,0.07,0.777,,,,,J1800-240
2CXO J175958.9-235600,269.9957007,-23.9335732,1.85,8.05,7e-15,4e-15,2e-16,1e-16,4.4e-14,5e-15,5e-14,7e-15,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.002,0.001,0.4,0.6,0.02,0.01,0.03,0.02,0.006,0.008,0.2,0.2,0.02,NS,0.6,0.2,0.464,,,,,J1800-240
2CXO J175953.4-240443,269.9727811,-24.0787173,2.27,3.84,2e-16,2e-16,8e-16,3e-16,3e-15,2e-15,4e-15,2e-15,0.959,,19.183,0.005,20.9,0.1,18.0,0.02,15.77,0.09,14.98,,14.3,,,,,,,,0.8,0.3,1.533,2021.0,1409.0,3201.0,0.0,0.24,0.1,0.03,0.02,0.3,0.05,0.27,0.002,0.1,0.08,0.03,0.02,0.1,0.05,0.08,LMXB,0.3,0.1,0.063,,,,,J1800-240
2CXO J175954.3-235725,269.9763779,-23.9570368,4.78,3.24,2.2e-15,1e-15,9e-16,4e-16,4e-15,2e-15,7e-15,3e-15,0.825,,19.11,0.01,18.4,0.2,16.77,0.1,,,,,,,,,,,,,0.0,0.4,1.552,3840.0,2572.0,5462.0,0.0,0.3,0.11,0.0,0.005,0.3,0.01,0.2,0.002,0.1,0.09,0.01,0.01,0.2,0.02,0.1,LMXB,0.3,0.2,0.089,extent,,,,J1800-240
2CXO J175950.1-240107,269.9591377,-24.0188601,3.76,3.64,3e-15,1e-15,9e-16,4e-16,4e-15,2e-15,7e-15,3e-15,,,20.536,0.01,22.0,0.3,19.2,0.06,,,,,,,,,11.453,0.004,,,2.0,1.0,1.308,2407.0,1445.0,3802.0,0.006,0.1,0.08,0.01,0.01,0.2,0.4,0.17,0.01,0.1,0.06,0.01,0.01,0.1,0.2,0.07,NS,0.4,0.2,0.501,,,,,J1800-240
2CXO J185245.9+003111,283.1913685,0.5199349,3.44,3.64,1.4e-15,7e-16,2.3e-15,9e-16,1e-14,5e-15,1.4e-14,5e-15,0.951,,15.62,0.004,17.69,0.01,14.281,0.008,11.72,0.03,10.57,0.03,10.14,0.03,9.73,0.03,9.78,0.03,8.6,0.2,0.42,0.04,6.619,2107.0,1935.0,2325.0,0.0,0.01,0.09,0.01,0.03,0.004,0.0,0.85,0.0,0.01,0.05,0.03,0.03,0.008,0.002,0.07,YSO,0.85,0.07,6.379,,,,,J1852-000
2CXO J185250.6+003247,283.2108604,0.5464294,2.11,3.43,8e-18,6e-18,8e-16,5e-16,2.6e-14,8e-15,2.7e-14,8e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.002,0.1,0.001,0.0,0.2,0.6,0.03,0.08,0.008,0.1,0.003,0.0006,0.2,0.3,0.04,NS,0.6,0.3,0.814,conf,,,,J1852-000
2CXO J185222.2+003323,283.0927877,0.5564482,2.81,3.03,3e-16,2e-16,8e-18,6e-18,2.2e-14,7e-15,2.2e-14,7e-15,,,17.899,0.003,19.8,0.07,16.614,0.008,14.29,0.03,13.44,0.03,12.98,0.05,,,,,,,0.1,0.1,3.312,4870.0,3646.0,6407.0,0.003,0.01,0.04,0.6,0.08,0.02,0.01,0.21,0.007,0.01,0.04,0.1,0.05,0.02,0.02,0.1,HMXB,0.6,0.1,1.692,,,,,J1852-000
2CXO J185753.6+024010,284.4735424,2.6696528,0.72,5.72,2e-15,1e-15,2.4e-14,8e-15,3e-13,7e-14,3.3e-13,7e-14,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.3,0.001,0.005,0.0,0.2,0.4,0.01,0.01,0.2,0.005,0.01,0.01,0.2,0.2,0.02,NS,0.4,0.2,0.139,,,,,J1857+026
2CXO J185623.7+024650,284.0988884,2.7806177,0.87,10.86,3e-16,2e-16,7e-15,1e-15,8.5e-14,9e-15,9.2e-14,9e-15,0.632,,19.523,0.006,21.4,0.2,17.83,0.04,13.81,0.03,12.34,0.03,11.62,0.03,11.114,0.001,10.957,0.003,,,0.8,0.5,4.84,2029.0,1289.0,3760.0,0.0,0.02,0.02,0.5,0.05,0.01,0.003,0.4,0.002,0.02,0.02,0.1,0.05,0.01,0.006,0.1,HMXB,0.5,0.1,0.086,,,,,J1857+026
2CXO J185634.9+025033,284.1456778,2.8425007,2.14,3.03,2e-16,2e-16,2e-16,1e-16,8e-15,3e-15,8e-15,3e-15,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.02,0.001,0.0,0.3,0.6,0.03,0.03,0.05,0.04,0.003,0.02,0.2,0.2,0.04,NS,0.6,0.2,0.541,,,,,J1857+026
2CXO J185632.3+024709,284.1348369,2.7859812,1.44,3.26,2e-15,1e-15,7e-16,4e-16,1e-15,9e-16,4e-15,2e-15,0.984,,20.185,0.008,21.8,0.1,18.81,0.07,,,,,,,,,,,,,1.5,0.6,8.508,1383.0,797.0,1989.0,0.001,0.1,0.07,0.004,0.1,0.5,0.14,0.11,0.004,0.06,0.05,0.009,0.08,0.1,0.08,0.07,LMXB,0.5,0.1,1.659,,,,,J1857+026
2CXO J185630.1+024452,284.1256873,2.7480442,1.22,3.14,6e-16,4e-16,1.2e-15,6e-16,5e-15,2e-15,7e-15,2e-15,0.614,,,,,,,,15.03,,14.02,0.07,11.41,,,,,,,,,,,,,,0.001,0.05,0.21,0.01,0.02,0.3,0.3,0.1,0.008,0.06,0.07,0.01,0.02,0.2,0.2,0.04,LMXB,0.3,0.2,0.079,,,,,J1857+026
2CXO J185632.1+024605,284.1337581,2.7681093,1.01,5.35,7e-16,5e-16,2.9e-15,8e-16,7e-15,2e-15,1e-14,2e-15,0.277,,16.698,0.003,18.23,0.02,15.508,0.006,13.45,0.03,12.58,0.04,12.26,0.04,,,,,,,0.74,0.06,9.272,1305.0,1212.0,1398.0,0.0,0.02,0.12,0.02,0.1,0.02,0.002,0.7,0.0,0.03,0.06,0.03,0.08,0.03,0.008,0.1,YSO,0.7,0.1,3.145,,,,,J1857+026
2CXO J185635.0+024820,284.1458829,2.8056793,1.27,3.0,8e-16,8e-16,4e-16,3e-16,1.3e-14,4e-15,1.4e-14,4e-15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.03,0.0,0.001,0.2,0.7,0.02,0.01,0.04,0.05,0.002,0.005,0.2,0.2,0.03,NS,0.7,0.2,1.003,,,,,J1857+026
2CXO J185624.9+023924,284.1041003,2.6567883,3.43,3.18,2e-15,1e-15,7e-16,5e-16,1.6e-14,5e-15,1.8e-14,5e-15,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.03,0.0,0.0,0.2,0.7,0.02,0.01,0.03,0.05,0.002,0.01,0.2,0.2,0.02,NS,0.7,0.2,1.292,,,,,J1857+026
2CXO J185633.8+024324,284.1411826,2.7235485,1.16,3.7,1.2e-15,7e-16,1.2e-15,5e-16,2e-15,1e-15,5e-15,2e-15,0.64,,17.395,0.003,18.91,0.02,16.24,0.009,14.36,,13.56,0.06,13.37,0.09,,,,,,,0.53,0.09,2.412,1761.0,1530.0,2084.0,0.0,0.07,0.14,0.03,0.1,0.07,0.01,0.58,0.002,0.04,0.05,0.03,0.05,0.05,0.01,0.07,YSO,0.58,0.07,3.487,,,,,J1857+026
2CXO J185640.9+024605,284.1706337,2.7681376,0.87,3.59,2e-16,1e-16,6e-16,4e-16,5e-15,2e-15,6e-15,2e-15,0.436,,,,,,,,14.66,0.04,12.62,0.03,11.75,0.07,11.03,0.001,10.91,0.002,,,,,,,,,0.0,0.01,0.09,0.02,0.04,0.001,0.01,0.84,0.003,0.01,0.06,0.02,0.04,0.004,0.01,0.08,YSO,0.84,0.08,5.321,,,,,J1857+026
2CXO J185658.0+022741,284.2417409,2.4615971,2.2,6.37,7e-14,1e-14,1.1e-14,4e-15,8e-18,6e-18,8e-14,1e-14,,,7.529,0.003,7.79,0.003,7.105,0.004,6.67,0.02,6.44,0.03,6.4,0.02,6.18,0.07,6.34,0.02,6.48,0.03,8.61,0.02,30.405,116.0,115.0,116.0,0.0,0.001,0.07,0.0,0.91,0.0,0.0,0.02,0.0,0.004,0.06,0.001,0.08,0.001,0.0006,0.02,LM-STAR,0.91,0.08,6.071,extent,,,,J1857+026
2CXO J185648.7+025213,284.2029998,2.8702887,1.7,3.09,8e-18,6e-18,2e-16,2e-16,1e-14,3e-15,1e-14,3e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.001,0.1,0.0,0.0,0.2,0.6,0.06,0.07,0.008,0.1,0.003,0.004,0.2,0.3,0.06,NS,0.6,0.3,0.93,,,,,J1857+026
2CXO J185637.0+024147,284.1545154,2.6964524,0.81,12.47,7e-16,5e-16,1.1e-15,6e-16,1.9e-13,2e-14,1.9e-13,2e-14,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.09,0.002,0.01,0.001,0.4,0.5,0.03,0.05,0.08,0.008,0.02,0.003,0.2,0.2,0.03,NS,0.5,0.2,0.293,,,,,J1857+026
2CXO J185644.0+024628,284.1834545,2.7744739,0.78,3.09,8e-18,6e-18,2e-16,2e-16,6e-15,2e-15,6e-15,2e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.001,0.1,0.0,0.0,0.1,0.6,0.08,0.08,0.007,0.2,0.002,0.003,0.2,0.3,0.08,NS,0.6,0.3,1.119,,,,,J1857+026
2CXO J185703.4+023739,284.2643733,2.6275024,3.53,3.88,1e-15,1e-15,3e-16,2e-16,1.6e-14,4e-15,1.7e-14,5e-15,0.87,,19.795,0.006,21.0,0.2,18.68,0.04,,,,,,,,,,,,,1.0,0.5,5.941,1635.0,1028.0,3467.0,0.001,0.23,0.06,0.06,0.003,0.4,0.12,0.13,0.006,0.09,0.04,0.04,0.007,0.1,0.09,0.06,LMXB,0.4,0.1,0.777,,,,,J1857+026
2CXO J185647.2+024309,284.19668,2.7191925,0.77,6.41,1.8e-15,6e-16,2.9e-15,8e-16,1e-14,2e-15,1.5e-14,3e-15,1.0,,17.894,0.004,19.34,0.05,16.46,0.01,14.23,0.04,13.34,0.05,12.94,0.07,,,,,,,0.7,0.2,2.849,1465.0,1204.0,1779.0,0.0,0.02,0.04,0.03,0.08,0.07,0.003,0.8,0.0003,0.02,0.04,0.03,0.07,0.06,0.008,0.1,YSO,0.8,0.1,3.697,,,,,J1857+026
2CXO J185712.2+024206,284.3009309,2.7017435,1.51,4.43,8e-18,6e-18,7e-16,4e-16,2e-14,5e-15,2.1e-14,5e-15,,,,,,,,,16.34,,14.72,0.09,13.8,0.06,12.4,0.1,12.9,0.3,9.8,,,,,,,,0.04,0.02,0.06,0.18,0.01,0.01,0.03,0.6,0.05,0.02,0.05,0.09,0.01,0.01,0.03,0.1,YSO,0.6,0.1,2.306,,,,,J1857+026
2CXO J185653.9+024830,284.2247939,2.8085772,0.76,8.38,1.3e-14,2e-15,3.8e-15,9e-16,3e-15,1e-15,2e-14,3e-15,0.872,,16.219,0.003,17.83,0.01,14.996,0.007,13.27,0.03,12.61,0.04,12.31,0.04,12.056,0.003,11.957,0.005,,,7.08,0.05,13.126,140.0,139.0,141.0,0.0,0.1,0.21,0.04,0.2,0.03,0.002,0.4,0.0003,0.1,0.09,0.04,0.1,0.03,0.007,0.1,YSO,0.4,0.1,0.632,,,,,J1857+026
2CXO J185651.9+024531,284.2163021,2.7588136,0.74,4.88,8e-18,6e-18,2e-16,2e-16,3.2e-14,7e-15,3.2e-14,7e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.002,0.06,0.004,0.0,0.3,0.5,0.04,0.1,0.006,0.08,0.009,0.004,0.2,0.2,0.04,NS,0.5,0.2,0.377,,,,,J1857+026
2CXO J185643.6+021921,284.1817129,2.3226524,0.72,7.21,1e-15,1e-15,3e-15,2e-15,2.9e-13,4e-14,3e-13,4e-14,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.01,0.002,0.0,0.1,0.8,0.01,0.05,0.01,0.01,0.008,0.001,0.1,0.2,0.02,NS,0.8,0.2,2.185,,,,,J1857+026
2CXO J185703.4+025352,284.2644511,2.8979315,2.4,4.72,8e-18,6e-18,8e-18,6e-18,3.6e-14,7e-15,3.6e-14,7e-15,,,,,,,,,,,,,,,13.424,0.007,,,,,,,,,,,0.2,0.002,0.01,0.06,0.001,0.4,0.3,0.1,0.1,0.005,0.02,0.03,0.004,0.2,0.2,0.06,LMXB,0.4,0.2,0.329,,,,,J1857+026
2CXO J185658.4+024824,284.2433493,2.8066688,0.93,3.82,2e-16,2e-16,2e-16,1e-16,2.3e-14,6e-15,2.3e-14,6e-15,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.02,0.002,0.001,0.3,0.6,0.02,0.05,0.03,0.04,0.007,0.005,0.2,0.2,0.03,NS,0.6,0.2,0.752,,,,,J1857+026
2CXO J185702.6+024101,284.2611857,2.6836514,1.57,3.87,8e-18,6e-18,4e-16,3e-16,1.7e-14,4e-15,1.7e-14,4e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.001,0.1,0.001,0.0,0.2,0.6,0.05,0.1,0.006,0.1,0.004,0.0006,0.2,0.3,0.05,NS,0.6,0.3,0.939,,,,,J1857+026
2CXO J185700.7+024722,284.2531952,2.7896475,0.9,3.0,2e-15,8e-16,8e-18,6e-18,8e-18,6e-18,2e-15,8e-16,,,13.298,0.003,13.752,0.003,12.678,0.004,11.96,0.02,11.6,0.03,11.52,0.02,11.421,0.001,11.416,0.003,,,2.63,0.02,6.048,375.0,373.0,377.0,0.0,0.001,0.11,0.002,0.84,0.002,0.0001,0.05,0.0,0.003,0.07,0.006,0.08,0.005,0.0008,0.04,LM-STAR,0.84,0.08,4.947,,,,,J1857+026
2CXO J185657.8+024251,284.241038,2.7142061,1.24,3.47,2e-16,2e-16,1.2e-15,6e-16,7e-15,2e-15,8e-15,3e-15,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.03,0.0,0.001,0.2,0.8,0.01,0.01,0.02,0.05,0.0,0.005,0.2,0.2,0.03,NS,0.8,0.2,1.471,,,,,J1857+026
2CXO J185659.3+024338,284.2472523,2.7274311,0.77,4.13,8e-18,6e-18,8e-16,5e-16,1.6e-14,4e-15,1.7e-14,4e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.001,0.1,0.0,0.0,0.1,0.7,0.03,0.06,0.005,0.2,0.003,0.001,0.2,0.3,0.04,NS,0.7,0.3,1.27,,,,,J1857+026
2CXO J185707.9+025020,284.2830121,2.8389942,1.57,3.7,1.8e-15,7e-16,1.7e-15,6e-16,2e-15,2e-15,6e-15,2e-15,0.28,,13.583,0.003,14.582,0.004,12.594,0.004,11.2,0.02,10.67,0.03,10.47,0.02,10.29,0.03,10.38,0.03,8.6,0.1,1.45,0.02,7.218,671.0,664.0,678.0,0.0,0.03,0.4,0.04,0.3,0.0,0.0,0.21,0.0,0.03,0.1,0.05,0.1,0.01,0.001,0.07,HM-STAR,0.4,0.1,0.618,,,,,J1857+026
2CXO J185710.7+024651,284.2946136,2.7808454,1.83,3.0,3e-16,2e-16,2e-16,2e-16,8e-15,3e-15,8e-15,3e-15,0.113,,20.42,0.01,21.8,0.3,18.94,0.06,15.27,0.06,13.83,0.03,13.25,0.04,,,,,,,-1.5,0.7,3.708,3758.0,2136.0,6107.0,0.001,0.006,0.04,0.2,0.2,0.01,0.01,0.6,0.003,0.01,0.03,0.1,0.1,0.01,0.02,0.2,YSO,0.6,0.2,1.246,,,,,J1857+026
2CXO J185712.6+025008,284.3027882,2.8358074,0.95,11.32,2e-16,2e-16,3e-16,2e-16,1.2e-13,1e-14,1.3e-13,1e-14,0.998,,,,,,,,,,,,,,13.58,0.01,12.71,0.01,,,,,,,,,0.14,0.06,0.001,0.07,0.02,0.3,0.3,0.17,0.07,0.05,0.004,0.04,0.02,0.1,0.1,0.06,NS,0.3,0.1,0.064,extent,,,,J1857+026
2CXO J185622.5+022215,284.0939726,2.3709499,2.02,3.35,8e-18,6e-18,9e-15,9e-15,1.9e-13,6e-14,2e-13,6e-14,,,20.57,0.05,21.9,0.2,19.3,0.2,,,,,,,11.26,0.07,10.37,0.06,4.7,0.02,,,,,,,0.29,0.08,0.04,0.03,0.01,0.2,0.18,0.16,0.1,0.06,0.03,0.02,0.01,0.09,0.08,0.06,AGN,0.29,0.1,0.488,,,,,J1857+026
2CXO J185650.9+024547,284.2121365,2.7632859,0.72,6.3,2e-16,1e-16,2e-16,2e-16,3e-14,5e-15,3.1e-14,5e-15,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,0.002,0.001,0.5,0.4,0.03,0.02,0.05,0.03,0.006,0.006,0.2,0.2,0.03,LMXB,0.5,0.2,0.319,,J1856+0245,NS,2005AJ....129.1993M,J1857+026
2CXO J185840.4+015740,284.6684224,1.9613402,3.28,3.41,8e-18,6e-18,1.8e-15,8e-16,8e-15,3e-15,1e-14,3e-15,,,,,,,,,16.1,0.1,14.42,0.08,13.57,0.07,13.056,0.005,13.03,0.01,,,,,,,,,0.02,0.04,0.09,0.04,0.05,0.02,0.03,0.7,0.03,0.04,0.05,0.02,0.04,0.02,0.04,0.1,YSO,0.7,0.1,4.115,,,,,J1858+020
2CXO J185840.6+015906,284.6695135,1.9851165,1.36,7.98,4e-15,3e-15,5e-15,1e-15,3.5e-14,6e-15,4.4e-14,7e-15,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.3,0.003,0.001,0.01,0.5,0.2,0.03,0.009,0.2,0.009,0.005,0.03,0.3,0.1,0.03,LMXB,0.5,0.3,0.446,,,,,J1858+020
2CXO J185839.1+015847,284.662979,1.9797841,2.75,3.02,5e-16,3e-16,5e-16,4e-16,7e-15,3e-15,8e-15,3e-15,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.01,0.0,0.0,0.4,0.5,0.02,0.05,0.06,0.03,0.002,0.02,0.2,0.3,0.03,NS,0.5,0.3,0.35,conf,,,,J1858+020
2CXO J185838.5+015833,284.6604192,1.9760669,2.37,3.19,3e-15,2e-15,1.4e-15,6e-16,1.3e-14,5e-15,1.8e-14,5e-15,0.904,,,,,,,,16.1,0.1,13.73,,12.99,,12.51,0.08,13.0,0.1,11.46,,,,,,,,0.04,0.11,0.04,0.007,0.04,0.2,0.3,0.2,0.03,0.06,0.02,0.009,0.04,0.1,0.1,0.08,NS,0.3,0.1,0.472,conf,,,,J1858+020
2CXO J185849.0+020656,284.7042538,2.1155753,1.78,7.37,2e-14,3e-15,5e-15,1e-15,9e-15,5e-15,3.3e-14,6e-15,0.953,,13.894,0.004,14.393,0.008,13.229,0.01,12.4,0.03,11.94,0.04,11.86,0.06,11.616,0.002,11.625,0.004,,,2.52,0.02,5.307,390.0,388.0,393.0,0.0,0.06,0.12,0.03,0.5,0.07,0.002,0.18,0.0006,0.07,0.08,0.04,0.2,0.07,0.006,0.09,LM-STAR,0.5,0.2,1.37,,,,,J1858+020
2CXO J185837.4+015851,284.6558566,1.9809512,1.3,6.66,1.8e-14,4e-15,4e-15,1e-15,6e-15,3e-15,2.8e-14,5e-15,0.191,,14.512,0.003,15.151,0.004,13.622,0.005,12.51,0.03,11.87,0.03,11.72,0.04,11.42,0.03,11.61,0.04,11.2,0.3,3.13,0.06,22.652,315.0,310.0,320.0,0.0001,0.08,0.18,0.06,0.4,0.02,0.001,0.3,0.0007,0.06,0.08,0.06,0.1,0.02,0.003,0.1,LM-STAR,0.4,0.1,0.203,,,,,J1858+020
2CXO J185843.4+020438,284.6810629,2.0773958,1.83,4.43,5e-15,1e-15,1.4e-15,6e-16,2e-15,1e-15,8e-15,2e-15,1.0,,17.346,0.003,19.08,0.03,16.086,0.006,14.29,0.03,13.74,0.04,13.5,0.06,13.29,0.01,13.28,0.01,,,5.6,0.09,24.203,177.0,174.0,179.0,0.0001,0.1,0.19,0.05,0.23,0.1,0.01,0.33,0.0008,0.08,0.08,0.06,0.1,0.09,0.01,0.09,YSO,0.33,0.09,0.537,,,,,J1858+020
2CXO J185845.3+020708,284.6888686,2.1191472,0.97,19.27,1.58e-13,9e-15,1.8e-14,2e-15,7e-15,5e-15,1.8e-13,1e-14,0.001,,9.063,0.006,8.813,0.003,8.151,0.004,7.63,0.03,6.96,0.04,5.86,0.04,,,,,,,,,,,,,0.0,0.02,0.24,0.04,0.25,0.004,0.0,0.45,0.001,0.02,0.08,0.03,0.09,0.007,0.002,0.09,YSO,0.45,0.09,1.073,,,,,J1858+020
2CXO J185831.3+020015,284.6308122,2.004261,1.38,3.26,8e-18,6e-18,7e-16,5e-16,1e-14,4e-15,1.1e-14,4e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.002,0.1,0.0,0.0,0.1,0.7,0.03,0.2,0.007,0.2,0.002,0.003,0.1,0.3,0.04,NS,0.7,0.3,1.202,,,,,J1858+020
2CXO J185822.3+020056,284.5931155,2.01581,0.9,3.31,8e-18,6e-18,8e-18,6e-18,1.5e-14,5e-15,1.5e-14,5e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.01,0.01,0.0,0.4,0.2,0.04,0.2,0.01,0.02,0.02,0.002,0.2,0.2,0.04,LMXB,0.4,0.2,0.339,,,,,J1858+020
2CXO J185817.1+015635,284.5715,1.9431259,1.94,3.03,1.4e-15,7e-16,1.1e-15,6e-16,4e-15,2e-15,7e-15,2e-15,0.191,,18.709,0.006,20.1,0.2,17.29,0.04,14.75,0.08,13.55,0.07,13.01,0.07,12.116,0.003,12.22,0.008,,,0.5,0.3,2.05,2487.0,1613.0,3881.0,0.0,0.0,0.04,0.01,0.04,0.01,0.001,0.9,0.0006,0.01,0.04,0.02,0.04,0.02,0.004,0.08,YSO,0.9,0.08,7.063,,,,,J1858+020
2CXO J185817.8+015717,284.574411,1.9549874,1.72,3.29,4e-15,1e-15,1.1e-15,6e-16,1e-15,7e-16,6e-15,2e-15,0.263,,16.712,0.003,17.885,0.009,15.648,0.008,13.89,0.06,12.51,,12.01,,11.24,0.04,11.29,0.04,11.3,0.5,1.05,0.06,3.128,920.0,871.0,979.0,0.007,0.14,0.26,0.02,0.14,0.08,0.03,0.32,0.009,0.07,0.09,0.02,0.06,0.05,0.03,0.07,YSO,0.32,0.07,0.427,,,,,J1858+020
2CXO J185822.2+020454,284.5925613,2.0818391,0.75,7.31,8e-16,4e-16,4e-15,1e-15,3.1e-14,5e-15,3.6e-14,5e-15,0.404,,20.57,0.01,21.8,0.2,19.2,0.06,15.39,0.07,13.91,0.05,13.41,0.05,,,,,,,0.3,1.0,1.717,4000.0,2000.0,6811.0,0.002,0.06,0.02,0.25,0.15,0.07,0.01,0.44,0.005,0.04,0.02,0.08,0.08,0.04,0.02,0.1,YSO,0.44,0.1,1.042,,,,,J1858+020
2CXO J185826.5+020923,284.6104931,2.1564732,2.73,3.03,8e-18,6e-18,5e-16,4e-16,1e-14,4e-15,1.1e-14,4e-15,,,,,,,,,,,,,,,11.02,0.01,11.1,0.01,,,,,,,,,0.3,0.004,0.05,0.004,0.01,0.05,0.3,0.3,0.2,0.008,0.07,0.008,0.01,0.06,0.1,0.1,NS,0.3,0.1,0.029,,,,,J1858+020
2CXO J185815.0+020046,284.5626336,2.0128754,0.75,4.0,8e-18,6e-18,3e-16,3e-16,1.6e-14,4e-15,1.6e-14,4e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.001,0.1,0.001,0.0001,0.1,0.5,0.03,0.3,0.006,0.1,0.005,0.0007,0.2,0.3,0.04,NS,0.5,0.3,0.413,,,,,J1858+020
2CXO J185812.4+020049,284.5519614,2.0137784,0.77,3.43,8e-18,6e-18,4e-16,3e-16,8e-15,3e-15,9e-15,3e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.001,0.1,0.0,0.0,0.1,0.6,0.04,0.2,0.005,0.2,0.001,0.002,0.1,0.3,0.05,NS,0.6,0.3,1.092,,,,,J1858+020
2CXO J185817.2+020537,284.5718171,2.0938864,0.91,3.03,4e-16,3e-16,1.3e-15,6e-16,2e-15,1e-15,4e-15,1e-15,0.358,,,,,,,,15.8,0.1,14.09,0.07,13.49,0.07,12.687,0.004,12.179,0.007,,,,,,,,,0.002,0.05,0.06,0.01,0.07,0.005,0.02,0.79,0.005,0.05,0.04,0.01,0.05,0.009,0.02,0.09,YSO,0.79,0.09,5.158,,,,,J1858+020
