name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J180839.3-202439,0.0176540041067761,0.0455082135523614,0.0031776180698151,0.0125256673511293,0.000359342915811,0.0077720739219712,0.0308398108886295,0.0395643469311703,0.0110026751896903,0.0145447128700773,0.0025595136155261,0.0139616785909045,0.2382802874743326,0.674722792607803,0.1159792060672924,0.1287668812868644,NS,0.674722792607803,0.1287668812868644,0.0,272.1638333333333,-20.41100833333333,0.72,84.24,1.364409e-11,0.9847421117861286,,0.387,,,,0,extent,10.007811,-0.244684,5.12328,point,J1808-204,
2CXO J174755.0-244154,0.0070020533880903,0.1266324435318275,0.1409342915811088,0.0023613963039014,0.0073459958932238,0.3726642710472279,0.0097894586369285,0.0746165560487204,0.0733103596578029,0.0051860343433799,0.0095513110642587,0.111779547466849,0.3128388090349076,0.0302207392197125,0.1378021791878463,0.0336580583691888,YSO,0.3726642710472279,0.111779547466849,0.0,266.97954166666665,-24.69853611111111,1.01,9.02,9.68014890263682e-15,0.2858679081233156,1.0,0.986,16.996466,,,3,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174747.9-244533,0.8531622176591376,0.0006878850102669,0.0010574948665297,0.0,4.106776180698152e-05,0.0019815195071868,0.1396930284919754,0.0029363086647415,0.0044549567400225,0.0,0.0006398526371388,0.0051168933429547,0.0695893223819301,0.0734804928131416,0.1077127700479408,0.0815881740403023,AGN,0.8531622176591376,0.1396930284919754,1.0,266.949875,-24.75941111111111,0.76,8.69,4.0665526335973376e-15,0.6727011910823514,0.898,0.803,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174751.7-244356,0.0001745379876796,0.0531519507186858,0.3420174537987679,0.0165092402464065,0.2084291581108829,0.3318326488706365,0.0014586907017266,0.0459883303408282,0.1642281166842202,0.0200444371914113,0.0986928786067005,0.1320311469441096,0.0476283367556468,0.0002566735112936,0.0437269564379615,0.0015822212462623,HM-STAR,0.3420174537987679,0.1642281166842202,0.0,266.9655,-24.73235833333333,0.86,7.12,5.739021318419864e-15,-0.19509949708628405,0.59,0.956,15.690994,13.497,,6,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174756.9-244218,0.5300265229295004,0.0012166324435318,0.0105766598220396,3.080082135523614e-05,2.053388090349076e-05,0.0146919917864476,0.1783270659006374,0.0069562788597739,0.0256646488722465,0.0005544141981805,0.000640841336112,0.0181338405816425,0.0990845311430527,0.344352327173169,0.104868521228229,0.1817715969305187,AGN,0.5300265229295004,0.1783270659006374,0.0,266.9875,-24.705047222222223,1.0,6.95,1.1566393529863154e-14,0.9122644634251729,0.819,0.812,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174749.2-244619,0.7693788501026694,0.0155903490759753,0.0007032854209445,0.0009907597535934,0.0019404517453798,0.0272073921971252,0.0831806019632725,0.0195000605918186,0.0026713141537393,0.0032801556686329,0.0046271625539137,0.0190944562580484,0.0342505133470225,0.1499383983572895,0.0344088661036643,0.0764604049766253,AGN,0.7693788501026694,0.0831806019632725,1.0,266.95529166666665,-24.77211388888889,0.72,18.27,2.2240866392560966e-14,0.8247994271435816,0.502,0.977,,,12.59,2,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174749.7-244628,0.0004517453798767,0.0019199178644763,0.0163963039014373,0.0007186858316221,0.0402156057494866,0.936858316221766,0.0020779347880542,0.0053365417544172,0.0180797316774138,0.0029551147009985,0.0422960583226462,0.0519880851204372,0.0033983572895277,4.106776180698152e-05,0.0083630025890147,0.000784194646176,YSO,0.936858316221766,0.0519880851204372,1.0,266.95741666666663,-24.77456111111111,0.75,6.25,1.783816752854321e-15,0.200065229970013,0.961,0.569,18.721016,14.204,,6,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174750.4-244615,0.0041324435318275,0.0827104722792607,0.2188757700205338,0.0010369609856262,0.0223049281314168,0.4266632443531827,0.0068414667882998,0.0555648778986494,0.108644095723765,0.0034902108595776,0.0182395963206806,0.1078587517212451,0.2248973305954825,0.0193788501026694,0.1167482500427159,0.0214336904820299,YSO,0.4266632443531827,0.1078587517212451,0.0,266.9601666666666,-24.771102777777777,0.72,15.96,3.254982445319264e-15,-0.3691467838468053,1.0,1.0,17.50827,,,3,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174751.2-244620,0.503910848733744,0.0195482546201232,0.0005509924709103,0.001088295687885,0.000441478439425,0.173347022587269,0.1561436670560448,0.0239303810401007,0.0026530722852173,0.0035186197674186,0.0022464232781814,0.0840620745678029,0.0648117727583846,0.2363013347022587,0.0546933267333172,0.1739108134244848,AGN,0.503910848733744,0.1561436670560448,0.0,266.963375,-24.77246388888889,0.76,7.51,5.4322336248403105e-15,0.8861052586827115,0.409,0.998,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174751.7-244657,0.5202481177275838,0.0464271047227926,0.0033264887063655,0.0002618069815195,5.646817248459959e-05,0.0415965092402464,0.1459110120899716,0.0476456637571189,0.0078639626213732,0.0017139291569066,0.000732377234547,0.0327221841112664,0.0987987679671457,0.2892847364818617,0.0831861331146662,0.1555535505213312,AGN,0.5202481177275838,0.1459110120899716,0.0,266.9655833333333,-24.78270833333333,0.72,17.41,1.4628467245311408e-14,0.8278761124632372,1.0,0.976,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174754.2-244630,6.160164271047228e-05,0.0007392197125256,0.3066427104722792,0.0017864476386036,0.6108624229979467,0.0730698151950718,0.000782847925886,0.003747936987444,0.1671652340686837,0.0053347915741478,0.1866138892018594,0.0489322922163732,0.0068069815195071,3.080082135523614e-05,0.0143215787613496,0.0005544141981805,LM-STAR,0.6108624229979467,0.1866138892018594,0.0,266.97616666666664,-24.77517222222222,0.73,6.63,1.2679605237858166e-15,-0.32135320001396694,0.653,0.809,11.963498,10.836,10.398373860047226,8,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174746.8-244941,0.4218497604380561,0.0078542094455852,0.0028490759753593,0.0,0.0025410677618069,0.0157905544147843,0.212908543960039,0.0137502797408252,0.0075707566183495,0.0,0.008589403908067,0.0249766853896398,0.378023613963039,0.1710917180013689,0.2162664852876253,0.1319269794408564,AGN,0.4218497604380561,0.212908543960039,0.0,266.945125,-24.828233333333333,0.9,6.27,3.610620645424834e-15,0.42567945871757196,1.0,0.933,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
