_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.899],24.0,0.899,J110518.90-585229.3,166.3287687,-58.8748143,0.0423,0.041,132.6,Im,12.489,0.024,12.708,0.022,12.352,,9.292,,13.214,0.027,12.718,0.026,12.61,0.032,3010.852,2536.448,1.6700591013510395e+18,45.3,11.1,48.4,3.63,-2.0,0.911,-2.1,0.987,4.78,3.0,0.0,0.0,0.0,0.0,0.0,0h00,1.0,21nn,59.0,59.0,59.0,59.0,0.0,38.0,0.0,39.0,0.0,166.3287704,0.0447,-58.8748137,0.0456,-0.008,93,34,60,35,11.1,3.63,0.911,0.987,4.77,1N000,AAUU,3.0,0.0,62.846,62.811,41.989,42.275,826880976,0.719,2M
[9.648],25.0,9.648,J110510.93-584906.8,166.2955426,-58.818573,0.0461,0.0448,151.9,Im,13.236,0.025,13.388,0.026,10.756,0.084,8.591,,14.751,0.042,13.883,0.049,13.42,0.043,3057.453,2683.197,1.6700591013510403e+18,44.1,5.53,42.5,1.66,12.9,1.36,1.8,0.95,2.64,1.0,0.0,0.0,0.0,0.0,0.001,PPo0,1.0,nn1n,55.0,55.0,55.0,55.0,24.0,35.0,0.0,35.0,0.0,166.2955449,0.0506,-58.8185739,0.0503,-0.0113,38,45,-40,46,5.53,1.66,1.36,0.95,2.64,1N000,AAAU,7.0,0.0,53.968,54.242,35.13,35.279,826880339,0.355,2M
[1.316],26.0,1.316,J110500.70-585242.0,166.2529534,-58.8783563,0.0619,0.0606,67.2,Im,12.831,0.031,12.902,0.033,11.941,0.373,9.253,,14.175,0.06,13.647,0.06,13.497,0.064,3113.34,2526.024,1.670059101351041e+18,34.7,11.0,32.9,2.54,2.9,0.75,0.0,0.881,4.53,1.0,0.0,0.0,0.0,0.0,0.0,hh00,1.0,20nn,62.0,62.0,62.0,62.0,0.0,37.0,0.0,38.0,0.0,166.2529535,0.0654,-58.8783559,0.0643,-0.0077,46,39,31,39,11.0,2.53,0.75,0.881,4.53,1N000,AACU,7.0,0.0,63.556,63.473,40.808,40.798,826881004,1.269,2M
"[0.538, 9.46, 9.928]",27.0,0.538,J110520.87-585225.1,166.3369747,-58.8736497,0.0734,0.0685,147.7,Im,13.041,0.038,13.235,0.032,12.486,,9.328,,13.381,0.029,13.07,0.033,12.966,0.045,2999.779,2539.614,1.6700591013510395e+18,28.7,2.56,34.2,2.15,-3.5,0.802,-2.2,0.928,1.77,4.0,1.0,0.0,0.0,0.0,0.0,0h00,0.0,nnnn,58.0,58.0,58.0,58.0,0.0,37.0,0.0,38.0,0.0,,,,,,,,,,,,,,,,AAUU,3.0,0.0,63.034,63.004,42.386,42.247,826880956,0.262,2M
"[0.534, 6.613]",28.0,0.534,J110525.20-585103.1,166.355018,-58.8508776,0.0384,0.0321,129.5,Im,10.388,0.022,10.452,0.019,10.154,0.073,8.805,,10.773,0.024,10.523,0.022,10.442,0.023,2975.971,2599.486,1.670059101351039e+18,49.7,1.7,58.1,1.66,14.9,0.859,0.4,0.908,1.36,2.0,1.0,0.0,0.0,0.0,0.0,0h00,0.0,nnnn,58.0,58.0,58.0,58.0,36.0,38.0,0.0,38.0,0.0,166.3550062,0.0313,-58.8508521,0.0309,-0.0094,10,24,73,24,6.32,4.03,0.913,0.917,3.48,1N009,AAAU,7.0,0.0,58.706,59.669,39.179,38.922,826908052,0.38,2M
[],29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.365],33.0,0.365,J110458.20-585236.0,166.2425207,-58.8766679,0.0625,0.0598,156.9,Im,12.446,0.031,12.47,0.032,11.481,,9.159,,12.854,0.033,12.734,0.033,12.656,0.033,3127.509,2530.276,1.67005910135104e+18,35.3,6.49,34.0,2.26,-0.6,0.568,-1.9,0.841,2.99,1.0,0.0,0.0,0.0,0.0,0.0,hh00,1.0,22nn,62.0,62.0,62.0,62.0,0.0,38.0,0.0,38.0,0.0,166.2425215,0.0621,-58.8766671,0.0644,-0.0085,76,35,115,36,6.49,2.25,0.568,0.841,2.98,1N000,AAUU,3.0,0.0,63.839,63.798,40.698,40.64,826880993,0.17,2M
