_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
[0.906],219.0,0.906,166.320503,-58.752041,0.17,0.16,99.0,11051692-5845073,16.386,,,,15.634,0.15,0.15,7.0,15.509,,,,UBU,020,010,0p0,000500,11.3,175.0,826879585.0,0.0,0.0,826879552.0,s,2000-02-04,73.0,289.527,1.329,-153.7,2451578.7331,,0.85,,,,16.676,0.645,,,4507.0,98.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.775, 3.101]",220.0,0.775,166.442026,-58.79007,0.06,0.06,0.0,11054608-5847242,14.669,0.048,0.05,35.9,14.1,0.098,0.098,27.8,13.792,0.074,0.075,21.6,AAA,222,122,0cc,666644,3.6,192.0,826908709.0,0.0,0.0,826908724.0,s,2000-02-04,74.0,289.599,1.319,5.4,2451578.7353,0.69,1.24,1.09,14.331,0.029,13.695,0.063,13.437,0.061,4367.0,247.0,sw,0.0,1.0,U,1.5,42,18.1,17.0,1.0,,45128.0,1037926.0,56.0,Opt
"[0.76, 6.391, 7.14]",221.0,0.76,166.305932,-58.750984,0.07,0.06,0.0,11051342-5845035,14.896,0.04,0.042,29.1,14.191,0.05,0.051,26.5,14.102,0.07,0.07,16.2,AAA,222,111,000,563626,5.9,172.0,826879558.0,0.0,0.0,826879544.0,s,2000-02-04,73.0,289.519,1.327,-126.5,2451578.7331,0.99,1.35,0.96,15.127,0.121,14.425,0.18,14.105,0.195,4511.0,126.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.43, 9.828]",222.0,0.43,166.253324,-58.948025,0.07,0.06,0.0,11050079-5856528,10.554,0.02,0.023,1587.9,10.355,0.021,0.023,905.5,10.299,0.017,0.019,539.3,AAA,222,111,000,665566,10.0,234.0,826881755.0,0.0,0.0,826881738.0,s,2000-02-04,73.0,289.573,1.135,-28.2,2451578.7333,0.67,0.83,0.98,10.546,0.017,10.326,0.033,10.309,0.018,3802.0,224.0,se,0.0,1.0,U,0.5,118,11.9,10.7,2.0,,45127.0,1037917.0,221.0,Opt
[],223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6.382],224.0,6.382,166.482753,-58.867203,0.06,0.06,0.0,11055586-5852019,13.146,0.023,0.026,145.9,12.543,0.02,0.022,116.6,12.458,0.028,0.029,73.8,AAA,222,111,000,556666,16.3,180.0,826907824.0,0.0,0.0,826907871.0,s,2000-02-04,74.0,289.649,1.257,-70.5,2451578.7352,0.92,0.74,0.84,13.163,0.023,12.58,0.058,12.462,0.046,4089.0,182.0,se,0.0,1.0,U,0.5,307,17.3,15.1,1.0,,45128.0,1037926.0,56.0,Opt
[],225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.128],226.0,1.128,166.161181,-58.92524,0.14,0.14,173.0,11043868-5855308,15.813,0.125,0.126,12.5,14.636,,,,13.865,,,,BUU,266,200,c00,460000,10.3,32.0,826881480.0,0.0,0.0,826881495.0,s,2000-02-04,73.0,289.52,1.137,143.1,2451578.7333,0.98,,,14.997,0.14,,,,,3884.0,110.0,sw,1.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.404, 9.061]",227.0,0.404,166.235008,-58.753468,0.07,0.06,0.0,11045640-5845124,14.542,0.037,0.039,40.3,14.08,0.029,0.03,29.3,14.086,0.059,0.059,16.5,AAA,222,111,ccc,665626,9.4,227.0,826879586.0,0.0,0.0,826879574.0,s,2000-02-04,73.0,289.486,1.31,6.0,2451578.7331,1.71,1.63,1.35,14.354,0.041,14.113,0.121,13.956,0.136,4502.0,247.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[4.111, 9.483]",228.0,4.111,166.100069,-58.825665,0.08,0.08,17.0,11042401-5849323,15.598,0.074,0.075,15.3,15.161,0.103,0.104,10.8,15.222,0.178,0.179,6.0,AAC,222,111,sss,160606,8.0,58.0,826796044.0,0.0,0.0,826796025.0,s,2000-02-04,72.0,289.451,1.216,-125.1,2451578.7255,1.36,1.83,1.12,15.572,0.101,14.994,0.215,15.21,0.401,4237.0,127.0,se,0.0,1.0,U,1.2,74,19.5,17.4,1.0,,45126.0,1037880.0,56.0,Opt
