name,usrid,ra,dec,significance,net_counts,remove_code,flux_significance_b_max,theta_mean,theta_median,e_theta,NET_COUNTS_broad,NET_ERR_broad,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,ra_ave,dec_ave,PU_ave,PU,err_ellipse_r0
IC2395_CXO_noconversion-53.0,53.0,130.71569850430205,-48.21081984806501,17.241932,114.15613,0,7.89292,6.991991682452687,6.991991682452687,0.00426990721452869,112.54523144899458,11.110151524117324,6.457022326056713e-14,2.8541899574730415e-14,3.836879430257451e-15,8.042193894778827e-16,4.176344936497653e-14,4.905951786885608e-15,,0.0,0.02330810374958836,,7.89292,0,1.1017055205580112e-13,2.8971626863116514e-14,130.71569786061949,-48.21082014718009,0.9704337818867578,0.9603927395748165,0.9603927395748165
IC2395_CXO_noconversion-21.0,21.0,130.60456016251578,-48.09434621636392,146.72421,631.8193,0,18.8008,1.3012542875146655,1.3012542875146655,0.0029754678005693425,576.521343239087,24.086179879028702,5.155365495202002e-14,4.697771652080065e-15,2.8758356974353035e-14,1.9981672861295924e-15,2.6129375646199024e-14,2.861770562433226e-15,103.83379688925801,1.0,0.9999898812107648,1.0,18.8008,0,1.0644138757257208e-13,5.8524748397968306e-15,130.6045595459316,-48.09434618806181,0.15285877381020005,0.0917135681954945,0.0917135681954945
IC2395_CXO_noconversion-35.0,35.0,130.48276781727324,-48.14407479990573,36.133057,229.19998,0,12.0851,5.748257086645989,5.748257086645989,0.01086377524685922,236.3348943620003,15.563932056267538,3.3996712107361135e-14,9.484255026533703e-15,9.539225188250985e-15,1.185084431436213e-15,5.860966381091308e-14,4.722014038027813e-15,0.9752851071732118,1.0,0.6300801658411963,0.677,12.0851,0,1.021456011065252e-13,1.0660813059672983e-14,130.4827673087764,-48.14407494824995,0.43164220822104216,0.489728177223043,0.489728177223043
IC2395_CXO_noconversion-45.0,45.0,130.71776978988757,-48.084538637617754,13.813824,51.361717,0,4.93914,4.331509568584472,4.331509568584472,0.010673804187575797,49.04341215454946,7.147128922355521,7.376970471115027e-14,3.911363581503789e-14,2.3211036778655206e-15,5.509622989584862e-16,7.472751960545231e-15,1.6458525246536471e-15,,0.0,0.002261853846266426,,4.93914,0,8.356356034956102e-14,3.9152125059301664e-14,130.71776897838532,-48.08453852921767,0.7291473843359447,0.7076144872509722,0.7076144872509722
IC2395_CXO_noconversion-24.0,24.0,130.67531554962352,-48.08804358350315,65.25286,216.38564,0,11.7594,2.736528365467228,2.736528365467228,0.010036346322634726,203.54733461149087,14.319926425042393,5.246491671358816e-14,7.274340671224597e-15,1.3098104135435393e-14,1.3491677813208975e-15,1.67144300887982e-14,2.1853509730263557e-15,0.4907221473358158,1.0,0.8774766563905535,0.516,11.7594,0,8.227745093782175e-14,7.714405017789377e-15,130.6753162356487,-48.088043838815096,0.24427146511283623,0.2321019013985468,0.2321019013985468
IC2395_CXO_noconversion-15.0,15.0,130.74482783901644,-48.12411587684253,62.502636,315.38086,0,14.9278,5.080238481901002,5.080238481901002,0.010459786231549195,316.3714710065589,17.8929243220844,3.1694658698186395e-14,3.7851528396038465e-15,2.2652581292838414e-14,1.81283751629187e-15,2.2429494821291745e-14,2.4998040055079327e-15,8.069322080390068,1.0,0.9078374160666438,0.995,14.9278,0,7.677673481231655e-14,4.8849546513340164e-15,130.74482762919232,-48.124116260225364,0.3523885422907251,0.35054094548731,0.35054094548731
IC2395_CXO_noconversion-3.0,3.0,130.6295972911883,-48.17518051609173,35.089256,131.24124,0,9.58253,3.708079480033052,3.708079480033052,0.0007561001466966921,132.4750806128891,11.578706294257481,2.7434972312613527e-14,1.462101130461519e-14,5.6947198016323374e-15,8.915821793240758e-16,3.4884030670630344e-14,3.660320097258881e-15,,0.0,0.1356959166915993,,9.58253,0,6.801372278487621e-14,1.509857058024271e-14,130.62959736574297,-48.175180782354204,0.3903064477799039,0.3770593519701358,0.3770593519701358
IC2395_CXO_noconversion-5.0,5.0,130.61958008334602,-48.15548634069476,90.44299,310.81314,0,14.3843,2.5019316789886217,2.5019316789886217,0.0018994145579782629,303.55532939875576,17.46595635923901,2.060867633675248e-14,3.2612398366984e-15,1.881203982136231e-14,1.6205575984735217e-15,2.6516462112068007e-14,2.902209291498238e-15,43.934408599457136,1.0,0.9999999848452947,1.0,14.3843,0,6.59371782701828e-14,4.656684547411128e-15,130.61958022347756,-48.15548626745738,0.21232634923767957,0.17892206784403497,0.17892206784403497
IC2395_CXO_noconversion-16.0,16.0,130.56037236386422,-48.122541656415855,78.222496,289.45764,0,12.8042,2.4041413091440678,2.4041413091440678,0.010961293600810773,272.35259145408315,16.555047287814897,3.588665445428193e-14,3.7440527249014966e-15,1.859590592344951e-14,1.5800004290246147e-15,1.1095724135039032e-14,1.7266038995333596e-15,0.6956170980126813,1.0,0.7381067161266972,0.596,12.8042,0,6.557828451277047e-14,4.415370107753606e-15,130.56037260066444,-48.1225415938089,0.2091567649905075,0.20296615236926527,0.20296615236926527
IC2395_CXO_noconversion-120.0,120.0,130.52033896340927,-48.06816946458256,4.497395,16.09738,0,2.61315,4.807164727863535,4.807164727863535,0.007701903726729409,14.564531553263745,4.13593036215789,6.334334953383232e-14,3.090292433168249e-14,9.366590021773812e-16,3.8347465165825415e-16,1.0019788380030761e-15,5.644243620480975e-16,,0.0,0.3253592295606381,,2.61315,0,6.528198737401277e-14,3.0910457128917256e-14,130.52033922837737,-48.06816938976643,1.4972946799195803,1.425886859648703,1.425886859648703
IC2395_CXO_noconversion-8.0,8.0,130.636081567482,-48.14449216171106,88.95273,268.66818,0,14.0282,1.9658692510363385,1.9658692510363385,0.0019192814256300261,255.01014243179588,16.001275754090056,1.4862280737284153e-14,2.702499757665145e-15,1.725960329209813e-14,1.5576637059307347e-15,2.567144266435159e-14,2.8716161312829823e-15,29.11332382066614,1.0,1.0,1.0,14.0282,0,5.779332669373388e-14,4.239811359765748e-15,130.63608167985308,-48.14449248737354,0.20834981136063607,0.16697853475607624,0.16697853475607624
IC2395_CXO_noconversion-92.0,92.0,130.55814144123616,-48.10720417131237,2.5351136,5.9429655,0,2.09757,2.4677086920584586,2.4677086920584586,0.010323553344603775,6.501308516167544,2.6496649984638814,5.461620141402945e-14,4.034499197388354e-14,3.1307253990599254e-16,2.311591342608949e-16,2.015948975263974e-15,9.378511928414904e-16,,0.0,0.809199052089614,,2.09757,0,5.694522292919941e-14,4.035655308345837e-14,130.5581407646519,-48.10720373568774,1.2071784756722972,1.2611762196498262,1.2611762196498262
