P_median_AGN,P_median_CV,P_median_HM-STAR,P_median_HMXB,P_median_LM-STAR,P_median_LMXB,P_median_NS,P_median_YSO,P_2sig_upp_AGN,P_2sig_upp_CV,P_2sig_upp_HM-STAR,P_2sig_upp_HMXB,P_2sig_upp_LM-STAR,P_2sig_upp_LMXB,P_2sig_upp_NS,P_2sig_upp_YSO,P_2sig_low_AGN,P_2sig_low_CV,P_2sig_low_HM-STAR,P_2sig_low_HMXB,P_2sig_low_LM-STAR,P_2sig_low_LMXB,P_2sig_low_NS,P_2sig_low_YSO,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class_median,Class_prob_median,Class_prob_2sig_upp,Class_prob_2sig_low,Class,Class_prob,Class_prob_e,name,true_Class,P_CO,e_P_CO,CT_8,Class5,Class5_prob,Class5_prob_e,true_Class5,CT_5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99997,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005471740119919815,0.00054717401199198,0.0,0.0,0.0,0.0,0.0,0.0,AGN,1.0,1.0,1.0,AGN,0.99997,0.0005471740119919815,2CXO J002037.9+284231,AGN,2.9999999999999997e-05,0.00054717401199198,913.7312610660454,AGN,0.99997,0.0005471740119919815,AGN,913.7312610660454
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99838,8e-05,0.0,0.00011999999999999999,2e-05,0.0009500000000000001,0.0,0.00045,0.004170490737670214,0.0008912880535463239,0.0,0.001089397442069141,0.00044698970882985626,0.0031634644786226853,0.0,0.00207407854282373,AGN,1.0,1.0,0.99,AGN,0.99838,0.004170490737670214,2CXO J002140.9+003841,AGN,0.0011500000000000002,0.003462468583061611,136.00164857621968,AGN,0.99838,0.004170490737670214,AGN,130.64788610774212
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99959,0.00022,0.0,0.0,0.00017,0.0,1e-05,1e-05,0.0021763815466587276,0.0015342600672486899,0.0,0.0,0.0014398517886133877,0.0,0.000316227766016838,0.000316227766016838,AGN,1.0,1.0,0.99,AGN,0.99959,0.0021763815466587276,2CXO J002209.9+001629,AGN,0.00023,0.00156651011932702,269.32539004962894,AGN,0.99959,0.0021763815466587276,AGN,267.0021173954559
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.01,0.01,0.01,0.01,0.02,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922799999999999,0.0023599999999999997,0.00011999999999999999,0.00049,0.0003,0.0016699999999999998,0.00035999999999999997,0.00242,0.013136748995629525,0.004884081720677311,0.0010893974420691408,0.002380244854120172,0.0017067257872642912,0.004396638537613756,0.002115390005383138,0.007733266024352412,AGN,1.0,1.0,0.96,AGN,0.9922799999999999,0.013136748995629525,2CXO J002227.4+012412,AGN,0.00488,0.007302405434178871,47.42976941091136,AGN,0.9922799999999999,0.013136748995629525,AGN,47.42976941091136
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996315,0.0017900000000000001,0.0,0.0,0.001085,0.00047999999999999996,5.9999999999999995e-05,0.00027,0.008259176047826375,0.005303208842203367,0.0,0.0,0.004191102520857767,0.0026789506857679882,0.0007726558075864026,0.0016822395578305518,AGN,1.0,1.0,0.97,AGN,0.996315,0.008259176047826375,2CXO J002301.4-275238,AGN,0.0023300000000000005,0.005991477096492796,73.32965463405449,AGN,0.996315,0.008259176047826375,AGN,69.75013635752117
0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.01,0.01,0.03,0.01,0.02,0.01,0.15,0.7972725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636549999999999,0.00147,0.0014100000000000002,0.004900000000000001,0.0010500000000000002,0.00272,0.0008150000000000001,0.02398,0.069956127929116,0.00437701476559747,0.007534498567832417,0.008914565018522745,0.008164812561483837,0.0060859377780781345,0.003093597476296061,0.048499090318909734,AGN,0.98,1.0,0.7972725,AGN,0.9636549999999999,0.069956127929116,2CXO J002733.7-013452,AGN,0.009905,0.01205141948949217,7.93274465994799,AGN,0.9636549999999999,0.069956127929116,AGN,7.93274465994799
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99988,4e-05,0.0,0.0,7.000000000000001e-05,0.0,0.0,1e-05,0.001840920690575504,0.0007739502561528087,0.0,0.0,0.0013773151407709848,0.0,0.0,0.0003162277660168379,AGN,1.0,1.0,1.0,AGN,0.99988,0.001840920690575504,2CXO J003131.4+003420,AGN,4e-05,0.0007739502561528087,310.6702095171459,AGN,0.99988,0.001840920690575504,AGN,310.6702095171459
0.18,0.0,0.0,0.0,0.0,0.13,0.65,0.0,0.45,0.04636374999999987,0.015,0.0,0.015,0.5654545833333333,0.89,0.01,0.045,0.0,0.0,0.0,0.0,0.02,0.21,0.0,0.195585,0.00857,0.0016400000000000002,2e-05,0.0015,0.16926333333333335,0.6230916666666667,0.00033,0.10060775995433796,0.0286832325205481,0.006730951322488203,0.0004469897088298562,0.004429403980178329,0.13717015255058498,0.1829504295680214,0.001828782229912695,NS,0.65,0.89,0.21,NS,0.6230916666666667,0.1829504295680214,2CXO J003319.1-433711,AGN,0.800945,0.23045485036662158,1.417679332987054,CO,0.800945,0.23045485036662158,AGN,1.828536298354906
0.08,0.05,0.02,0.0,0.0,0.36,0.39,0.0,0.28272749999999974,0.53,0.09,0.0,0.01,0.8,0.82136375,0.01,0.01,0.0,0.0,0.0,0.0,0.03863624999999999,0.08,0.0,0.0979675,0.100065,0.023723333333333332,0.0,0.001085,0.37092,0.40555416666666666,0.0006850000000000001,0.074783974463695,0.13544083782636115,0.024153287173411423,0.0,0.004032869826691539,0.20011868972904007,0.19379292890361882,0.0027042721919378026,NS,0.39,0.82136375,0.08,NS,0.40555416666666666,0.19379292890361882,2CXO J003320.9-433745,AGN,0.8765391666666666,0.30975378903738615,0.08792369919650586,CO,0.8765391666666666,0.30975378903738615,AGN,2.024694946935888
0.96,0.0,0.0,0.0,0.0,0.02,0.01,0.0,1.0,0.01,0.01,0.0,0.05,0.13,0.07,0.05,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94179,0.0008250000000000001,0.00087,0.0,0.0067350000000000005,0.029580000000000002,0.01141,0.008790000000000001,0.06020689969406135,0.003543576150152829,0.0039125961212995684,0.0,0.014796408642258719,0.034591475397417935,0.018624144510789174,0.013109452992316565,AGN,0.96,1.0,0.77,AGN,0.94179,0.06020689969406135,2CXO J003328.6-433231,AGN,0.041815000000000005,0.039445986625522005,9.62263329007199,AGN,0.94179,0.06020689969406135,AGN,9.031098177265145
