name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
2CXO J110438.5-585227,166.16074999999998,-58.87443611111111,0.88,4.67,1.8102177514900818e-15,-0.5640303497463941,,0.998,16.562517,15.170000076293944,,6,,LM-STAR,0.64647,0.18582833818142824,0.0,1.4867427965547908,12.0,point,,0.00111,0.04889,0.06416,0.64647,0.00418,0.03836,0.00024,0.19659000000000001,0.003644335492402035,0.053694981618872435,0.0467469750858778,0.18582833818142824,0.0097170994654795,0.0470544846377529,0.0016568479547457407,0.11676603190228826
2CXO J110438.5-585530,166.1607083333333,-58.92512222222222,2.52,2.42,8.84770585211824e-16,-0.1811671937132117,,,18.280458,15.812999725341797,,6,conf,YSO,0.32164,0.07398773266281775,0.0,0.7895813496743549,12.0,point,,0.09039,0.15024,0.1899,0.04131,0.03337,0.13673,0.03642,0.32164,0.042738442583632776,0.08077045416652227,0.09286017991051392,0.03444663220796002,0.02370453553658044,0.05397518337551455,0.030349706830622013,0.07398773266281775
2CXO J110438.6-584802,166.16129166666664,-58.80072222222222,1.29,3.12,1.5074793055449e-15,0.7069568424417453,,,,,,0,conf,AGN,0.65152,0.1540435620823508,0.0,1.507189734402242,12.0,point,,0.65152,0.0003,0.07357000000000001,5.9999999999999995e-05,0.0,0.04033,0.21889,0.01533,0.1540435620823508,0.0019783614214581515,0.06455635230264038,0.0007726558075864028,0.0,0.08175741786147228,0.1330005904387536,0.02259206722505714
2CXO J110438.6-584929,166.16116666666665,-58.82494722222223,0.78,6.99,4.849231386522633e-15,-0.7135003291461062,,0.906,9.729494,9.449999809265137,9.23,9,,LM-STAR,0.72805,0.11019092312681446,1.0,2.4887182554756517,12.0,point,,4e-05,0.00022,0.2031,0.72805,6e-05,0.00027,1e-05,0.06825,0.0006315051850925681,0.001598172129075635,0.1007409486690429,0.11019092312681446,0.0008928590018570662,0.0024562437039376047,0.000316227766016838,0.04735483058759662
2CXO J110438.6-585647,166.16112499999997,-58.94661944444445,2.62,3.84,4.8631220062441524e-15,-0.06522524905600043,,0.283,17.837881,15.164999961853027,13.522,8,conf,YSO,0.36951,0.13450186114195828,0.0,0.4336620290864827,12.0,point,,0.00816,0.24334999999999998,0.01497,0.21029,0.04167,0.09068000000000001,0.02137,0.36951,0.010850443867977575,0.15641593091320147,0.02427732457435309,0.1926871667865927,0.0596981990932304,0.06837991966515762,0.03290449522186604,0.13450186114195828
2CXO J110438.7-584809,166.16137499999996,-58.802675,1.35,2.65,5.391795780818288e-16,-0.028947181824864648,,,17.846407,15.42300033569336,14.312,8,conf,YSO,0.43794,0.12493264010883856,0.0,0.8358630221446156,12.0,point,,0.01916,0.00732,0.238,0.0478,0.22433,0.023969999999999998,0.00148,0.43794,0.017250854819167424,0.011213533936424474,0.11426923233074363,0.04057593383283257,0.11783223470483595,0.029590787666345,0.005517249318278089,0.12493264010883856
2CXO J110439.0-584957,166.16266666666664,-58.83258055555556,1.02,2.89,1.4650573806541028e-15,-0.2167422310555849,,0.95,15.109249,13.42300033569336,12.623,9,,LM-STAR,0.69245,0.18946396515985334,1.0,2.071323564412272,12.0,point,,0.00041000000000000005,0.03772,0.08264,0.69245,0.0189,0.02097,8e-05,0.14683000000000002,0.002129891179482285,0.03642977804940249,0.0866922484767002,0.18946396515985334,0.04695097863084853,0.03593954299585281,0.0008912880535463236,0.07395214682495715
2CXO J110439.2-584549,166.16379166666664,-58.763663888888885,1.52,3.88,2.05627916184016e-15,-0.5495823644144087,,0.906,17.04714,14.711999893188477,12.946,9,,YSO,0.5783400000000001,0.17594829411563562,0.0,0.6776187883284692,12.0,point,,0.00229,0.03886,0.021740000000000002,0.33607,0.01642,0.00571,0.0005700000000000001,0.5783400000000001,0.005485069369295709,0.03472327902295672,0.04280425918766266,0.18158311465421986,0.026158514251919358,0.01415260386629246,0.003793348058047071,0.17594829411563562
2CXO J110439.4-584939,166.16466666666665,-58.82758611111112,0.77,8.9,5.7967809610472256e-15,-0.9972471460758499,,,12.228724,11.407999992370604,11.058434726441847,8,,LM-STAR,0.97839,0.020579879286123877,1.0,26.639732228517,12.0,point,,0.0,5e-05,0.01303,0.97839,2e-05,0.00012,0.0,0.00839,0.0,0.0007056897321046963,0.015657722192715773,0.020579879286123877,0.0004469897088298564,0.0017857180037141314,0.0,0.011306446644978062
2CXO J110439.4-585550,166.16424999999995,-58.93078055555555,1.17,5.29,3.414889652547108e-15,-0.6791184530959875,,0.966,17.753944,15.093999862670898,,6,,YSO,0.52059,0.16531630706431058,0.0,0.4428180457419126,12.0,point,,0.0027400000000000002,0.06315,0.00715,0.38417,0.00369,0.01756,0.0009500000000000001,0.52059,0.005685483684324906,0.053712778391762264,0.011149071791041696,0.14275605202719216,0.009474897027074946,0.03207608572247048,0.004406463084710563,0.16531630706431058
2CXO J110439.7-584639,166.16566666666662,-58.77764166666667,1.28,4.38,2.167761065735437e-15,-0.5898244651529181,,0.89,17.228083,14.77400016784668,,6,,YSO,0.45891000000000004,0.17142023450222196,0.0,0.018351131901200433,12.0,point,,0.00124,0.04089,0.02429,0.45252,0.008960000000000001,0.01284,0.00035000000000000005,0.45891000000000004,0.003560207167437741,0.03874027243978428,0.0416440887777621,0.17678716950984674,0.01603669465867502,0.02181766280815639,0.0027541033177942115,0.17142023450222196
2CXO J110439.8-584701,166.16591666666665,-58.78373888888888,0.78,15.25,3.6311727500709565e-14,0.730570378365283,,0.089,20.016792,,,3,extent,CV,0.35231,0.10052397211097942,0.0,0.5313372423578012,12.0,point,,0.10328,0.35231,0.05597,0.00335,0.01199,0.25558000000000003,0.14027,0.07725,0.03892244283901716,0.10052397211097942,0.028856399494597236,0.006536070701898825,0.012169140807303861,0.08152613145556528,0.09187419642080122,0.04246104615339149
2CXO J110440.0-584921,166.16691666666665,-58.822625,0.82,5.35,2.6480692067532613e-15,-0.7165293894551605,,0.947,11.92439,11.074999809265137,,6,,LM-STAR,0.64419,0.14663234617554524,0.0,1.1518353052978811,12.0,point,,2e-05,0.00296,0.32038,0.64419,2.9999999999999997e-05,0.00227,1e-05,0.03014,0.00044698970882985637,0.006362301382273466,0.13449291410310035,0.14663234617554524,0.00054717401199198,0.010375680929691065,0.0003162277660168379,0.027697428536735097
2CXO J110441.2-585647,166.17179166666665,-58.94653611111111,1.1,7.72,9.899015200440372e-15,-0.3527447820741562,,0.984,12.252909,11.321999549865724,10.82,9,conf,LM-STAR,0.9243300000000001,0.07427696929848564,1.0,8.267241648648664,12.0,point,,0.00014000000000000001,0.00694,0.02764,0.9243300000000001,0.00107,0.008199999999999999,0.0,0.03168,0.0011754921445002431,0.013609615043109103,0.03101922940036699,0.07427696929848564,0.003920519158283819,0.020952302952157765,0.0,0.03369737546327776
2CXO J110441.4-584352,166.1725833333333,-58.73131666666667,1.18,12.6,2.7655449296579462e-14,0.8115778725097974,,0.651,,,,0,extent,NS,0.72256,0.11223209185630655,1.0,2.4866295350853997,12.0,point,,0.21928999999999998,0.0040999999999999995,0.02707,0.0,0.0,0.02545,0.72256,0.0015300000000000001,0.09015832975618185,0.016212737364580128,0.032823657512417656,0.0,0.0,0.04610556607637757,0.11223209185630655,0.004120203402269855
2CXO J110441.7-585719,166.17387499999995,-58.95538888888889,3.69,2.86,2.4027337663864578e-15,-0.2627965071443279,,,10.652083,10.16100025177002,9.907,9,,LM-STAR,0.70699,0.169079353345486,0.0,1.3953056782631132,12.0,point,,0.0002,0.00158,0.25662,0.70699,0.00184,0.0013800000000000002,0.0,0.03139,0.001400700525437883,0.0049928477373667795,0.1536957969431761,0.169079353345486,0.007750772508239074,0.006159020501145745,0.0,0.03658560381360962
