name,ra,dec,PU,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,_r_gaia,PU_gaia,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,_r_2mass,PU_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,_r_catwise,PU_catwise,RA_ICRS_catwise,DE_ICRS_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,_r_unwise,PU_unwise,RAJ2000_unwise,DEJ2000_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,_r_allwise,PU_allwise,RAJ2000_allwise,DEJ2000_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,gaia_precomputed,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
IC2395_CXO-105.0,130.52440104618242,-48.00601696824588,1.7488553206123203,8.865565,4.23297877582779e-15,1.6270848083714297e-15,3.150360506169556e-15,7.089165093237761e-16,9.913903244637344e-15,3.103461843101147e-15,1.729724252663469e-14,3.575114404100891e-15,0.5845220374788258,,,Gaia DR3 5329126293399774208,1.1158469176543528,0.0141903229152827,130.52432827691,-48.00632307816,16.957285,0.009265,17.829004,0.036243,15.37363,0.018072,0.5763,0.6171,3.004,5063.015625,2402.624267578125,9312.5107421875,3808.164794921875,2369.82763671875,5291.1240234375,0,08420584-4800230,1.39,0.1407123780496939,130.524341,-48.006401,13.6899995803833,0.0260000005364418,13.052000045776367,0.0320000015199184,12.802000045776367,0.0370000004768371,0,J084205.83-480023.0,1.379,0.052346282928208,130.5243036,-48.0063943,12.626,0.012,12.513,0.01,0,1304m485o0040450,1.387,0.035902274808151,130.5243272,-48.006399,12.631811642990368,-0.0020908315005841,12.476108076950384,-0.0044636648234222,0,J084205.83-480023.0,1.365,0.0889315092439119,130.5243242,-48.0063926,12.669,0.023,12.571,0.025,12.734,,9.291,,0,True,0.0,allwise,12.669,0.023,12.571,0.025
IC2395_CXO-77.0,130.59890523320422,-48.03535840401314,0.7728011630705196,14.662509,1.1547002423363348e-15,8.62978647906733e-16,1.9260525310626786e-15,5.288493573606419e-16,1.3821759130323174e-14,2.217251347589075e-15,1.6902511903722188e-14,2.437338164455081e-15,0.9351148871987536,0.687,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
IC2395_CXO-73.0,130.66147443564856,-48.05107424539086,0.5861669793478939,16.064064,7.646734902404541e-15,1.951484854188993e-15,4.020700617697324e-15,7.443815381324418e-16,5.138725859681928e-15,1.2233962101497666e-15,1.6806161379783792e-14,2.420556815579893e-15,0.5463721030662174,0.879,,Gaia DR3 5329122445106418688,0.2616922481746521,0.0026998071412602,130.66157515948,-48.05104684556,16.944868,0.00316,18.438152,0.014681,15.750097,0.005981,1.348,0.0522,5.316,724.2730712890625,699.2925415039062,753.7958984375,709.4940185546875,686.688232421875,728.8876953125,0,08423878-4803038,0.338,0.1400259951414736,130.661614,-48.051064,14.01200008392334,0.0289999991655349,13.255000114440918,0.0299999993294477,13.01200008392334,0.0299999993294477,0,J084238.77-480303.7,0.254,0.0462787134151328,130.6615707,-48.0510455,12.903,0.013,12.819,0.009,0,1304m485o0039083,0.313,0.0440826418827184,130.661603,-48.0510609,12.908820170064669,-0.0024666511340346,12.754483858289978,-0.0052924127052057,0,J084238.77-480303.6,0.282,0.2396151900764223,130.6615569,-48.0510188,12.913,0.056,12.79,0.05,12.467,,8.602,,0,True,0.0,allwise,12.913,0.056,12.79,0.05
IC2395_CXO-55.0,130.68505959996955,-48.1877528355614,0.8312739984079517,15.209583,4.186906846770343e-15,1.634987787615369e-15,4.3590649239500855e-15,7.892154682778096e-16,8.022078516980225e-15,1.9978822866828285e-15,1.6568050287700655e-14,2.6995517688055856e-15,0.7561412802845476,0.95,,Gaia DR3 5329108769930678528,0.4387098261194588,0.0025433502393496,130.68523436505,-48.18771712604,16.419329,0.003096,17.55077,0.009326,15.348783,0.005329,1.2516,0.0407,5.941,778.1427001953125,753.2523803710938,800.5977783203125,757.7346801757812,735.4513549804688,777.9810180664062,0,08424446-4811158,0.538,0.1200269250301781,130.685281,-48.187729,13.803999900817873,0.0260000005364418,13.121000289916992,0.0280000008642673,12.911999702453612,0.0309999994933605,0,J084244.45-481115.7,0.468,0.0544593677175928,130.6852463,-48.1877155,12.761,0.013,12.746,0.012,0,1304m485o0034736,0.456,0.0440733789514713,130.6852253,-48.1876909,12.803277449229377,-0.0024691345310261,12.70043951708587,-0.0053851052470661,0,J084244.46-481115.7,0.529,0.1000323084418229,130.6852675,-48.1877038,12.826,0.026,12.788,0.028,12.152,,8.82,,0,True,0.0,allwise,12.826,0.026,12.788,0.028
IC2395_CXO-1.0,130.60830585289628,-48.19215380879279,0.5082845551126374,10.615701,9.59511704795248e-15,2.695543468167253e-15,2.0590272085178613e-15,5.619283414945314e-16,4.867455462067703e-15,1.2442476265892073e-15,1.6521599718538043e-14,3.0215675081035026e-15,0.9999052286807372,0.731,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-4,,,,,,,,,,-4,,,,,,,,,,-8,,,,,,,,,,,,,,-4,,,,,,,
IC2395_CXO-50.0,130.56155312472683,-48.06383439720833,0.5141692363132585,20.120766,7.888578010154008e-15,2.0415763661644303e-15,2.8321228497342306e-15,6.341257844637488e-16,5.6933353581120906e-15,1.3408470054868757e-15,1.641403621800033e-14,2.523493661875545e-15,0.9974863399660724,0.997,,Gaia DR3 5329122994862096512,0.3090596017582537,0.0025964353718126,130.56154460435,-48.06392005805,16.069912,0.025133,17.040714,0.084437,14.993319,0.064592,1.2976,0.0292,5.512,755.6973266601562,738.0692749023438,774.6231689453125,756.5430297851562,740.1497192382812,770.676025390625,0,08421477-4803502,0.405,0.1400240639090296,130.561573,-48.063946,13.140999794006348,0.0240000002086162,12.112000465393066,0.0219999998807907,11.437000274658203,0.0230000000447034,0,,,,,,,,,,-8,1304m485o0038673,0.35,0.0113021446460395,130.5615311,-48.0639306,10.780884785500184,-0.0008077587440022,10.290907966697164,-0.001331800743287,0,J084214.77-480350.1,0.323,0.0674499701526991,130.5615612,-48.063924,10.604,0.023,10.162,0.019,8.202,0.023,6.312,0.048,0,True,0.0,allwise,10.604,0.023,10.162,0.019
IC2395_CXO-64.0,130.4696790838265,-48.14067234039644,1.4733611692871047,5.400591,6.181515958214669e-15,1.7276749065147368e-15,1.7966154418585614e-15,5.150583559367685e-16,7.852702915781038e-15,3.5044360549439504e-15,1.5830834315854273e-14,3.9409666017123406e-15,0.710865897607122,,,Gaia DR3 5329116432152013824,0.7562527527467597,0.0025880890633824,130.46937442559,-48.1406194377,16.824114,0.003941,18.051363,0.01903,15.707589,0.009208,1.2802,0.0515,5.533,762.1155395507812,732.6602172851562,790.762451171875,754.6162719726562,731.5429077148438,780.2245483398438,0,08415265-4808262,0.728,0.1400238863807172,130.469386,-48.140621,14.118000030517578,0.0240000002086162,13.406000137329102,0.0270000007003545,13.29800033569336,0.0359999984502792,0,,,,,,,,,,-8,1304m485o0036260,0.761,0.071546759235901,130.469381,-48.1406011,13.129725869507846,-0.0035720845701143,12.998162768020077,-0.0078832512711079,0,,0.699,0.0986339128148123,,,,,,,,,,,0,True,0.0,allwise,,,,
IC2395_CXO-131.0,130.4031206837847,-48.16009294415171,2.557410120314306,6.960397,8.771704463918238e-15,3.1500084114939428e-15,3.0282943787721405e-15,7.76770874769211e-16,3.7154290146095934e-15,1.3467738700233352e-15,1.5515427857299975e-14,3.5127945913972758e-15,0.8650051899524863,,,Gaia DR3 5329116535231159424,0.5005657919597565,0.0028274802492678,130.40291250161,-48.16008591463,16.32721,0.0032,17.400106,0.00891,15.287803,0.006501,1.4111,0.0367,5.439,691.9987182617188,675.169677734375,707.2543334960938,688.7882690429688,674.7972412109375,703.8308715820312,0,08413671-4809363,0.367,0.1400285320939986,130.402968,-48.160095,13.76200008392334,0.0219999998807907,12.991000175476074,0.0270000007003545,12.852999687194824,0.0299999993294477,0,,,,,,,,,,-8,1304m485o0035629,0.372,0.0495806393706253,130.4029709,-48.1600664,12.778166922226957,-0.0025042021082848,12.724207176498686,-0.0058317423750632,0,J084136.71-480936.2,0.363,0.0966413462261365,130.4029735,-48.16007,12.684,0.025,12.816,0.027,12.718,,8.733,,0,True,0.0,allwise,12.684,0.025,12.816,0.027
IC2395_CXO-91.0,130.48245900022613,-48.11478541058275,1.1825165968971292,8.972125,1.2535356120462714e-14,3.4835890476125527e-15,2.939763087197269e-15,6.515041162360394e-16,3.577996156375492e-17,2.95257865545258e-17,1.5510899169223738e-14,3.5441108953008658e-15,0.4236160655389483,0.677,,Gaia DR3 5329116913188346624,0.403009970183644,0.0029140609945572,130.48230742736,-48.11473754094,15.72576,0.003369,16.55076,0.010974,14.81418,0.007204,1.4547,0.0283,5.401,672.6213989257812,661.718017578125,685.2018432617188,670.8271484375,659.0172119140625,686.9412231445312,0,08415576-4806530,0.323,0.1400303129608729,130.482345,-48.114738,13.61400032043457,0.0230000000447034,12.871000289916992,0.0219999998807907,12.704999923706056,0.0260000005364418,0,,,,,,,,,,-8,1304m485o0037042,0.423,0.0495856687755645,130.4822869,-48.1147603,12.611588693579428,-0.0024463212382043,12.632802239556831,-0.006023569484037,0,J084155.76-480653.0,0.349,0.1058401084084856,130.4823373,-48.1147322,12.412,0.026,12.465,0.028,10.835,0.24,8.381,,0,True,0.0,allwise,12.412,0.026,12.465,0.028
IC2395_CXO-58.0,130.7356949387184,-48.16774381902475,1.129431503271613,9.021656,9.088825198406028e-15,2.7542883798960927e-15,1.3340840137625197e-15,4.529674929324547e-16,3.1667292737604118e-15,9.66999320999225e-16,1.3589638485928961e-14,2.954043282705439e-15,0.8447504854040734,0.016,,Gaia DR3 5329109143574017024,0.2788219440013622,0.0028075448420283,130.73568293057,-48.16782085437,17.526539,0.00387,18.975681,0.02737,16.273205,0.007667,1.4004,0.0726,5.324,711.444580078125,674.821044921875,752.8850708007812,705.4872436523438,658.0824584960938,748.0947265625,2,08425656-4810041,0.305,0.1200327687078824,130.735679,-48.167828,14.42300033569336,0.0460000000894069,13.71399974822998,0.0529999993741512,13.522000312805176,0.0829999968409538,0,J084256.56-481003.4,0.47,0.0686573052462736,130.7356844,-48.1676135,13.589,0.011,13.399,0.018,0,1304m485o0098615,0.719,0.0880446793604247,130.7357108,-48.1679433,13.328161779782896,-0.0046842322766724,13.128344323699244,-0.0092935731979305,0,,,,,,,,,,,,,,-8,True,0.0,catwise,13.589,0.011,13.399,0.018
IC2395_CXO-51.0,130.597022971891,-48.04993176896404,0.6856813373134708,12.447269,1.0721006384094416e-14,2.925225919149495e-15,2.404092752989153e-15,5.80985034620703e-16,4.24398049555337e-16,2.444716899367517e-16,1.3549497186638904e-14,2.9923664039849395e-15,0.318402404321921,0.821,,Gaia DR3 5329122651264752128,0.3456093606324151,0.0029551733485533,130.5971585354,-48.04990008029,16.923782,0.003173,18.314255,0.015974,15.728257,0.005494,1.4369,0.0606,5.611,679.0501098632812,654.9273071289062,710.750244140625,675.64013671875,648.51953125,709.3187255859375,0,08422332-4802597,0.382,0.1400311381082079,130.597181,-48.049923,14.052000045776367,0.0219999998807907,13.36400032043457,0.0209999997168779,13.107000350952148,0.0309999994933605,0,J084223.25-480259.6,0.307,0.0558780783481321,130.5969027,-48.0499036,12.818,0.014,12.705,0.01,0,1304m485o0102205,0.219,0.0550792124115804,130.596945,-48.0499002,12.969158906528548,-0.0031711723089108,12.761375643926074,-0.0063092537429873,0,,,,,,,,,,,,,,-8,True,0.0,catwise,12.818,0.014,12.705,0.01
IC2395_CXO-108.0,130.7510634768544,-48.21839496871623,1.9569703730082333,9.683193,3.1063472798660283e-15,1.0959752613684374e-15,3.7243307720813e-15,8.803075589822469e-16,6.545682398748452e-15,2.3312262802267826e-15,1.337636045069578e-14,2.722263606183813e-15,0.875517234334866,0.947,,Gaia DR3 5329105505755618304,0.3930434811200301,0.0029287889715716,130.75095915483,-48.21847916194,10.333393,0.002773,10.338595,0.00284,10.297071,0.003796,1.4536,0.0167,5.646,684.0032348632812,676.7658081054688,693.0256958007812,682.7327270507812,674.5005493164062,691.106201171875,0,08430023-4813065,0.408,0.1200357314777562,130.750993,-48.218498,10.208000183105469,0.0230000000447034,10.173999786376951,0.0219999998807907,10.138999938964844,0.0189999993890523,0,J084300.23-481306.5,0.409,0.0391098047987969,130.750957,-48.2184836,10.15,0.011,10.161,0.008,0,1304m485o0033765,0.445,0.0113831819540935,130.7509398,-48.218487,10.14412374346767,-0.0005987869951327,10.150472827560874,-0.0012505297160209,0,J084300.23-481306.5,0.368,0.079653856349834,130.750969,-48.2184754,10.129,0.023,10.156,0.021,10.59,0.25,9.161,,0,True,0.0,allwise,10.129,0.023,10.156,0.021
IC2395_CXO-90.0,130.4837830870641,-48.12467263266988,1.039112538749995,9.3890295,6.212051764046045e-16,4.396228803925761e-16,8.75439685119591e-16,3.7130096733261526e-16,1.1796173025234302e-14,2.20268492194237e-15,1.3292817886758496e-14,2.2766101007109377e-15,0.2367607967376405,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
IC2395_CXO-33.0,130.52237028703914,-48.15502863034655,0.5197979122471535,27.557646,4.913225314461009e-15,1.3367826256181525e-15,1.2374528774755186e-15,4.104490849062829e-16,6.919102559436171e-15,1.5962752873014479e-15,1.3069780751372698e-14,2.1221571648453106e-15,1.0,1.0,,Gaia DR3 5329115813676803584,0.2653567664965529,0.098651595044581,130.52233305463,-48.15509802956,16.451056,0.017959,17.32187,0.057051,15.051711,0.030312,,,,,,,,,,0,08420536-4809183,0.279,0.1710295225977082,130.522364,-48.155106,13.347000122070312,0.0549999997019767,12.418999671936035,0.050000000745058,11.932000160217283,0.032999999821186,0,,,,,,,,,,-8,1304m485o0035799,0.215,0.0996160007227754,130.5223472,-48.1550863,11.480160603857358,-0.0012257982198728,10.978157734327066,-0.0020010140276739,0,,0.227,0.1246969831230892,,,,,,,,,,,0,True,0.0,allwise,,,,
IC2395_CXO-41.0,130.71106602485588,-48.10303644584712,0.6565029769452223,14.626534,6.993905549683592e-15,2.113266969296287e-15,2.4816977778783752e-15,5.75441673653741e-16,3.559400152313228e-15,9.430842760944104e-16,1.3035003479875195e-14,2.384625411907005e-15,0.974780131235876,0.817,,Gaia DR3 5329110350478614272,0.3334571819356539,0.0028870396602748,130.71106739696,-48.10312906831,16.753231,0.002993,18.154839,0.010617,15.575695,0.005426,1.4213,0.05,5.653,686.9595336914062,663.2057495117188,708.4326171875,678.4537963867188,660.9722900390625,701.666259765625,0,08425066-4806113,0.431,0.120034689030963,130.711107,-48.103153,13.758000373840332,0.0289999991655349,13.05799961090088,0.0219999998807907,12.854999542236328,0.0370000004768371,0,J084250.65-480611.5,0.642,0.0444936688840109,130.7110766,-48.1032147,12.581,0.011,12.603,0.009,0,,,,,,,,,,-4,J084250.66-480611.4,0.568,0.0948439063448991,130.7110834,-48.1031937,12.69,0.026,12.664,0.027,11.231,0.182,9.107,,0,True,0.0,allwise,12.69,0.026,12.664,0.027
