_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
[1.58],95.0,1.58,1304m485o0034001,130.6572508,-48.2113847,1351.731,1351.729,886.311,886.292,8224.5,8650.9,0.003,0.008,0.003,0.007,17.909,41.239,1.0,1.0,18.59,1.64,0.9262,0.9245,8167.2,8584.7,18.238,42.193,2.6444,2.8678,-0.000784814,0.000123739,0.000104786,0.000212,73.221,76.336,130.6572508,130.6572721,-48.2113847,-48.211386,1304m485,1304m485w1o0034980,1304m485w2o0029923,232.0,227.0,1.0,1.0,32.0,0.0,160.0,0.0,1.0
"[6.751, 8.716]",96.0,6.751,1304m485o0102205,130.596945,-48.0499002,1563.223,1563.207,938.652,938.587,6467.5,7632.2,0.004,0.01,0.004,0.01,18.89,44.351,1.0,1.0,405.1,22.88,0.3741,0.3835,6532.6,7422.1,19.182,45.254,2.6446,2.8683,0.00220996,0.00288665,0.000128678,0.000246,-27.113,-14.509,130.596945,130.5970194,-48.0499002,-48.0499121,1304m485,1304m485w1o0114344,1304m485w2o0095726,221.0,226.0,1.0,1.0,33.0,32.0,0.0,0.0,1.0
"[0.861, 7.407]",97.0,0.861,1304m485o0035688,130.6915348,-48.1573222,1422.437,1422.407,856.226,856.249,3461.2,3903.0,0.007,0.016,0.006,0.015,14.301,34.838,1.0,1.0,26.27,5.985,0.7419,0.7497,3398.1,3949.3,14.558,35.632,2.6441,2.8683,-0.00215137,-0.00199157,0.000174624,0.000367,90.513,87.892,130.6915348,130.6915078,-48.1573222,-48.1573454,1304m485,1304m485w1o0036700,1304m485w2o0031377,222.0,223.0,1.0,1.0,32.0,0.0,160.0,0.0,1.0
"[5.165, 6.592]",98.0,5.165,1304m485o0127291,130.5433234,-48.129178,1459.479,1458.768,985.636,985.577,422.1,401.94,0.036,0.12,0.034,0.113,8.53,25.045,1.0,1.0,37.49,3.732,0.3501,0.2238,320.92,381.91,8.7322,25.723,2.6463,2.8687,0.0184616,0.0178504,0.0008158,0.002578,13.601,4.933,130.5433234,130.5433922,-48.129178,-48.1297208,1304m485,1304m485w1o0154416,1304m485w2o0142276,229.0,225.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[4.97],99.0,4.97,1304m485o0136221,130.5864235,-48.0019717,1625.98,1625.634,947.789,948.207,145.05,118.16,0.083,0.356,0.078,0.337,6.6138,21.877,1.0,1.0,17.34,1.54,0.3691,0.3341,161.31,141.33,6.7851,22.509,2.6417,2.8676,-0.00357163,-0.0185353,0.00165237,0.007747,-30.68,-27.968,130.5864235,130.5859464,-48.0019717,-48.0022363,1304m485,1304m485w1o0175709,1304m485w2o0158799,210.0,223.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[0.548, 4.87, 9.448]",100.0,0.548,1304m485o0034859,130.7152454,-48.1836296,1387.943,1387.713,835.616,835.57,8683.2,7688.3,0.003,0.009,0.003,0.008,18.043,41.021,1.0,1.0,297.5,2.063,0.9801,0.8638,7950.8,7610.1,18.358,41.934,2.6443,2.8692,0.00748789,0.00103933,9.71043e-05,0.000232,110.53,96.932,130.7152454,130.715299,-48.1836296,-48.1838049,1304m485,1304m485w1o0035851,1304m485w2o0030673,221.0,225.0,1.0,1.0,32.0,0.0,160.0,0.0,1.0
"[5.899, 7.971]",101.0,5.899,1304m485o0040018,130.5695273,-48.0201421,1602.207,1602.201,962.611,962.604,4812.1,5279.8,0.004,0.01,0.004,0.01,13.4,33.422,1.0,1.0,10.64,2.241,0.9405,0.9426,4809.3,5278.2,13.666,34.235,2.6452,2.8684,0.000180721,0.000728786,0.000135938,0.000277,-24.767,-18.473,130.5695273,130.5695344,-48.0201421,-48.0201462,1304m485,1304m485w1o0041192,1304m485w2o0035111,212.0,216.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[6.368],102.0,6.368,1304m485o0036645,130.7210657,-48.1280719,1460.66,1460.662,830.326,830.335,431030.0,418550.0,0.0,0.001,0.0,0.001,102.66,204.49,1.0,1.0,1096.0,269.9,0.9969,0.9953,430260.0,416910.0,104.67,208.18,2.6451,2.8686,0.00252366,0.00224298,1.50166e-05,2.7e-05,89.692,88.679,130.7210657,130.7210552,-48.1280719,-48.1280709,1304m485,1304m485w1o0037692,1304m485w2o0032195,222.0,221.0,1.0,1.0,33.0,0.0,168.0,0.0,1.0
[0.684],103.0,0.684,1304m485o0035234,130.7096984,-48.171938,1403.262,1403.296,840.416,840.533,2655.9,3537.4,0.008,0.017,0.007,0.016,13.137,33.592,1.0,1.0,32.64,1.615,0.842,0.8351,2658.2,3485.0,13.43,34.49,2.6458,2.8694,-0.00260186,0.00167704,0.000208168,0.000389,107.9,101.66,130.7096984,130.7095637,-48.171938,-48.1719121,1304m485,1304m485w1o0036236,1304m485w2o0030990,229.0,225.0,1.0,1.0,32.0,0.0,160.0,0.0,1.0
"[2.075, 9.704]",104.0,2.075,1304m485o0127788,130.6544176,-48.0809987,1522.428,1522.772,888.438,888.535,934.06,1488.0,0.023,0.04,0.019,0.035,11.201,29.737,1.0,1.0,43.03,8.738,0.1561,0.2205,917.25,1426.6,11.395,30.444,2.6469,2.8689,0.00690716,0.00995761,0.00045657,0.000783,-24.199,-14.458,130.6544176,130.6543066,-48.0809987,-48.0807359,1304m485,1304m485w1o0155357,1304m485w2o0127949,222.0,222.0,1.0,1.0,162.0,162.0,160.0,0.0,1.0
