name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
IC2395_CXO-123.0,130.59843572134332,-48.01516370927756,1.339476788885786,6.831548,1.1496671553828906e-14,-0.322505268245773,,0.0669285119510596,15.975752,,12.811,5,,YSO,0.3276,0.07240626123938915,0.5476692422576306,12,p,,0.0788,0.2327,0.0668,0.0882,0.0063,0.1458,0.0538,0.3276,0.03747807439832068,0.10087350814988368,0.0552108904496425,0.04580106301973103,0.008721852272923858,0.04397382141339287,0.027405669250553016,0.07240626123938915
IC2395_CXO-124.0,130.4986536208303,-47.972651655956206,5.807824620393059,3.3240216,6.031121559328806e-15,0.8498379154231922,,,,,,0,,NS,0.5695,0.2312826553519885,0.7681045246480471,12,p,,0.2495,0.0003,0.0915,0.0001,0.0,0.0572,0.5695,0.0319,0.18532731078071604,0.001714466079977653,0.10371264692077398,0.0010000000000000002,0.0,0.09212507966363072,0.2312826553519885,0.04046934243063107
IC2395_CXO-127.0,130.59070096212764,-48.19012390108088,1.713679005512119,3.2383835,9.780494339315852e-16,-0.5771821984654489,,,,,,0,,AGN,0.406,0.14580324364905556,0.07002732916578401,12,p,,0.406,0.0019,0.0635,0.0007000000000000001,0.0,0.1352,0.3831,0.0096,0.14580324364905556,0.007613783354528612,0.1100906421770238,0.002564323999762428,0.0,0.0985806340725267,0.18121194131946072,0.02394944169653559
IC2395_CXO-128.0,130.6344323820194,-48.18550471611692,1.4585266319619092,3.799639,9.473370942530046e-15,-0.2575630362016653,,4.798900316360655e-05,,,,0,,NS,0.6032,0.22013255877844023,0.5883052254101486,12,p,,0.020499999999999997,0.0076,0.0027,0.0104,0.0,0.3547,0.6032,0.0009,0.0482287269271137,0.05280266292642081,0.006794977348874474,0.032095816146990475,0.0,0.20226722498474708,0.22013255877844023,0.0028762349126466133
IC2395_CXO-129.0,130.47546200087567,-48.18229714344647,1.9731983110679456,5.069829,1.0490126248044662e-14,0.2673967783364921,,0.2398858643193352,,,,0,,NS,0.6848000000000001,0.19189369952969249,1.128387454987023,12,p,,0.038599999999999995,0.0045000000000000005,0.0046,0.0038,0.0,0.26330000000000003,0.6848000000000001,0.0004,0.09945325281231124,0.014864709750264075,0.013811135896350987,0.01841058105952919,0.0,0.18164820590105119,0.19189369952969249,0.001969463855669324
IC2395_CXO-13.0,130.64082787024043,-48.12860970835555,0.4985884350309268,8.999271,3.930377460566109e-15,-0.49419269364227086,0.371,0.0439202071914192,16.855976,,,3,,YSO,0.265,0.06992781270638306,0.10231842251662755,12,p,,0.08410000000000001,0.19640000000000002,0.242,0.0262,0.0015,0.18100000000000002,0.0038,0.265,0.043925901794782174,0.1199538631846815,0.15486064116430032,0.030244124565063393,0.0035887028128263657,0.1039473448677286,0.007625051746802389,0.06992781270638306
IC2395_CXO-131.0,130.4031206837847,-48.16009294415171,2.557410120314306,6.960397,1.5515427857299975e-14,-0.5210665089249868,,0.8650051899524863,16.32721,,,3,,LMXB,0.3346,0.08294357337151785,0.39377824578137444,12,p,,0.0118,0.2667,0.07150000000000001,0.053,0.001,0.3346,0.0319,0.22949999999999998,0.011135528725660045,0.08948850160323346,0.07871922999951897,0.02657180095628834,0.003623715376697394,0.08294357337151785,0.027805057311956982,0.0674705322883459
IC2395_CXO-132.0,130.42337131870377,-48.13529194633456,2.5154052755723524,5.2042046,8.604221619215093e-15,0.20917059201437474,,,20.350166,,,3,,NS,0.3505,0.18686339741353658,0.40922700399535555,12,p,,0.1066,0.1041,0.08380000000000001,0.0035000000000000005,0.0154,0.23120000000000002,0.3505,0.10490000000000001,0.06831625802919179,0.07609264687925443,0.04620507646253917,0.006092717958449424,0.015070206073943087,0.1046618412321368,0.18686339741353658,0.0656358949590139
IC2395_CXO-133.0,130.8251883170804,-48.12719468429328,3.200046206607795,4.937389,6.138633393805682e-14,-0.9216875153790693,,0.0542296167900036,20.99089,,16.236,5,,CV,0.3256,0.19067832132212148,0.11784042587080659,12,p,,0.1109,0.3256,0.0057,0.0662,0.0064,0.2928,0.1616,0.0308,0.07827812367746588,0.19067832132212148,0.00855817879238476,0.04145777942373995,0.008706203523808746,0.08766418938774319,0.14898796643156836,0.024522922692324776
IC2395_CXO-134.0,130.63738504105334,-48.109592818701856,0.8918379014510409,2.5177748,2.7838389419083493e-15,0.4701766143416363,,,,,,0,,NS,0.5136,0.19749195099312455,0.44065657967553035,12,p,,0.35240000000000005,0.0015,0.0722,0.0003,0.0,0.046,0.5136,0.013999999999999999,0.1683258024117983,0.009574271077563375,0.07172590926998461,0.001714466079977653,0.0,0.1081151649348457,0.19749195099312455,0.022292817160908508
