_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
[0.382],59.0,0.382,130.597181,-48.049923,0.07,0.06,0.0,08422332-4802597,14.052,0.018,0.022,86.4,13.364,0.02,0.021,60.7,13.107,0.03,0.031,42.0,AAA,222,111,cc0,665566,12.7,304.0,157283201.0,0.0,0.0,157283182.0,s,1998-11-21,114.0,266.575,-3.568,-28.4,2451138.849,1.08,0.99,1.13,14.138,0.02,13.422,0.06,13.186,0.041,727.0,224.0,ne,0.0,1.0,0,,,,,0.0,,9546.0,219558.0,267.0,Opt
[0.09],60.0,0.09,130.652405,-48.13372,0.07,0.06,0.0,08423657-4808013,13.126,0.028,0.03,202.8,12.441,0.025,0.026,142.1,12.297,0.023,0.024,88.6,AAA,222,111,000,666666,11.6,160.0,157282441.0,0.0,0.0,157282463.0,s,1998-11-21,114.0,266.664,-3.59,-161.0,2451138.8489,0.9,0.74,0.96,13.09,0.019,12.442,0.032,12.333,0.034,1028.0,91.0,ne,0.0,1.0,0,,,,,0.0,,9546.0,219557.0,257.0,Opt
"[1.615, 7.354]",61.0,1.615,130.543059,-48.017521,0.07,0.06,0.0,08421033-4801030,12.667,0.021,0.024,309.5,12.333,0.02,0.021,156.9,12.235,0.019,0.021,93.9,AAA,222,111,000,666655,8.0,107.0,157283451.0,0.0,0.0,157283457.0,s,1998-11-21,114.0,266.527,-3.576,102.0,2451138.849,0.95,0.92,1.02,12.644,0.022,12.359,0.035,12.248,0.059,611.0,150.0,nw,0.0,1.0,U,0.2,331,14.5,13.1,1.0,,9546.0,219558.0,267.0,Opt
[0.096],62.0,0.096,130.648677,-48.061962,0.07,0.06,0.0,08423568-4803430,14.587,0.038,0.04,52.8,13.882,0.044,0.044,37.7,13.662,0.052,0.053,25.2,AAA,222,111,000,666645,16.5,160.0,157283041.0,0.0,0.0,157283076.0,s,1998-11-21,114.0,266.606,-3.548,-152.3,2451138.849,0.89,0.81,0.54,14.556,0.046,13.842,0.049,13.621,0.119,770.0,100.0,ne,0.0,1.0,U,1.0,296,15.7,17.0,2.0,,9546.0,219558.0,267.0,Opt
[7.695],63.0,7.695,130.716461,-48.082588,0.06,0.06,45.0,08425195-4804573,13.758,0.021,0.024,113.3,13.515,0.028,0.029,54.7,13.417,0.045,0.046,32.7,AAA,222,111,000,666666,9.1,285.0,157286618.0,0.0,0.0,157286624.0,s,1998-11-21,115.0,266.65,-3.525,120.4,2451138.8497,0.85,1.07,1.23,13.771,0.01,13.506,0.065,13.322,0.059,842.0,132.0,nw,0.0,1.0,U,0.2,337,15.7,14.9,1.0,,9547.0,219559.0,9.0,Opt
"[0.809, 8.414]",64.0,0.809,130.687349,-48.211994,0.06,0.06,90.0,08424496-4812431,13.389,0.025,0.028,159.2,12.758,0.027,0.028,109.8,12.664,0.03,0.031,65.4,AAA,222,111,000,666666,7.8,73.0,157287597.0,0.0,0.0,157287602.0,s,1998-11-21,115.0,266.74,-3.62,189.9,2451138.8498,1.0,1.21,1.0,13.368,0.012,12.765,0.036,12.609,0.041,1309.0,62.0,nw,0.0,1.0,U,0.8,243,15.2,14.6,1.0,,9547.0,219560.0,21.0,Opt
[7.005],65.0,7.005,130.474016,-48.180607,0.07,0.06,0.0,08415376-4810501,13.561,0.023,0.026,135.8,12.974,0.024,0.025,90.0,12.876,0.023,0.024,53.8,AAA,222,111,000,666666,18.3,96.0,157209714.0,0.0,0.0,157209708.0,s,1998-11-21,113.0,266.628,-3.713,-167.1,2451138.84,0.89,0.73,1.09,13.596,0.023,13.005,0.03,12.895,0.051,1193.0,85.0,ne,0.0,1.0,U,0.2,235,16.2,14.9,1.0,,9545.0,219514.0,21.0,Opt
"[0.126, 4.72]",66.0,0.126,130.54864,-48.143501,0.07,0.06,0.0,08421167-4808366,13.551,0.029,0.032,137.1,12.837,0.027,0.028,98.7,12.648,0.03,0.031,64.2,AAA,222,112,00c,666666,4.6,8.0,157282393.0,0.0,0.0,157282383.0,s,1998-11-21,114.0,266.629,-3.651,88.3,2451138.8489,0.81,1.39,1.05,13.536,0.029,12.831,0.042,12.698,0.038,1065.0,164.0,nw,0.0,1.0,U,0.7,193,15.7,14.7,1.0,,9546.0,219557.0,257.0,Opt
"[3.227, 9.484]",67.0,3.227,130.71331,-48.189796,0.06,0.06,90.0,08425119-4811232,14.377,0.03,0.032,64.1,13.78,0.036,0.037,42.9,13.572,0.043,0.044,28.4,AAA,222,111,000,666666,10.7,116.0,157287462.0,0.0,0.0,157287453.0,s,1998-11-21,115.0,266.733,-3.592,127.7,2451138.8497,0.75,1.14,1.12,14.442,0.036,13.835,0.061,13.521,0.066,1228.0,125.0,nw,0.0,1.0,U,0.1,53,17.5,16.5,1.0,,9547.0,219560.0,21.0,Opt
"[6.503, 9.124]",68.0,6.503,130.518788,-48.115902,0.07,0.06,173.0,08420450-4806572,15.177,0.045,0.047,30.7,14.577,0.048,0.049,19.9,14.344,0.072,0.073,13.5,AAA,222,111,000,660605,12.4,143.0,157282578.0,0.0,0.0,157282601.0,s,1998-11-21,114.0,266.595,-3.649,160.1,2451138.849,1.09,0.84,1.22,15.159,0.065,14.905,0.11,14.502,0.206,966.0,92.0,nw,0.0,1.0,U,0.5,286,19.1,17.2,1.0,,9546.0,219557.0,257.0,Opt
